,house,date,district,census_tract,country,hh_size,migrant_num,wealth_index,remit,lat,long,lat_SPEI,long_SPEI,NDVI_lat,NDVI_lon,sev_lat,sev_lon,pop_cent_lat,pop_cent_long,annual_frequency,severity,autocorrelation,avg_area,NDVI_mean,SVI_severity
48,50,2/16/2010,kamuli,bugaga/bunangwe,uganda,5,0,-0.989403835,,0.96222,33.25307,0.95,33.25,0.95,33.25,0.95,33.25,0.935776158,33.25420097,2.8,-0.5391394070216587,0.03586956521739133,329594077.11346906,0.289236188359038,0.3726600879850736
49,51,2/12/2010,nebbi,paila west/central,uganda,12,1,-2.219625317,0.0,2.46547,31.31556,2.45,31.3,2.45,31.3,2.45,31.3,2.334114878,31.31153159,2.5,-0.3383196878433228,0.15552631578947368,360811329.81334054,0.29018174253837237,0.43223476929286675
50,52,2/12/2010,nebbi,paila west/central,uganda,6,1,-1.607034774,1.0,2.46547,31.31556,2.45,31.3,2.45,31.3,2.45,31.3,2.334114878,31.31153159,2.5,-0.3383196878433228,0.15552631578947368,360811329.81334054,0.29018174253837237,0.43223476929286675
51,53,2/12/2010,nebbi,paila west/central,uganda,5,1,-0.643083648,1.0,2.46547,31.31556,2.45,31.3,2.45,31.3,2.45,31.3,2.334114878,31.31153159,2.5,-0.3383196878433228,0.15552631578947368,360811329.81334054,0.29018174253837237,0.43223476929286675
52,54,2/12/2010,nebbi,paila west/central,uganda,10,1,-1.362297679,0.0,2.46547,31.31556,2.45,31.3,2.45,31.3,2.45,31.3,2.334114878,31.31153159,2.5,-0.3383196878433228,0.15552631578947368,360811329.81334054,0.29018174253837237,0.43223476929286675
53,55,2/12/2010,nebbi,paila west/central,uganda,13,1,-1.190441587,0.0,2.46547,31.31556,2.45,31.3,2.45,31.3,2.45,31.3,2.334114878,31.31153159,2.5,-0.3383196878433228,0.15552631578947368,360811329.81334054,0.29018174253837237,0.43223476929286675
54,56,2/12/2010,nebbi,paila west/central,uganda,8,1,-2.511413231,0.0,2.46547,31.31556,2.45,31.3,2.45,31.3,2.45,31.3,2.334114878,31.31153159,2.5,-0.3383196878433228,0.15552631578947368,360811329.81334054,0.29018174253837237,0.43223476929286675
55,57,2/12/2010,nebbi,paila west/central,uganda,6,1,-1.083150657,0.0,2.46547,31.31556,2.45,31.3,2.45,31.3,2.45,31.3,2.334114878,31.31153159,2.5,-0.3383196878433228,0.15552631578947368,360811329.81334054,0.29018174253837237,0.43223476929286675
56,58,2/12/2010,nebbi,paila west/central,uganda,7,0,-2.640162347,,2.46547,31.31556,2.45,31.3,2.45,31.3,2.45,31.3,2.334114878,31.31153159,2.5,-0.3383196878433228,0.15552631578947368,360811329.81334054,0.29018174253837237,0.43223476929286675
57,59,2/12/2010,nebbi,paila west/central,uganda,3,0,-2.468496859,,2.46547,31.31556,2.45,31.3,2.45,31.3,2.45,31.3,2.334114878,31.31153159,2.5,-0.3383196878433228,0.15552631578947368,360811329.81334054,0.29018174253837237,0.43223476929286675
58,60,2/12/2010,nebbi,paila west/central,uganda,2,0,-1.739391733,,2.46547,31.31556,2.45,31.3,2.45,31.3,2.45,31.3,2.334114878,31.31153159,2.5,-0.3383196878433228,0.15552631578947368,360811329.81334054,0.29018174253837237,0.43223476929286675
59,61,2/19/2010,kaliro,bubbumbi,uganda,2,3,-2.425580487,0.0,0.97722,33.49732,1.0,33.5,1.0,33.5,1.0,33.5,0.935776158,33.47551566,2.4,-0.41172197957833606,0.014583333333333342,363086576.3692073,0.2917691689846024,0.3312859830369103
60,62,2/19/2010,kaliro,bubbumbi,uganda,6,6,-2.047959829,1.0,0.97722,33.49732,1.0,33.5,1.0,33.5,1.0,33.5,0.935776158,33.47551566,2.4,-0.41172197957833606,0.014583333333333342,363086576.3692073,0.2917691689846024,0.3312859830369103
61,63,2/19/2010,kaliro,bubbumbi,uganda,10,3,-0.728916392,0.0,0.97722,33.49732,1.0,33.5,1.0,33.5,1.0,33.5,0.935776158,33.47551566,2.4,-0.41172197957833606,0.014583333333333342,363086576.3692073,0.2917691689846024,0.3312859830369103
62,64,2/19/2010,kaliro,bubbumbi,uganda,8,0,-2.683078719,,0.97722,33.49732,1.0,33.5,1.0,33.5,1.0,33.5,0.935776158,33.47551566,2.4,-0.41172197957833606,0.014583333333333342,363086576.3692073,0.2917691689846024,0.3312859830369103
63,65,2/19/2010,kaliro,bubbumbi,uganda,7,0,-0.853808922,,0.97722,33.49732,1.0,33.5,1.0,33.5,1.0,33.5,0.935776158,33.47551566,2.4,-0.41172197957833606,0.014583333333333342,363086576.3692073,0.2917691689846024,0.3312859830369103
64,66,2/19/2010,kaliro,bubbumbi,uganda,5,0,-0.374385497,,0.97722,33.49732,1.0,33.5,1.0,33.5,1.0,33.5,0.935776158,33.47551566,2.4,-0.41172197957833606,0.014583333333333342,363086576.3692073,0.2917691689846024,0.3312859830369103
65,67,2/19/2010,kaliro,bubbumbi,uganda,5,0,-1.163319532,,0.97722,33.49732,1.0,33.5,1.0,33.5,1.0,33.5,0.935776158,33.47551566,2.4,-0.41172197957833606,0.014583333333333342,363086576.3692073,0.2917691689846024,0.3312859830369103
66,68,2/19/2010,kaliro,bubbumbi,uganda,12,5,-0.763249489,0.0,0.97722,33.49732,1.0,33.5,1.0,33.5,1.0,33.5,0.935776158,33.47551566,2.4,-0.41172197957833606,0.014583333333333342,363086576.3692073,0.2917691689846024,0.3312859830369103
67,69,2/19/2010,kaliro,bubbumbi,uganda,5,0,-2.482802316,,0.97722,33.49732,1.0,33.5,1.0,33.5,1.0,33.5,0.935776158,33.47551566,2.4,-0.41172197957833606,0.014583333333333342,363086576.3692073,0.2917691689846024,0.3312859830369103
68,70,2/19/2010,kaliro,bubbumbi,uganda,5,0,-1.693428934,,0.97722,33.49732,1.0,33.5,1.0,33.5,1.0,33.5,0.935776158,33.47551566,2.4,-0.41172197957833606,0.014583333333333342,363086576.3692073,0.2917691689846024,0.3312859830369103
69,71,2/23/2010,masaka,lwayebele,uganda,4,3,-0.625917099,0.0,0.77240684,32.26219094,0.75,32.25,0.75,32.25,0.75,32.25,0.716666979,32.29741899,1.9,-0.4431768467551784,0.07711047420531525,422771827.8559503,0.2860207938905255,0.07079047772539857
70,72,2/23/2010,masaka,lwayebele,uganda,8,2,-0.728916392,0.0,0.77240684,32.26219094,0.75,32.25,0.75,32.25,0.75,32.25,0.716666979,32.29741899,1.9,-0.4431768467551784,0.07711047420531525,422771827.8559503,0.2860207938905255,0.07079047772539857
71,73,2/23/2010,masaka,lwayebele,uganda,5,6,-1.679753428,0.0,0.77240684,32.26219094,0.75,32.25,0.75,32.25,0.75,32.25,0.716666979,32.29741899,1.9,-0.4431768467551784,0.07711047420531525,422771827.8559503,0.2860207938905255,0.07079047772539857
72,74,2/23/2010,masaka,lwayebele,uganda,6,0,-2.051695319,,0.77240684,32.26219094,0.75,32.25,0.75,32.25,0.75,32.25,0.716666979,32.29741899,1.9,-0.4431768467551784,0.07711047420531525,422771827.8559503,0.2860207938905255,0.07079047772539857
73,75,2/23/2010,masaka,lwayebele,uganda,5,0,-0.324946347,,0.77240684,32.26219094,0.75,32.25,0.75,32.25,0.75,32.25,0.716666979,32.29741899,1.9,-0.4431768467551784,0.07711047420531525,422771827.8559503,0.2860207938905255,0.07079047772539857
74,76,2/23/2010,masaka,lwayebele,uganda,5,0,-0.664541834,,0.77240684,32.26219094,0.75,32.25,0.75,32.25,0.75,32.25,0.716666979,32.29741899,1.9,-0.4431768467551784,0.07711047420531525,422771827.8559503,0.2860207938905255,0.07079047772539857
75,77,2/23/2010,masaka,lwayebele,uganda,4,1,-2.454191402,0.0,0.77240684,32.26219094,0.75,32.25,0.75,32.25,0.75,32.25,0.716666979,32.29741899,1.9,-0.4431768467551784,0.07711047420531525,422771827.8559503,0.2860207938905255,0.07079047772539857
76,78,2/23/2010,masaka,lwayebele,uganda,4,0,-2.22851297,,0.77240684,32.26219094,0.75,32.25,0.75,32.25,0.75,32.25,0.716666979,32.29741899,1.9,-0.4431768467551784,0.07711047420531525,422771827.8559503,0.2860207938905255,0.07079047772539857
77,79,2/23/2010,masaka,lwayebele,uganda,9,0,-0.839606812,,0.77240684,32.26219094,0.75,32.25,0.75,32.25,0.75,32.25,0.716666979,32.29741899,1.9,-0.4431768467551784,0.07711047420531525,422771827.8559503,0.2860207938905255,0.07079047772539857
78,80,2/23/2010,masaka,lwayebele,uganda,1,0,-1.246107466,,0.77240684,32.26219094,0.75,32.25,0.75,32.25,0.75,32.25,0.716666979,32.29741899,1.9,-0.4431768467551784,0.07711047420531525,422771827.8559503,0.2860207938905255,0.07079047772539857
79,81,2/22/2010,masaka,maida,uganda,2,2,-0.678407943,0.0,-0.3857,31.3233,-0.4,31.3,-0.4,31.3,-0.4,31.3,-0.399080159,31.31153159,2.3,-0.4102686902751093,-0.1251568803227252,426512138.08340645,0.21564149822373926,-0.3100405125728987
80,82,2/22/2010,masaka,maida,uganda,6,0,3.014957121,,-0.3857,31.3233,-0.4,31.3,-0.4,31.3,-0.4,31.3,-0.399080159,31.31153159,2.3,-0.4102686902751093,-0.1251568803227252,426512138.08340645,0.21564149822373926,-0.3100405125728987
81,83,2/22/2010,masaka,maida,uganda,5,0,2.817910936,,-0.3857,31.3233,-0.4,31.3,-0.4,31.3,-0.4,31.3,-0.399080159,31.31153159,2.3,-0.4102686902751093,-0.1251568803227252,426512138.08340645,0.21564149822373926,-0.3100405125728987
82,84,2/22/2010,masaka,maida,uganda,3,0,0.526385118,,-0.3857,31.3233,-0.4,31.3,-0.4,31.3,-0.4,31.3,-0.399080159,31.31153159,2.3,-0.4102686902751093,-0.1251568803227252,426512138.08340645,0.21564149822373926,-0.3100405125728987
83,85,2/22/2010,masaka,maida,uganda,6,2,1.290668193,1.0,-0.3857,31.3233,-0.4,31.3,-0.4,31.3,-0.4,31.3,-0.399080159,31.31153159,2.3,-0.4102686902751093,-0.1251568803227252,426512138.08340645,0.21564149822373926,-0.3100405125728987
84,86,2/20/2010,masaka,maida,uganda,7,0,0.454857831,,-0.3857,31.3233,-0.4,31.3,-0.4,31.3,-0.4,31.3,-0.399080159,31.31153159,2.3,-0.4102686902751093,-0.1251568803227252,426512138.08340645,0.21564149822373926,-0.3100405125728987
85,87,2/22/2010,masaka,maida,uganda,3,2,-0.381728829,1.0,-0.3857,31.3233,-0.4,31.3,-0.4,31.3,-0.4,31.3,-0.399080159,31.31153159,2.3,-0.4102686902751093,-0.1251568803227252,426512138.08340645,0.21564149822373926,-0.3100405125728987
86,88,2/22/2010,masaka,maida,uganda,6,3,1.777191288,1.0,-0.3857,31.3233,-0.4,31.3,-0.4,31.3,-0.4,31.3,-0.399080159,31.31153159,2.3,-0.4102686902751093,-0.1251568803227252,426512138.08340645,0.21564149822373926,-0.3100405125728987
87,89,2/22/2010,masaka,maida,uganda,6,4,1.97746769,0.0,-0.3857,31.3233,-0.4,31.3,-0.4,31.3,-0.4,31.3,-0.399080159,31.31153159,2.3,-0.4102686902751093,-0.1251568803227252,426512138.08340645,0.21564149822373926,-0.3100405125728987
88,90,2/22/2010,masaka,maida,uganda,10,3,1.179085626,1.0,-0.3857,31.3233,-0.4,31.3,-0.4,31.3,-0.4,31.3,-0.399080159,31.31153159,2.3,-0.4102686902751093,-0.1251568803227252,426512138.08340645,0.21564149822373926,-0.3100405125728987
89,91,2/21/2010,kampala,zone iv c,uganda,1,1,4.16308135,1.0,0.323160174,32.55801405,0.3,32.55,0.3,32.55,0.3,32.55,0.322981339,32.52700846,1.9,-0.4232904032657021,0.004676915059927076,409208783.8602349,0.2390965558626717,-0.4604492631302055
90,92,2/21/2010,kampala,zone iv c,uganda,1,1,1.901859362,0.0,0.323160174,32.55801405,0.3,32.55,0.3,32.55,0.3,32.55,0.322981339,32.52700846,1.9,-0.4232904032657021,0.004676915059927076,409208783.8602349,0.2390965558626717,-0.4604492631302055
91,93,2/21/2010,kampala,zone iv c,uganda,4,1,2.792508908,0.0,0.323160174,32.55801405,0.3,32.55,0.3,32.55,0.3,32.55,0.322981339,32.52700846,1.9,-0.4232904032657021,0.004676915059927076,409208783.8602349,0.2390965558626717,-0.4604492631302055
92,94,2/21/2010,kampala,zone iv c,uganda,2,0,3.56272534,,0.323160174,32.55801405,0.3,32.55,0.3,32.55,0.3,32.55,0.322981339,32.52700846,1.9,-0.4232904032657021,0.004676915059927076,409208783.8602349,0.2390965558626717,-0.4604492631302055
93,95,2/21/2010,kampala,zone iv c,uganda,2,1,3.075409169,0.0,0.323160174,32.55801405,0.3,32.55,0.3,32.55,0.3,32.55,0.322981339,32.52700846,1.9,-0.4232904032657021,0.004676915059927076,409208783.8602349,0.2390965558626717,-0.4604492631302055
94,96,2/21/2010,kampala,zone iv c,uganda,4,1,2.829539172,0.0,0.323160174,32.55801405,0.3,32.55,0.3,32.55,0.3,32.55,0.322981339,32.52700846,1.9,-0.4232904032657021,0.004676915059927076,409208783.8602349,0.2390965558626717,-0.4604492631302055
95,97,2/21/2010,kampala,zone iv c,uganda,1,0,3.161241913,,0.323160174,32.55801405,0.3,32.55,0.3,32.55,0.3,32.55,0.322981339,32.52700846,1.9,-0.4232904032657021,0.004676915059927076,409208783.8602349,0.2390965558626717,-0.4604492631302055
96,98,2/21/2010,kampala,zone iv c,uganda,1,1,2.697788511,0.0,0.323160174,32.55801405,0.3,32.55,0.3,32.55,0.3,32.55,0.322981339,32.52700846,1.9,-0.4232904032657021,0.004676915059927076,409208783.8602349,0.2390965558626717,-0.4604492631302055
97,99,2/21/2010,kampala,zone iv c,uganda,2,0,3.075409169,,0.323160174,32.55801405,0.3,32.55,0.3,32.55,0.3,32.55,0.322981339,32.52700846,1.9,-0.4232904032657021,0.004676915059927076,409208783.8602349,0.2390965558626717,-0.4604492631302055
98,100,2/21/2010,kampala,zone iv c,uganda,3,1,2.83542528,0.0,0.323160174,32.55801405,0.3,32.55,0.3,32.55,0.3,32.55,0.322981339,32.52700846,1.9,-0.4232904032657021,0.004676915059927076,409208783.8602349,0.2390965558626717,-0.4604492631302055
