house,country,wealth_index,hh_size,migrant_num,any_remit,migrant_hh,migrant_loc,hh_months,remit,census_tract,lat,long,district
79,south_africa,2.502268548590477,5,0,NA,NA,NA,NA,NA,emfuleni,-26.70620512,27.83267563,sedibeng district municipality
80,south_africa,2.526242331023332,4,0,NA,NA,NA,NA,NA,emfuleni,-26.70620512,27.83267563,sedibeng district municipality
81,south_africa,0.9846610114729366,4,0,NA,NA,NA,NA,NA,emfuleni,-26.70620512,27.83267563,sedibeng district municipality
82,south_africa,-0.4749502745475005,3,0,NA,NA,NA,NA,NA,emfuleni,-26.70620512,27.83267563,sedibeng district municipality
83,south_africa,0.8819162296178432,4,0,NA,NA,NA,NA,NA,emfuleni,-26.70620512,27.83267563,sedibeng district municipality
84,south_africa,-0.8583843612590395,2,0,NA,NA,NA,NA,NA,emfuleni,-26.70620512,27.83267563,sedibeng district municipality
85,south_africa,0.006743391925500358,3,0,NA,NA,NA,NA,NA,emfuleni,-26.70620512,27.83267563,sedibeng district municipality
86,south_africa,-0.18590307405279985,8,0,1,non-hh,national,NA,1,emfuleni,-26.70620512,27.83267563,sedibeng district municipality
87,south_africa,-0.8432679065431217,2,0,NA,NA,NA,NA,NA,emfuleni,-26.70620512,27.83267563,sedibeng district municipality
88,south_africa,-1.0229890691653072,4,0,NA,NA,NA,NA,NA,emfuleni,-26.70620512,27.83267563,sedibeng district municipality
89,south_africa,-0.304825260432498,2,0,NA,NA,NA,NA,NA,emfuleni,-26.70620512,27.83267563,sedibeng district municipality
90,south_africa,-1.0229890691653072,3,0,NA,NA,NA,NA,NA,emfuleni,-26.70620512,27.83267563,sedibeng district municipality
91,south_africa,-2.843648020052133,2,0,NA,NA,NA,NA,NA,emfuleni,-26.70620512,27.83267563,sedibeng district municipality
92,south_africa,1.585137335737125,3,0,NA,NA,NA,NA,NA,emfuleni,-26.70620512,27.83267563,sedibeng district municipality
93,south_africa,-3.2727646282902416,4,0,NA,NA,NA,NA,NA,emfuleni,-26.70620512,27.83267563,sedibeng district municipality
94,south_africa,0.3540433242550751,3,0,NA,NA,NA,NA,NA,emfuleni,-26.70620512,27.83267563,sedibeng district municipality
95,south_africa,1.6044794838622056,7,0,NA,NA,NA,NA,NA,emfuleni,-26.70620512,27.83267563,sedibeng district municipality
96,south_africa,1.5956208935224057,2,0,NA,NA,NA,NA,NA,emfuleni,-26.70620512,27.83267563,sedibeng district municipality
97,south_africa,-0.34702007734730256,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
98,south_africa,2.389738549415851,9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
99,south_africa,1.8741845362318255,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,south_africa,0.3967632658881819,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
101,south_africa,0.44976823661433063,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
102,south_africa,0.12233127151248058,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
103,south_africa,-2.862835165122713,2,0,NA,NA,NA,NA,NA,nokeng tsa taemane,-25.51197219,28.44150435,metsweding district municipality
104,south_africa,-3.812174733029482,7,0,NA,NA,NA,NA,NA,nokeng tsa taemane,-25.51197219,28.44150435,metsweding district municipality
106,south_africa,-3.375509410145335,2,0,NA,NA,NA,NA,NA,nokeng tsa taemane,-25.51197219,28.44150435,metsweding district municipality
107,south_africa,-0.304825260432498,4,0,NA,NA,NA,NA,NA,nokeng tsa taemane,-25.51197219,28.44150435,metsweding district municipality
108,south_africa,-3.3498232146815616,1,1,NA,hh,national,NA,NA,nokeng tsa taemane,-25.51197219,28.44150435,metsweding district municipality
109,south_africa,-0.9781751515716974,9,0,1,non-hh,national,NA,1,nokeng tsa taemane,-25.51197219,28.44150435,metsweding district municipality
109,south_africa,-0.9781751515716974,9,0,1,non-hh,national,NA,1,nokeng tsa taemane,-25.51197219,28.44150435,metsweding district municipality
110,south_africa,0.7599160364956185,4,0,NA,NA,NA,NA,NA,nokeng tsa taemane,-25.51197219,28.44150435,metsweding district municipality
111,south_africa,-1.5185754976230397,7,0,NA,NA,NA,NA,NA,nokeng tsa taemane,-25.51197219,28.44150435,metsweding district municipality
112,south_africa,-0.2005182801717986,7,0,1,non-hh,national,NA,1,nokeng tsa taemane,-25.51197219,28.44150435,metsweding district municipality
113,south_africa,-0.8583843612590395,4,0,1,non-hh,national,NA,1,nokeng tsa taemane,-25.51197219,28.44150435,metsweding district municipality
114,south_africa,3.47878988564265,9,0,NA,NA,NA,NA,NA,nokeng tsa taemane,-25.51197219,28.44150435,metsweding district municipality
115,south_africa,-2.843648020052133,1,0,NA,NA,NA,NA,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
116,south_africa,-2.5546008195574323,2,0,NA,NA,NA,NA,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
117,south_africa,-1.138711978770435,2,0,NA,NA,NA,NA,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
118,south_africa,-4.332397692698144,6,0,NA,NA,NA,NA,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
119,south_africa,-2.5546008195574323,2,0,NA,NA,NA,NA,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
120,south_africa,-3.4793038562532734,6,0,NA,NA,NA,NA,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
121,south_africa,-2.862835165122713,2,0,NA,NA,NA,NA,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
122,south_africa,-0.7382091009178464,3,0,NA,NA,NA,NA,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
123,south_africa,-3.580998973855522,2,0,NA,NA,NA,NA,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
124,south_africa,-1.9332273715629291,1,0,NA,NA,NA,NA,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
125,south_africa,-2.862835165122713,2,0,NA,NA,NA,NA,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
126,south_africa,-1.321796829415647,1,0,NA,NA,NA,NA,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
127,south_africa,0.9252345945469618,3,0,NA,NA,NA,NA,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
128,south_africa,-2.3394329017158344,2,0,NA,NA,NA,NA,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
129,south_africa,0.1999261514724349,6,0,NA,NA,NA,NA,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
130,south_africa,-2.281561460395094,4,0,NA,NA,NA,NA,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
131,south_africa,-1.52525798468853,6,0,NA,NA,NA,NA,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
132,south_africa,-1.6128041062034777,4,2,1,hh,national,NA,1,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
132,south_africa,-1.6128041062034777,4,2,1,hh,national,NA,1,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
132,south_africa,-1.6128041062034777,4,2,1,non-hh,international,NA,1,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
133,south_africa,-0.0342849698052764,4,0,NA,NA,NA,NA,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
134,south_africa,-0.6130596059977784,4,0,NA,NA,NA,NA,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
135,south_africa,-0.7202750298087616,2,0,NA,NA,NA,NA,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
136,south_africa,-1.24367729321564,5,0,NA,NA,NA,NA,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
137,south_africa,-1.6509437731772325,2,0,NA,NA,NA,NA,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
138,south_africa,0.0195864896573871,2,0,NA,NA,NA,NA,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
139,south_africa,-0.6817457366131016,3,0,NA,NA,NA,NA,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
