house,district,census_tract,country,wealth_index,hh_size,migrant_num,any_remit,migrant_hh,migrant_loc,hh_months,remit,lat,long
71,lagos,adedoyin,nigeria,1.7792946733200268,8,3,1,hh,international,24,1,6.5961,3.3408
72,lagos,adedoyin,nigeria,2.5667639969827154,4,2,NA,hh,national,36,NA,6.5961,3.3408
72,lagos,adedoyin,nigeria,2.5667639969827154,4,2,NA,hh,national,36,NA,6.5961,3.3408
73,lagos,adedoyin,nigeria,1.719712923791507,1,1,NA,hh,national,24,NA,6.5961,3.3408
74,lagos,adedoyin,nigeria,1.8413453711671544,4,1,NA,hh,national,36,NA,6.5961,3.3408
75,lagos,adedoyin,nigeria,0.33712749377863027,4,1,NA,hh,national,36,NA,6.5961,3.3408
76,lagos,adedoyin,nigeria,1.183808590613972,6,1,NA,hh,national,24,NA,6.5961,3.3408
77,lagos,adedoyin,nigeria,1.818799053991806,5,5,NA,hh,national,12,NA,6.5961,3.3408
77,lagos,adedoyin,nigeria,1.818799053991806,5,5,NA,hh,national,24,NA,6.5961,3.3408
77,lagos,adedoyin,nigeria,1.818799053991806,5,5,NA,hh,national,48,NA,6.5961,3.3408
77,lagos,adedoyin,nigeria,1.818799053991806,5,5,NA,hh,national,36,NA,6.5961,3.3408
77,lagos,adedoyin,nigeria,1.818799053991806,5,5,NA,hh,national,12,NA,6.5961,3.3408
78,lagos,adedoyin,nigeria,1.1778166814645943,3,1,NA,hh,national,6,NA,6.5961,3.3408
79,lagos,adedoyin,nigeria,2.3958004750449815,4,1,NA,hh,national,30,NA,6.5961,3.3408
80,lagos,adedoyin,nigeria,1.6436094992456542,2,1,1,hh,national,84,1,6.5961,3.3408
81,lagos,adedoyin,nigeria,1.2619013937430077,5,0,NA,NA,NA,NA,NA,6.5961,3.3408
82,lagos,adedoyin,nigeria,2.1718602858961242,3,0,NA,NA,NA,NA,NA,6.5961,3.3408
83,lagos,adedoyin,nigeria,0.9149416903344215,6,0,NA,NA,NA,NA,NA,6.5961,3.3408
84,lagos,adedoyin,nigeria,2.0566029982633824,4,0,NA,NA,NA,NA,NA,6.5961,3.3408
85,akwa ibom,afaha offot,nigeria,2.8198389376447417,7,1,1,hh,national,12,1,5.03333,7.88333
87,akwa ibom,afaha offot,nigeria,0.478397305980098,4,3,NA,hh,national,60,NA,5.03333,7.88333
87,akwa ibom,afaha offot,nigeria,0.478397305980098,4,3,NA,hh,international,96,NA,5.03333,7.88333
87,akwa ibom,afaha offot,nigeria,0.478397305980098,4,3,NA,hh,international,72,NA,5.03333,7.88333
88,akwa ibom,afaha offot,nigeria,-0.7649138052043672,5,2,NA,hh,national,48,NA,5.03333,7.88333
88,akwa ibom,afaha offot,nigeria,-0.7649138052043672,5,2,NA,hh,national,48,NA,5.03333,7.88333
89,akwa ibom,afaha offot,nigeria,0.42562385665539404,8,0,NA,NA,NA,NA,NA,5.03333,7.88333
90,akwa ibom,afaha offot,nigeria,1.1554357402048037,4,3,1,hh,national,12,NA,5.03333,7.88333
90,akwa ibom,afaha offot,nigeria,1.1554357402048037,4,3,1,hh,national,36,NA,5.03333,7.88333
90,akwa ibom,afaha offot,nigeria,1.1554357402048037,4,3,1,hh,national,36,NA,5.03333,7.88333
90,akwa ibom,afaha offot,nigeria,1.1554357402048037,4,3,1,non-hh,national,NA,1,5.03333,7.88333
91,akwa ibom,afaha offot,nigeria,0.5170418213266612,6,1,NA,hh,national,24,NA,5.03333,7.88333
92,akwa ibom,afaha offot,nigeria,1.151678020675579,9,2,NA,hh,national,60,NA,5.03333,7.88333
92,akwa ibom,afaha offot,nigeria,1.151678020675579,9,2,NA,hh,national,108,NA,5.03333,7.88333
93,akwa ibom,afaha offot,nigeria,0.9111478145278227,6,0,NA,NA,NA,NA,NA,5.03333,7.88333
94,akwa ibom,afaha offot,nigeria,0.7256965878069191,10,1,NA,hh,international,24,NA,5.03333,7.88333
95,akwa ibom,afaha offot,nigeria,1.1339630571806625,8,2,1,hh,national,12,1,5.03333,7.88333
95,akwa ibom,afaha offot,nigeria,1.1339630571806625,8,2,1,hh,national,12,1,5.03333,7.88333
96,akwa ibom,afaha offot,nigeria,0.6806039534562224,6,0,NA,NA,NA,NA,NA,5.03333,7.88333
97,akwa ibom,afaha offot,nigeria,1.3126919011189764,11,5,1,hh,national,24,NA,5.03333,7.88333
97,akwa ibom,afaha offot,nigeria,1.3126919011189764,11,5,1,hh,national,24,NA,5.03333,7.88333
97,akwa ibom,afaha offot,nigeria,1.3126919011189764,11,5,1,hh,national,24,1,5.03333,7.88333
97,akwa ibom,afaha offot,nigeria,1.3126919011189764,11,5,1,hh,national,24,NA,5.03333,7.88333
