house,district,census_tract,country,wealth_index,hh_size,migrant_num,any_remit,migrant_hh,migrant_loc,hh_months,remit,lat,long
1207,mbacke,madiyana,senegal,2.64265455123405,5,1,1,hh,national,252,1,14.9198,-15.8823
1265,mbacke,khayra,senegal,0.748127732046187,8,0,NA,NA,NA,NA,NA,"14.823157881171742, -15.89635226186144",-15.90761198
750,diourbel,medinatoul,senegal,0.197422741717636,13,2,1,hh,national,240,1,NA,NA
750,diourbel,medinatoul,senegal,0.197422741717636,13,2,1,hh,national,120,1,NA,NA
684,tiwaouane,ndiandiakhoune,senegal,1.94595329224392,10,1,1,hh,international,180,1,NA,NA
967,louga,keur serigne louga,senegal,1.3203757589469,7,3,1,hh,international,48,1,NA,NA
967,louga,keur serigne louga,senegal,1.3203757589469,7,3,1,hh,national,2,NA,NA,NA
967,louga,keur serigne louga,senegal,1.3203757589469,7,3,1,hh,national,48,NA,NA,NA
803,bambeye,guede bousso,senegal,0.800946246918867,5,1,1,hh,international,28,1,NA,NA
202,dakar,ouagou niayes 2,senegal,1.46414959978516,7,0,NA,NA,NA,NA,NA,14.70737,-17.449
1208,mbacke,madiyana,senegal,0.522678427377733,21,4,1,hh,national,348,1,14.9198,-15.8823
1208,mbacke,madiyana,senegal,0.522678427377733,21,4,1,hh,national,240,1,14.9198,-15.8823
1208,mbacke,madiyana,senegal,0.522678427377733,21,4,1,hh,national,60,NA,14.9198,-15.8823
1208,mbacke,madiyana,senegal,0.522678427377733,21,4,1,hh,national,36,NA,14.9198,-15.8823
1565,matam,mango,senegal,1.93301060296294,7,2,1,hh,international,132,1,NA,NA
1565,matam,mango,senegal,1.93301060296294,7,2,1,hh,international,120,1,NA,NA
7,dakar,grand medine,senegal,2.24898639589926,6,0,1,non-hh,international,NA,1,14.74795,-17.44715
7,dakar,grand medine,senegal,2.24898639589926,6,0,1,non-hh,international,NA,1,14.74795,-17.44715
7,dakar,grand medine,senegal,2.24898639589926,6,0,1,non-hh,international,NA,1,14.74795,-17.44715
798,mbacke,guede bousso,senegal,1.77769833159114,11,1,1,hh,international,180,1,14.89820198,-15.86724177
343,thies,mbour i,senegal,1.36955797821463,13,1,1,hh,national,24,1,NA,NA
518,dakar,liberte 1,senegal,2.68373362126443,5,0,NA,NA,NA,NA,NA,14.71053471,-17.46092585
4058,dakar,liberte 3,senegal,2.7423025376168,3,1,1,hh,international,36,1,NA,NA
1296,mbacke,mbacke khewar,senegal,0.758327392946039,4,1,1,hh,international,180,1,NA,NA
1549,kanel,yirla,senegal,1.39028425022914,8,1,1,hh,international,276,1,NA,NA
17,dakar,grand medine irregul,senegal,-0.434438355454812,1,0,NA,NA,NA,NA,NA,14.74795,-17.44715
978,louga,keur serigne louga,senegal,0.583575042752568,7,0,NA,NA,NA,NA,NA,NA,NA
1422,matam,moderne ii,senegal,0.63147619825142,16,0,NA,NA,NA,NA,NA,NA,NA
723,gossas,keur el hadji,senegal,1.59516331654191,23,1,NA,hh,national,102,NA,NA,NA
29,dakar,ngaparou,senegal,1.97183867080589,9,1,1,hh,international,120,1,14.46352,-17.05669
619,rufisque,diokoul kaw,senegal,2.01843235221743,6,1,NA,hh,international,120,NA,NA,NA
840,diourbel,medinatoul,senegal,1.33072991037169,8,2,1,hh,national,65,1,NA,NA
840,diourbel,medinatoul,senegal,1.33072991037169,8,2,1,hh,international,204,1,NA,NA
1240,mbacke,darou khoudoss,senegal,1.3203757589469,7,0,NA,NA,NA,NA,NA,14.8653417,-15.87905597
309,dakar,dieupeul 1,senegal,1.11808917430743,10,1,1,hh,national,58,1,14.71807,-17.45718
780,diourbel,medinatoul,senegal,0.38923349470317,11,3,1,hh,national,1,NA,NA,NA
780,diourbel,medinatoul,senegal,0.38923349470317,11,3,1,hh,national,12,1,NA,NA
780,diourbel,medinatoul,senegal,0.38923349470317,11,3,1,hh,national,3,NA,NA,NA
489,mbour,darou salam,senegal,2.07168227383061,6,4,1,hh,national,132,1,NA,NA
489,mbour,darou salam,senegal,2.07168227383061,6,4,1,hh,international,86,1,NA,NA
489,mbour,darou salam,senegal,2.07168227383061,6,4,1,hh,international,98,1,NA,NA
489,mbour,darou salam,senegal,2.07168227383061,6,4,1,hh,national,38,NA,NA,NA
489,mbour,darou salam,senegal,2.07168227383061,6,4,1,non-hh,national,NA,1,NA,NA
489,mbour,darou salam,senegal,2.07168227383061,6,4,1,non-hh,national,NA,1,NA,NA
489,mbour,darou salam,senegal,2.07168227383061,6,4,1,non-hh,national,NA,1,NA,NA
1014,louga,keur serigne louga,senegal,1.86312008084563,11,2,1,hh,national,60,1,NA,NA
1014,louga,keur serigne louga,senegal,1.86312008084563,11,2,1,hh,national,84,NA,NA,NA
1908,podor,mery,senegal,0.609394445560319,31,4,1,hh,national,360,NA,16.42777753,-14.09801568
1908,podor,mery,senegal,0.609394445560319,31,4,1,hh,national,300,1,16.42777753,-14.09801568
1908,podor,mery,senegal,0.609394445560319,31,4,1,hh,international,24,1,16.42777753,-14.09801568
1908,podor,mery,senegal,0.609394445560319,31,4,1,hh,international,96,1,16.42777753,-14.09801568
1889,podor,dodele,senegal,-1.36986446511465,10,2,NA,hh,international,11,NA,16.50354464,-14.42019001
1889,podor,dodele,senegal,-1.36986446511465,10,2,NA,hh,international,3,NA,16.50354464,-14.42019001
1112,kaolack,sara ndiougary,senegal,1.15885662327889,13,0,NA,NA,NA,NA,NA,NA,NA
882,bambeye,leona sud,senegal,1.97183867080589,6,0,NA,NA,NA,NA,NA,NA,NA
949,louga,mbodjiene,senegal,-0.0448243344207881,17,1,1,hh,national,8,1,14.23001387,-16.86834878
830,diourbel,medinatoul,senegal,1.93301060296294,7,0,NA,NA,NA,NA,NA,NA,NA
1003,louga,artillerie,senegal,1.04378678400711,7,0,NA,NA,NA,NA,NA,NA,NA
454,dakar,arafat,senegal,1.84241177799606,14,1,1,hh,international,60,1,14.71105977,-17.4688686
671,mbour,tefess,senegal,0.994219989066129,14,1,NA,hh,international,17,NA,NA,NA
437,dakar,arafat,senegal,0.785650809880216,5,0,NA,NA,NA,NA,NA,14.71105977,-17.4688686
1592,kanel,sorry,senegal,0.795805255932532,41,0,1,non-hh,international,NA,1,NA,NA
1592,kanel,sorry,senegal,0.795805255932532,41,0,1,non-hh,international,NA,1,NA,NA
1592,kanel,sorry,senegal,0.795805255932532,41,0,1,non-hh,international,NA,1,NA,NA
1592,kanel,sorry,senegal,0.795805255932532,41,0,1,non-hh,national,NA,1,NA,NA
799,mbacke,guede bousso,senegal,1.03551933084977,14,1,1,hh,international,216,1,14.89820198,-15.86724177
1045,louga,montagne,senegal,2.01843235221743,6,1,1,hh,national,12,1,NA,NA
1054,louga,santhiaba centre,senegal,0.712935959808183,7,0,NA,NA,NA,NA,NA,NA,NA
1824,st-louis,pikine,senegal,1.22718839612382,10,1,1,hh,international,84,1,NA,NA
97,pikine,cite lobatt fall,senegal,1.98736989794307,7,6,1,hh,national,18,1,14.74682,-17.40995
97,pikine,cite lobatt fall,senegal,1.98736989794307,7,6,1,hh,national,12,NA,14.74682,-17.40995
97,pikine,cite lobatt fall,senegal,1.98736989794307,7,6,1,hh,national,52,1,14.74682,-17.40995
97,pikine,cite lobatt fall,senegal,1.98736989794307,7,6,1,hh,international,120,1,14.74682,-17.40995
97,pikine,cite lobatt fall,senegal,1.98736989794307,7,6,1,non-hh,international,NA,1,14.74682,-17.40995
1021,louga,keur serigne louga,senegal,1.00975121620331,17,1,1,hh,international,24,1,NA,NA
935,kebemer,medina,senegal,1.17541763899989,14,0,NA,NA,NA,NA,NA,NA,NA
975,louga,keur serigne louga,senegal,0.716818766592478,11,1,1,hh,international,216,1,NA,NA
1220,diourbel,thierno kandji,senegal,1.42241257781337,6,1,NA,hh,national,48,NA,NA,NA
1569,matam,dar salam,senegal,-0.173734094034311,16,1,1,hh,international,444,1,NA,NA
452,dakar,arafat,senegal,0.552682402822523,4,1,NA,hh,international,96,NA,14.71105977,-17.4688686
724,gossas,keur el hadj,senegal,1.79693403624481,5,0,NA,NA,NA,NA,NA,NA,NA
411,guediawaye,cite des enseignants,senegal,1.95849738050384,4,1,1,hh,international,48,1,14.77683245,-17.40519022
1038,louga,montagne,senegal,1.30484453180972,9,1,1,hh,international,360,1,NA,NA
1385,matam,boynadji roumde,senegal,-1.54669310290228,6,0,1,non-hh,international,NA,1,15.66051954,-13.35041654
583,pikine,cite ouest,senegal,1.18320122173341,8,0,NA,NA,NA,NA,NA,14.73645967,-17.29262985
589,dakar,hlm 4,senegal,1.35143821322126,6,0,NA,NA,NA,NA,NA,14.71207849,-17.44431032
109,pikine,cite lobatt fall,senegal,2.04949480649179,3,1,1,hh,international,219,1,14.74682,-17.40995
1421,matam,moderne 2,senegal,0.516207082737242,24,1,NA,hh,international,108,NA,NA,NA
859,diourbel,medinatoul nord,senegal,2.10126556361572,2,1,1,hh,national,32,1,NA,NA
576,pikine,cite icotaf,senegal,2.07148665718864,6,0,NA,NA,NA,NA,NA,14.7155408,-17.26173081
1709,ziguinchor,diefaye,senegal,2.18797086071748,5,1,1,hh,international,240,1,12.57853941,-16.25514132
1124,kaolack,sara ndiougary,senegal,1.93301060296294,7,1,NA,hh,national,24,NA,NA,NA
356,thies,mbour 1,senegal,2.47017924812821,8,1,1,hh,international,216,1,14.68562239,-17.45034661
1048,louga,santhia centre,senegal,0.743998414082542,12,1,1,hh,international,240,1,NA,NA
3053,dakar,sacre coeur 3,senegal,1.67112988654565,2,2,NA,hh,national,8,NA,14.72046,-17.46744
1255,mbacke,darou khoudoss,senegal,1.07187612475203,9,2,1,hh,international,120,1,14.8653417,-15.87905597
1255,mbacke,darou khoudoss,senegal,1.07187612475203,9,2,1,hh,national,120,1,14.8653417,-15.87905597
761,diourbel,medinatoul,senegal,1.39028425022914,8,1,1,hh,international,180,1,NA,NA
1095,kaolack,ndorong,senegal,-0.0796275084746139,11,0,NA,NA,NA,NA,NA,NA,NA
1277,mbacke,khayra,senegal,2.53911303698619,10,8,1,hh,international,240,1,"14.823157881171742, -15.89635226186144",-15.90761198
1277,mbacke,khayra,senegal,2.53911303698619,10,8,1,hh,national,60,1,"14.823157881171742, -15.89635226186144",-15.90761198
1277,mbacke,khayra,senegal,2.53911303698619,10,8,1,hh,national,36,NA,"14.823157881171742, -15.89635226186144",-15.90761198
1277,mbacke,khayra,senegal,2.53911303698619,10,8,1,hh,national,36,NA,"14.823157881171742, -15.89635226186144",-15.90761198
1277,mbacke,khayra,senegal,2.53911303698619,10,8,1,hh,national,24,NA,"14.823157881171742, -15.89635226186144",-15.90761198
1277,mbacke,khayra,senegal,2.53911303698619,10,8,1,hh,national,24,NA,"14.823157881171742, -15.89635226186144",-15.90761198
831,diourbel,medinatoul,senegal,2.08055726076615,4,1,1,hh,international,120,1,NA,NA
1887,podor,dolele,senegal,1.28674273598127,8,2,1,hh,international,108,1,NA,NA
1887,podor,dolele,senegal,1.28674273598127,8,2,1,hh,international,96,1,NA,NA
1629,matam,diandioly,senegal,1.4642424746919,12,1,1,hh,international,384,1,15.54077403,-13.24904558
1701,ziguinchor,diefaye,senegal,2.01066673864884,5,5,1,hh,national,180,1,NA,NA
1701,ziguinchor,diefaye,senegal,2.01066673864884,5,5,1,hh,national,120,NA,NA,NA
1701,ziguinchor,diefaye,senegal,2.01066673864884,5,5,1,hh,national,120,1,NA,NA
1701,ziguinchor,diefaye,senegal,2.01066673864884,5,5,1,hh,national,36,NA,NA,NA
1701,ziguinchor,diefaye,senegal,2.01066673864884,5,5,1,hh,national,12,NA,NA,NA
82,pikine,cite la rochette,senegal,1.28931330467254,8,3,1,hh,national,240,NA,14.75619,-17.36858
82,pikine,cite la rochette,senegal,1.28931330467254,8,3,1,hh,national,192,NA,14.75619,-17.36858
82,pikine,cite la rochette,senegal,1.28931330467254,8,3,1,hh,national,69,1,14.75619,-17.36858
82,pikine,cite la rochette,senegal,1.28931330467254,8,3,1,non-hh,national,NA,1,14.75619,-17.36858
520,dakar,liberte 1,senegal,2.10352239408282,10,0,NA,NA,NA,NA,NA,14.71053471,-17.46092585
290,dakar,liberte 6,senegal,3.04357858666198,1,0,NA,NA,NA,NA,NA,14.73104,-17.46105
500,dakar,unite 11,senegal,-0.257134233386167,1,1,NA,hh,national,11,NA,14.75896766,-17.43245729
368,mbour,chateau d'eau,senegal,2.22679892856043,4,1,1,hh,national,60,1,NA,NA
378,mbour,chateau d'eau,senegal,2.22679892856043,3,0,1,non-hh,international,NA,1,NA,NA
366,mbour,chateau d'eau,senegal,1.24918024682067,6,1,NA,NA,NA,NA,NA,NA,NA
1196,mbacke,madiyana,senegal,2.56499841554815,6,1,1,hh,international,312,1,14.9198,-15.8823
364,mbour,chateau d'eau,senegal,1.23894680629605,16,0,NA,NA,NA,NA,NA,NA,NA
216,dakar,sacre coeur,senegal,2.15303632073965,1,1,NA,hh,national,48,NA,14.71855,-17.45385
1931,podor,nanaye,senegal,1.37993009880435,7,1,1,hh,international,96,1,NA,NA
1011,louga,keur serigne louga,senegal,1.22718839612382,10,0,NA,NA,NA,NA,NA,NA,NA
1094,kaolack,ndorong,senegal,-0.811689541897989,1,0,NA,NA,NA,NA,NA,NA,NA
1700,ziguinchor,diefaye,senegal,3.21865126424227,4,0,NA,NA,NA,NA,NA,12.57853941,-16.25514132
302,dakar,dieupeul,senegal,2.3857053955148,2,0,NA,NA,NA,NA,NA,14.71807,-17.45718
1027,louga,montagne,senegal,1.18836032828087,9,1,NA,hh,national,60,NA,NA,NA
612,rufisque,diokoul kaw,senegal,-0.214076986471901,13,2,1,hh,international,108,NA,NA,NA
612,rufisque,diokoul kaw,senegal,-0.214076986471901,13,2,1,hh,national,96,1,NA,NA
994,louga,artillerie,senegal,1.79064102087213,8,2,1,hh,international,36,NA,NA,NA
994,louga,artillerie,senegal,1.79064102087213,8,2,1,hh,international,180,1,NA,NA
577,pikine,cite icotaf,senegal,1.35272176106854,7,0,1,non-hh,national,NA,1,14.7155408,-17.26173081
558,pikine,samba niang,senegal,1.93301060296294,7,6,1,hh,international,96,1,NA,NA
558,pikine,samba niang,senegal,1.93301060296294,7,6,1,hh,national,30,1,NA,NA
558,pikine,samba niang,senegal,1.93301060296294,7,6,1,non-hh,international,NA,1,NA,NA
1699,ziguinchor,diefaye,senegal,-0.484170778028325,10,4,1,hh,national,120,NA,NA,NA
1699,ziguinchor,diefaye,senegal,-0.484170778028325,10,4,1,hh,national,108,1,NA,NA
1699,ziguinchor,diefaye,senegal,-0.484170778028325,10,4,1,hh,national,228,NA,NA,NA
1699,ziguinchor,diefaye,senegal,-0.484170778028325,10,4,1,hh,national,96,NA,NA,NA
165,dakar,hlm 6 nimzat,senegal,1.10449732829877,18,0,NA,NA,NA,NA,NA,14.72704,-17.4436
561,pikine,samba niang,senegal,1.25568028170692,11,1,1,hh,international,228,1,14.80972717,-15.90288816
561,pikine,samba niang,senegal,1.25568028170692,11,1,1,non-hh,international,NA,1,14.80972717,-15.90288816
1012,louga,keur serigne louga,senegal,2.04949480649179,3,0,NA,NA,NA,NA,NA,NA,NA
651,dakar,hlm4,senegal,1.6612141280623,14,1,1,hh,international,120,1,NA,NA
1253,mbacke,darou khoudoss i,senegal,1.77769833159114,11,1,1,hh,international,24,1,14.8653417,-15.87905597
1809,st-louis,pikine,senegal,1.98048923120068,12,0,NA,NA,NA,NA,NA,NA,NA
1121,kaolack,sara ndiougary,senegal,2.6254915195,1,0,NA,NA,NA,NA,NA,NA,NA
412,guediawaye,cite des enseignants,senegal,2.71867888232308,2,2,1,hh,international,96,1,14.77683245,-17.40519022
412,guediawaye,cite des enseignants,senegal,2.71867888232308,2,2,1,hh,international,96,1,14.77683245,-17.40519022
1604,kanel,sorry,senegal,-0.472385995814935,10,1,1,hh,international,48,1,NA,NA
