,house,district,census_tract,country,date,hh_size,migrant_num,wealth_index,remit,lat,long,lat_SPEI,long_SPEI,NDVI_lat,NDVI_lon,sev_lat,sev_lon,pop_cent_lat,pop_cent_long,annual_frequency,severity,autocorrelation,avg_area,NDVI_mean,SVI_severity
33,34,kisii,bonyanchaire,kenya,2009-11-06,4,1,0.660345586574911,1.0,-0.678288351,34.70904985,-0.7,34.7,-0.7,34.7,-0.7,34.7,-0.679486877,34.71499914,1.2,-0.23560301462809244,-0.0777777777777778,700261152.4223269,0.23300606041451694,0.15756949598715767
34,35,kisii,bonyanchaire,kenya,2009-11-06,7,0,0.3393674028764276,,-0.678288351,34.70904985,-0.7,34.7,-0.7,34.7,-0.7,34.7,-0.679486877,34.71499914,1.2,-0.23560301462809244,-0.0777777777777778,700261152.4223269,0.23300606041451694,0.15756949598715767
35,36,machakos,kaluoki,kenya,2009-11-10,3,1,-1.7180253677601496,1.0,-1.522391812,37.26633915,-1.5,37.25,-1.5,37.25,-1.5,37.25,-1.505660678,37.26527074,3.0,-0.7896741946538289,-0.15555555555555556,396031798.7184296,0.21815693047095439,-0.2891628834782721
36,37,machakos,kaluoki,kenya,2009-11-10,3,1,-0.5810709025501857,1.0,-1.522391812,37.26633915,-1.5,37.25,-1.5,37.25,-1.5,37.25,-1.505660678,37.26527074,3.0,-0.7896741946538289,-0.15555555555555556,396031798.7184296,0.21815693047095439,-0.2891628834782721
37,39,machakos,kaluoki,kenya,2009-11-10,4,2,-1.446026458758377,1.0,-1.522391812,37.26633915,-1.5,37.25,-1.5,37.25,-1.5,37.25,-1.505660678,37.26527074,3.0,-0.7896741946538289,-0.15555555555555556,396031798.7184296,0.21815693047095439,-0.2891628834782721
38,40,nakuru,section 58,kenya,2009-11-09,4,2,-3.0900108674401845,1.0,-0.283812727,36.09431466,-0.3,36.1,-0.3,36.1,-0.3,36.1,-0.286043974,36.09710657,0.8,-0.2571321427822113,-0.03214285714285721,373874764.0059435,0.17600434303837206,0.2066966270702184
39,41,nakuru,section 58,kenya,2009-11-09,1,7,-3.1180849950103124,1.0,-0.283812727,36.09431466,-0.3,36.1,-0.3,36.1,-0.3,36.1,-0.286043974,36.09710657,0.8,-0.2571321427822113,-0.03214285714285721,373874764.0059435,0.17600434303837206,0.2066966270702184
40,42,nakuru,section 58,kenya,2009-11-09,4,4,-1.686951928392879,0.0,-0.283812727,36.09431466,-0.3,36.1,-0.3,36.1,-0.3,36.1,-0.286043974,36.09710657,0.8,-0.2571321427822113,-0.03214285714285721,373874764.0059435,0.17600434303837206,0.2066966270702184
41,43,nakuru,section 58,kenya,2009-11-09,6,4,-2.265726549480074,1.0,-0.283812727,36.09431466,-0.3,36.1,-0.3,36.1,-0.3,36.1,-0.286043974,36.09710657,0.8,-0.2571321427822113,-0.03214285714285721,373874764.0059435,0.17600434303837206,0.2066966270702184
42,44,kisii,bomakombi,kenya,2009-11-10,5,0,1.0217413426745992,,-0.70441522,34.69546123,-0.7,34.7,-0.7,34.7,-0.7,34.7,-0.695549267,34.69940774,1.2,-0.23560301462809244,-0.0777777777777778,700261152.4223269,0.23300606041451694,0.15756949598715767
43,45,kisii,bomakombi,kenya,2009-11-10,1,0,0.1408432150590952,,-0.70441522,34.69546123,-0.7,34.7,-0.7,34.7,-0.7,34.7,-0.695549267,34.69940774,1.2,-0.23560301462809244,-0.0777777777777778,700261152.4223269,0.23300606041451694,0.15756949598715767
44,46,kisii,bonyanchaire,kenya,2009-11-09,5,0,-0.519108962179938,,-0.678288351,34.70904985,-0.7,34.7,-0.7,34.7,-0.7,34.7,-0.679486877,34.71499914,1.2,-0.23560301462809244,-0.0777777777777778,700261152.4223269,0.23300606041451694,0.15756949598715767
45,47,kisii,bonyanchaire,kenya,2009-11-08,6,0,3.1825372019411424,1.0,-0.678288351,34.70904985,-0.7,34.7,-0.7,34.7,-0.7,34.7,-0.679486877,34.71499914,1.2,-0.23560301462809244,-0.0777777777777778,700261152.4223269,0.23300606041451694,0.15756949598715767
46,48,kisii,bomakombi,kenya,2009-11-10,6,0,1.8123433239888584,,-0.70441522,34.69546123,-0.7,34.7,-0.7,34.7,-0.7,34.7,-0.695549267,34.69940774,1.2,-0.23560301462809244,-0.0777777777777778,700261152.4223269,0.23300606041451694,0.15756949598715767
47,49,kisii,bonyanchaire,kenya,2009-11-08,4,0,3.3329343139239698,,-0.678288351,34.70904985,-0.7,34.7,-0.7,34.7,-0.7,34.7,-0.679486877,34.71499914,1.2,-0.23560301462809244,-0.0777777777777778,700261152.4223269,0.23300606041451694,0.15756949598715767
48,50,kisii,bonyanchaire,kenya,2009-11-08,6,0,1.0682707990862563,1.0,-0.678288351,34.70904985,-0.7,34.7,-0.7,34.7,-0.7,34.7,-0.679486877,34.71499914,1.2,-0.23560301462809244,-0.0777777777777778,700261152.4223269,0.23300606041451694,0.15756949598715767
49,51,kisii,bonyanchaire,kenya,2009-11-08,5,0,0.4941411295275874,,-0.678288351,34.70904985,-0.7,34.7,-0.7,34.7,-0.7,34.7,-0.679486877,34.71499914,1.2,-0.23560301462809244,-0.0777777777777778,700261152.4223269,0.23300606041451694,0.15756949598715767
50,52,kisii,bonyanchaire,kenya,2009-11-08,4,0,1.64940243603558,,-0.678288351,34.70904985,-0.7,34.7,-0.7,34.7,-0.7,34.7,-0.679486877,34.71499914,1.2,-0.23560301462809244,-0.0777777777777778,700261152.4223269,0.23300606041451694,0.15756949598715767
51,53,kisii,bonyanchaire,kenya,2009-11-08,5,0,3.1433369254656305,,-0.678288351,34.70904985,-0.7,34.7,-0.7,34.7,-0.7,34.7,-0.679486877,34.71499914,1.2,-0.23560301462809244,-0.0777777777777778,700261152.4223269,0.23300606041451694,0.15756949598715767
52,54,kisii,bomakombi,kenya,2009-11-09,2,0,0.149770014418088,1.0,-0.70441522,34.69546123,-0.7,34.7,-0.7,34.7,-0.7,34.7,-0.695549267,34.69940774,1.2,-0.23560301462809244,-0.0777777777777778,700261152.4223269,0.23300606041451694,0.15756949598715767
53,55,kisii,bomakombi,kenya,2009-11-10,5,0,0.8408221209543043,1.0,-0.70441522,34.69546123,-0.7,34.7,-0.7,34.7,-0.7,34.7,-0.695549267,34.69940774,1.2,-0.23560301462809244,-0.0777777777777778,700261152.4223269,0.23300606041451694,0.15756949598715767
54,56,kisii,bomakombi,kenya,2009-11-08,4,0,3.073151606540311,,-0.70441522,34.69546123,-0.7,34.7,-0.7,34.7,-0.7,34.7,-0.695549267,34.69940774,1.2,-0.23560301462809244,-0.0777777777777778,700261152.4223269,0.23300606041451694,0.15756949598715767
55,57,kisii,bomakombi,kenya,2009-11-09,2,0,3.5484322270875883,1.0,-0.70441522,34.69546123,-0.7,34.7,-0.7,34.7,-0.7,34.7,-0.695549267,34.69940774,1.2,-0.23560301462809244,-0.0777777777777778,700261152.4223269,0.23300606041451694,0.15756949598715767
56,58,kisii,bomakombi,kenya,2009-11-09,5,0,2.43166652894571,,-0.70441522,34.69546123,-0.7,34.7,-0.7,34.7,-0.7,34.7,-0.695549267,34.69940774,1.2,-0.23560301462809244,-0.0777777777777778,700261152.4223269,0.23300606041451694,0.15756949598715767
57,59,kisii,bomakombi,kenya,2009-11-08,6,0,3.212616624337708,,-0.70441522,34.69546123,-0.7,34.7,-0.7,34.7,-0.7,34.7,-0.695549267,34.69940774,1.2,-0.23560301462809244,-0.0777777777777778,700261152.4223269,0.23300606041451694,0.15756949598715767
58,60,kisii,nyokabaria,kenya,2009-11-08,6,3,0.168593329282586,1.0,-0.674091366,34.77188889,-0.65,34.75,-0.65,34.75,-0.65,34.75,-0.676960482,34.77155706,1.4,-0.33233790738242014,-0.0830188679245283,600382392.1085595,0.2288142145992161,0.04283250205776184
59,61,kisii,nyokabaria,kenya,2009-11-08,2,0,-0.5167999815536716,,-0.674091366,34.77188889,-0.65,34.75,-0.65,34.75,-0.65,34.75,-0.676960482,34.77155706,1.4,-0.33233790738242014,-0.0830188679245283,600382392.1085595,0.2288142145992161,0.04283250205776184
60,62,kisii,nyokabaria,kenya,2009-11-08,3,0,-0.628616663462888,,-0.674091366,34.77188889,-0.65,34.75,-0.65,34.75,-0.65,34.75,-0.676960482,34.77155706,1.4,-0.33233790738242014,-0.0830188679245283,600382392.1085595,0.2288142145992161,0.04283250205776184
61,63,kisii,nyokabaria,kenya,2009-11-11,1,0,0.7110432989551809,,-0.674091366,34.77188889,-0.65,34.75,-0.65,34.75,-0.65,34.75,-0.676960482,34.77155706,1.4,-0.33233790738242014,-0.0830188679245283,600382392.1085595,0.2288142145992161,0.04283250205776184
62,64,kisii,nyokabaria,kenya,2009-11-10,4,0,3.172510727808954,,-0.674091366,34.77188889,-0.65,34.75,-0.65,34.75,-0.65,34.75,-0.676960482,34.77155706,1.4,-0.33233790738242014,-0.0830188679245283,600382392.1085595,0.2288142145992161,0.04283250205776184
63,65,kisii,nyokabaria,kenya,2009-11-10,6,0,0.987864410176602,,-0.674091366,34.77188889,-0.65,34.75,-0.65,34.75,-0.65,34.75,-0.676960482,34.77155706,1.4,-0.33233790738242014,-0.0830188679245283,600382392.1085595,0.2288142145992161,0.04283250205776184
64,66,kisii,nyokabaria,kenya,2009-11-08,6,0,0.8584258665113935,,-0.674091366,34.77188889,-0.65,34.75,-0.65,34.75,-0.65,34.75,-0.676960482,34.77155706,1.4,-0.33233790738242014,-0.0830188679245283,600382392.1085595,0.2288142145992161,0.04283250205776184
65,67,kisii,kerera,kenya,2009-11-09,9,3,0.0786731978443878,1.0,-0.754425695,34.82872552,-0.75,34.85,-0.75,34.85,-0.75,34.85,-0.74192679,34.83335642,3.0,-0.3159813642501831,-0.24444444444444438,330437240.1493505,0.23355444253592078,-0.020550983725064968
66,68,kisii,irianyi,kenya,2009-11-08,4,9,3.053098658275934,1.0,-0.662238252,34.85472107,-0.65,34.85,-0.65,34.85,-0.65,34.85,-0.670594976,34.83335642,2.8,-0.3546004039900644,-0.2347826086956522,300490300.2912524,0.22434341876625327,-0.042685082959821034
67,69,kisii,irianyi,kenya,2009-11-08,7,7,0.8734655777096763,1.0,-0.662238252,34.85472107,-0.65,34.85,-0.65,34.85,-0.65,34.85,-0.670594976,34.83335642,2.8,-0.3546004039900644,-0.2347826086956522,300490300.2912524,0.22434341876625327,-0.042685082959821034
68,70,kisii,irianyi,kenya,2009-11-08,6,6,1.489884469973806,1.0,-0.662238252,34.85472107,-0.65,34.85,-0.65,34.85,-0.65,34.85,-0.670594976,34.83335642,2.8,-0.3546004039900644,-0.2347826086956522,300490300.2912524,0.22434341876625327,-0.042685082959821034
69,71,kisii,kerera,kenya,2009-11-09,6,1,1.5892435912424487,1.0,-0.754425695,34.82872552,-0.75,34.85,-0.75,34.85,-0.75,34.85,-0.74192679,34.83335642,3.0,-0.3159813642501831,-0.24444444444444438,330437240.1493505,0.23355444253592078,-0.020550983725064968
70,72,kisii,kerera,kenya,2009-11-09,4,2,-0.480236652103245,0.0,-0.754425695,34.82872552,-0.75,34.85,-0.75,34.85,-0.75,34.85,-0.74192679,34.83335642,3.0,-0.3159813642501831,-0.24444444444444438,330437240.1493505,0.23355444253592078,-0.020550983725064968
71,73,kisii,kerera,kenya,2009-11-09,7,4,0.7230830954741525,1.0,-0.754425695,34.82872552,-0.75,34.85,-0.75,34.85,-0.75,34.85,-0.74192679,34.83335642,3.0,-0.3159813642501831,-0.24444444444444438,330437240.1493505,0.23355444253592078,-0.020550983725064968
72,74,kisii,kerera,kenya,2009-11-09,4,4,1.0725906946937882,1.0,-0.754425695,34.82872552,-0.75,34.85,-0.75,34.85,-0.75,34.85,-0.74192679,34.83335642,3.0,-0.3159813642501831,-0.24444444444444438,330437240.1493505,0.23355444253592078,-0.020550983725064968
73,75,kisii,bonyanchaire,kenya,2009-11-08,3,3,-0.5551022340090022,1.0,-0.678288351,34.70904985,-0.7,34.7,-0.7,34.7,-0.7,34.7,-0.679486877,34.71499914,1.2,-0.23560301462809244,-0.0777777777777778,700261152.4223269,0.23300606041451694,0.15756949598715767
74,76,kisii,bonyanchaire,kenya,2009-11-09,5,6,-0.5400625228107194,1.0,-0.678288351,34.70904985,-0.7,34.7,-0.7,34.7,-0.7,34.7,-0.679486877,34.71499914,1.2,-0.23560301462809244,-0.0777777777777778,700261152.4223269,0.23300606041451694,0.15756949598715767
75,77,kisii,bonyanchaire,kenya,2009-11-09,7,1,3.133310451333442,1.0,-0.678288351,34.70904985,-0.7,34.7,-0.7,34.7,-0.7,34.7,-0.679486877,34.71499914,1.2,-0.23560301462809244,-0.0777777777777778,700261152.4223269,0.23300606041451694,0.15756949598715767
76,78,kisii,bonyanchaire,kenya,2009-11-09,3,5,2.0052709870498373,1.0,-0.678288351,34.70904985,-0.7,34.7,-0.7,34.7,-0.7,34.7,-0.679486877,34.71499914,1.2,-0.23560301462809244,-0.0777777777777778,700261152.4223269,0.23300606041451694,0.15756949598715767
77,79,kisii,kerera,kenya,2009-11-09,4,1,3.073151606540311,0.0,-0.754425695,34.82872552,-0.75,34.85,-0.75,34.85,-0.75,34.85,-0.74192679,34.83335642,3.0,-0.3159813642501831,-0.24444444444444438,330437240.1493505,0.23355444253592078,-0.020550983725064968
78,80,kisii,kerera,kenya,2009-11-09,9,1,0.9035450001062416,1.0,-0.754425695,34.82872552,-0.75,34.85,-0.75,34.85,-0.75,34.85,-0.74192679,34.83335642,3.0,-0.3159813642501831,-0.24444444444444438,330437240.1493505,0.23355444253592078,-0.020550983725064968
79,81,kisii,kerera,kenya,2009-11-10,5,2,0.868452340643582,1.0,-0.754425695,34.82872552,-0.75,34.85,-0.75,34.85,-0.75,34.85,-0.74192679,34.83335642,3.0,-0.3159813642501831,-0.24444444444444438,330437240.1493505,0.23355444253592078,-0.020550983725064968
80,82,kisii,kerera,kenya,2009-11-09,2,1,1.9691756801739584,1.0,-0.754425695,34.82872552,-0.75,34.85,-0.75,34.85,-0.75,34.85,-0.74192679,34.83335642,3.0,-0.3159813642501831,-0.24444444444444438,330437240.1493505,0.23355444253592078,-0.020550983725064968
