house,district,census_tract,country,date,wealth_index,hh_size,migrant_num,any_remit,migrant_hh,migrant_loc,hh_months,remit,lat,long
42,nakuru,section 58,kenya,2009-11-09,-1.6869519283928793,4,4,NA,hh,national,48,NA,-0.283812727,36.09431466
43,nakuru,section 58,kenya,2009-11-09,-2.265726549480074,6,4,1,hh,national,84,1,-0.283812727,36.09431466
43,nakuru,section 58,kenya,2009-11-09,-2.265726549480074,6,4,1,hh,national,84,1,-0.283812727,36.09431466
43,nakuru,section 58,kenya,2009-11-09,-2.265726549480074,6,4,1,hh,national,132,1,-0.283812727,36.09431466
43,nakuru,section 58,kenya,2009-11-09,-2.265726549480074,6,4,1,hh,national,120,NA,-0.283812727,36.09431466
44,kisii,bomakombi,kenya,2009-11-10,1.0217413426745992,5,0,NA,NA,NA,NA,NA,-0.70441522,34.69546123
45,kisii,bomakombi,kenya,2009-11-10,0.14084321505909525,1,0,NA,NA,NA,NA,NA,-0.70441522,34.69546123
46,kisii,bonyanchaire,kenya,2009-11-09,-0.519108962179938,5,0,NA,NA,NA,NA,NA,-0.678288351,34.70904985
47,kisii,bonyanchaire,kenya,2009-11-08,3.1825372019411424,6,0,1,non-hh,national,NA,1,-0.678288351,34.70904985
48,kisii,bomakombi,kenya,2009-11-10,1.8123433239888584,6,0,NA,NA,NA,NA,NA,-0.70441522,34.69546123
49,kisii,bonyanchaire,kenya,2009-11-08,3.3329343139239698,4,0,NA,NA,NA,NA,NA,-0.678288351,34.70904985
50,kisii,bonyanchaire,kenya,2009-11-08,1.0682707990862563,6,0,1,non-hh,national,NA,1,-0.678288351,34.70904985
51,kisii,bonyanchaire,kenya,2009-11-08,0.49414112952758743,5,0,NA,NA,NA,NA,NA,-0.678288351,34.70904985
52,kisii,bonyanchaire,kenya,2009-11-08,1.6494024360355801,4,0,NA,NA,NA,NA,NA,-0.678288351,34.70904985
53,kisii,bonyanchaire,kenya,2009-11-08,3.1433369254656305,5,0,NA,NA,NA,NA,NA,-0.678288351,34.70904985
54,kisii,bomakombi,kenya,2009-11-09,0.14977001441808807,2,0,1,non-hh,national,NA,1,-0.70441522,34.69546123
55,kisii,bomakombi,kenya,2009-11-10,0.8408221209543043,5,0,1,non-hh,national,NA,1,-0.70441522,34.69546123
56,kisii,bomakombi,kenya,2009-11-08,3.073151606540311,4,0,NA,NA,NA,NA,NA,-0.70441522,34.69546123
57,kisii,bomakombi,kenya,2009-11-09,3.5484322270875883,2,0,1,non-hh,national,NA,1,-0.70441522,34.69546123
58,kisii,bomakombi,kenya,2009-11-09,2.43166652894571,5,0,NA,NA,NA,NA,NA,-0.70441522,34.69546123
59,kisii,bomakombi,kenya,2009-11-08,3.212616624337708,6,0,NA,NA,NA,NA,NA,-0.70441522,34.69546123
60,kisii,nyokabaria,kenya,2009-11-08,0.16859332928258602,6,3,1,hh,national,15,1,-0.674091366,34.77188889
60,kisii,nyokabaria,kenya,2009-11-08,0.16859332928258602,6,3,1,hh,national,72,1,-0.674091366,34.77188889
60,kisii,nyokabaria,kenya,2009-11-08,0.16859332928258602,6,3,1,hh,national,42,1,-0.674091366,34.77188889
60,kisii,nyokabaria,kenya,2009-11-08,0.16859332928258602,6,3,1,non-hh,national,NA,1,-0.674091366,34.77188889
61,kisii,nyokabaria,kenya,2009-11-08,-0.5167999815536716,2,0,NA,NA,NA,NA,NA,-0.674091366,34.77188889
62,kisii,nyokabaria,kenya,2009-11-08,-0.628616663462888,3,0,NA,NA,NA,NA,NA,-0.674091366,34.77188889
63,kisii,nyokabaria,kenya,2009-11-11,0.7110432989551809,1,0,NA,NA,NA,NA,NA,-0.674091366,34.77188889
64,kisii,nyokabaria,kenya,2009-11-10,3.172510727808954,4,0,NA,NA,NA,NA,NA,-0.674091366,34.77188889
65,kisii,nyokabaria,kenya,2009-11-10,0.9878644101766021,6,0,NA,NA,NA,NA,NA,-0.674091366,34.77188889
66,kisii,nyokabaria,kenya,2009-11-08,0.8584258665113935,6,0,NA,NA,NA,NA,NA,-0.674091366,34.77188889
67,kisii,kerera,kenya,2009-11-09,0.07867319784438781,9,3,1,hh,international,180,1,-0.754425695,34.82872552
67,kisii,kerera,kenya,2009-11-09,0.07867319784438781,9,3,1,hh,national,148,NA,-0.754425695,34.82872552
67,kisii,kerera,kenya,2009-11-09,0.07867319784438781,9,3,1,hh,national,125,NA,-0.754425695,34.82872552
67,kisii,kerera,kenya,2009-11-09,0.07867319784438781,9,3,1,non-hh,national,NA,1,-0.754425695,34.82872552
68,kisii,irianyi,kenya,2009-11-08,3.053098658275934,4,9,1,hh,national,24,NA,-0.662238252,34.85472107
68,kisii,irianyi,kenya,2009-11-08,3.053098658275934,4,9,1,hh,national,180,NA,-0.662238252,34.85472107
68,kisii,irianyi,kenya,2009-11-08,3.053098658275934,4,9,1,hh,national,2,1,-0.662238252,34.85472107
68,kisii,irianyi,kenya,2009-11-08,3.053098658275934,4,9,1,hh,national,188,1,-0.662238252,34.85472107
68,kisii,irianyi,kenya,2009-11-08,3.053098658275934,4,9,1,hh,international,24,NA,-0.662238252,34.85472107
68,kisii,irianyi,kenya,2009-11-08,3.053098658275934,4,9,1,hh,national,36,NA,-0.662238252,34.85472107
68,kisii,irianyi,kenya,2009-11-08,3.053098658275934,4,9,1,hh,national,60,NA,-0.662238252,34.85472107
68,kisii,irianyi,kenya,2009-11-08,3.053098658275934,4,9,1,hh,national,180,NA,-0.662238252,34.85472107
68,kisii,irianyi,kenya,2009-11-08,3.053098658275934,4,9,1,hh,international,120,1,-0.662238252,34.85472107
