,house,department,census_tract,country,hh_size,migrant_num,wealth_index,remit,lat,long,lat_SPEI,long_SPEI,NDVI_lat,NDVI_lon,sev_lat,sev_lon,pop_cent_lat,pop_cent_long,annual_frequency,severity,autocorrelation,avg_area,NDVI_mean,SVI_severity
1858,402,guediawaye,cite des enseignants,senegal,7,0,1.26923418364648,,14.77683245,-17.40519022,14.8,-17.4,14.75,-17.399999999999977,14.8,-17.4,14.77734506,-17.39599836,0.6,-0.21996855735778809,-0.05526315789473685,15484.867580907992,0.1047905545263934,
1859,680,tiwaouane,ndiandakhoune,senegal,20,2,-0.544783286552235,0.0,14.95366585,-16.81168094,14.95,-16.8,14.95,-16.8,14.95,-16.8,15.03429087,-16.79291761,0.2,-0.23555302619934082,-0.01779661016949152,2047657.5410779626,0.18710302971744586,0.8622437542099431
1860,1842,st-louis,sor nord,senegal,18,1,-0.622846429724099,1.0,16.03200409,-16.47188231,16.05,-16.45,16.05,-16.45,16.05,-16.45,16.0110665,-16.45109143,0.0,0.0,,0.0,0.15915969174752542,0.0
1861,199,dakar,ouagou niayes 2,senegal,20,0,-0.772893110612781,,14.70737,-17.449,14.7,-17.45,14.75,-17.399999999999977,14.7,-17.45,14.72094534,-17.45998489,0.0,0.0,,0.0,0.1047905545263934,0.0
1862,1845,st-louis,sor nord,senegal,5,2,0.834548454246502,1.0,16.03200409,-16.47188231,16.05,-16.45,16.05,-16.45,16.05,-16.45,16.0110665,-16.45109143,0.0,0.0,,0.0,0.15915969174752542,0.0
1863,1969,dagana,bouleydi,senegal,8,1,-2.60467071672681,0.0,16.58435183,-15.45257669,16.6,-15.45,16.6,-15.45,16.6,-15.45,16.47147469,-15.40508637,0.0,0.0,,0.0,0.17078814899918124,0.0
1864,1398,matam,boynadji roumde,senegal,13,1,-0.534626916942527,1.0,15.66051954,-13.35041654,15.65,-13.35,15.65,-13.35,15.65,-13.35,15.6680352,-13.36263999,0.2,-0.11338746547698975,-0.017796610169491522,15114614.100146627,0.154766297982673,0.09514271744312905
1865,184,dakar,gibraltar 1,senegal,6,0,1.82969966951752,,14.68384,-17.42093,14.7,-17.4,14.75,-17.399999999999977,14.7,-17.4,14.66195934,-17.39599836,0.0,0.0,,0.0,0.1047905545263934,0.0
1866,250,dakar,gueule tapee,senegal,2,2,1.3313590921952,0.0,14.68287,-17.45728,14.7,-17.45,14.75,-17.399999999999977,14.7,-17.45,14.66195934,-17.45998489,0.0,0.0,,0.0,0.1047905545263934,0.0
1867,632,rufisque,niagha ouolof,senegal,13,0,-0.447716354713852,,14.80539524,-17.23892342,14.8,-17.25,14.8,-17.25,14.8,-17.25,14.81724179,-17.22764196,0.6,-0.23342434565226236,-0.05526315789473685,92929.7663441567,0.21121838802929951,0.6325516641510629
