house,district,census_tract,country,date,hh_size,migrant_num,wealth_index,remit,lat,long
85,kisii,irianyi,kenya,2009-11-09,4,6,1.3637573543600818,1,-0.662238252,34.85472107
86,kisii,irianyi,kenya,2009-11-09,3,2,2.918040347200733,1,-0.662238252,34.85472107
87,kisii,irianyi,kenya,2009-11-09,3,5,2.918040347200733,1,-0.662238252,34.85472107
88,kisii,bomakombi,kenya,2009-11-10,3,3,0.30094888077138604,1,-0.70441522,34.69546123
89,kisii,nyokabaria,kenya,2009-11-08,3,2,-0.4966396604810657,1,-0.674091366,34.77188889
90,kisii,nyokabaria,kenya,2009-11-08,5,3,0.9554536454306214,1,-0.674091366,34.77188889
91,kisii,irianyi,kenya,2009-11-08,5,2,2.6530114855492832,1,-0.662238252,34.85472107
92,kisii,irianyi,kenya,2009-11-09,4,1,3.2062520653822806,1,-0.662238252,34.85472107
93,kisii,bomakombi,kenya,2009-11-10,4,2,2.4569413663268613,1,-0.70441522,34.69546123
94,kisii,bomakombi,kenya,2009-11-10,4,1,1.8863879170643827,1,-0.70441522,34.69546123
95,kisii,bomakombi,kenya,2009-11-10,6,1,0.42061708945130183,1,-0.70441522,34.69546123
98,kisii,bonyanchaire,kenya,2009-11-08,2,3,3.186307363935628,1,-0.678288351,34.70904985
99,kisii,bonyanchaire,kenya,2009-11-09,6,1,0.9853706976006003,1,-0.678288351,34.70904985
100,kisii,bomakombi,kenya,2009-11-10,4,3,0.3607829851113439,1,-0.70441522,34.69546123
101,kisii,bomakombi,kenya,2009-11-10,4,1,3.460615611351686,1,-0.70441522,34.69546123
102,kisii,bomakombi,kenya,2009-11-10,4,2,0.17290177729744746,1,-0.70441522,34.69546123
103,kisii,bonyanchaire,kenya,2009-11-09,5,1,-0.6664672105312194,1,-0.678288351,34.70904985
104,kisii,bonyanchaire,kenya,2009-11-08,5,1,1.6270381957333142,0,-0.678288351,34.70904985
105,kisii,kerera,kenya,2009-11-09,5,5,3.3210027012251175,1,-0.754425695,34.82872552
106,kisii,kerera,kenya,2009-11-09,5,1,1.0452048019405582,1,-0.754425695,34.82872552
107,kisii,kerera,kenya,2009-11-09,4,1,0.8827136720395578,1,-0.754425695,34.82872552
108,kisii,kerera,kenya,2009-11-10,6,1,0.6814388858507601,1,-0.754425695,34.82872552
109,kisii,irianyi,kenya,2009-11-08,5,0,2.957929750094038,NA,-0.662238252,34.85472107
110,kisii,irianyi,kenya,2009-11-09,4,0,2.9379850486473855,NA,-0.662238252,34.85472107
111,kisii,irianyi,kenya,2009-11-09,7,0,1.3886882311683977,NA,-0.662238252,34.85472107
112,kisii,irianyi,kenya,2009-11-08,8,0,3.0177638544339955,1,-0.662238252,34.85472107
113,kisii,kerera,kenya,2009-11-10,5,0,1.1779594567320648,NA,-0.754425695,34.82872552
114,kisii,kerera,kenya,2009-11-10,6,0,3.2461414682755865,NA,-0.754425695,34.82872552
115,kisii,kerera,kenya,2009-11-10,5,0,2.4768860677735143,NA,-0.754425695,34.82872552
116,kisii,kerera,kenya,2009-11-10,6,0,2.589515444057883,NA,-0.754425695,34.82872552
117,kisii,kerera,kenya,2009-11-09,1,0,0.8328519184229263,NA,-0.754425695,34.82872552
118,kisii,kerera,kenya,2009-11-10,2,0,3.1663626624889756,1,-0.754425695,34.82872552
119,kisii,kerera,kenya,2009-11-09,6,0,3.2461414682755865,NA,-0.754425695,34.82872552
120,kisii,kerera,kenya,2009-11-09,5,0,3.3210027012251175,NA,-0.754425695,34.82872552
121,kisii,irianyi,kenya,2009-11-08,3,4,3.186307363935628,1,-0.662238252,34.85472107
122,kisii,irianyi,kenya,2009-11-08,4,4,0.9298104578563536,0,-0.662238252,34.85472107
123,kisii,nyokabaria,kenya,2009-11-08,5,1,-1.8040132009041276,0,-0.674091366,34.77188889
124,kisii,nyokabaria,kenya,2009-11-08,6,1,-1.4990016646382553,0,-0.674091366,34.77188889
125,kisii,kerera,kenya,2009-11-08,4,7,-0.5779070663848408,1,-0.754425695,34.82872552
127,kisii,bonyanchaire,kenya,2009-11-10,2,4,0.17622589420522292,1,-0.678288351,34.70904985
128,kisii,bonyanchaire,kenya,2009-11-10,1,5,0.4321987202921863,0,-0.678288351,34.70904985
129,kisii,bonyanchaire,kenya,2009-11-09,7,1,0.2061429463752019,1,-0.678288351,34.70904985
130,kisii,bonyanchaire,kenya,2009-11-09,4,1,1.6320243710949773,1,-0.678288351,34.70904985
131,kisii,bonyanchaire,kenya,2009-11-09,7,1,3.1624315424468112,0,-0.678288351,34.70904985
133,kisii,bomakombi,kenya,2009-11-10,5,2,1.820260043555811,1,-0.70441522,34.69546123
134,kisii,bomakombi,kenya,2009-11-10,5,1,2.5695707426112304,1,-0.70441522,34.69546123
135,kisii,bomakombi,kenya,2009-11-10,3,1,-0.587879417108167,1,-0.70441522,34.69546123
136,kisii,bomakombi,kenya,2009-11-10,3,1,-0.01350312346495805,1,-0.70441522,34.69546123
137,kisii,irianyi,kenya,2009-11-09,3,1,0.9255365932606424,1,-0.662238252,34.85472107
138,kisii,irianyi,kenya,2009-11-09,4,1,0.2260876478218545,0,-0.662238252,34.85472107
139,kisii,irianyi,kenya,2009-11-09,3,2,-0.4251657384110047,1,-0.662238252,34.85472107
140,kisii,irianyi,kenya,2009-11-08,4,2,0.9434868245626297,1,-0.662238252,34.85472107
141,kisii,irianyi,kenya,2009-11-08,5,1,0.2601503016168485,1,-0.662238252,34.85472107
143,kisii,irianyi,kenya,2009-11-09,2,2,-1.848888779159096,1,-0.662238252,34.85472107
144,kisii,irianyi,kenya,2009-11-09,2,1,0.915564242537316,1,-0.662238252,34.85472107
145,kisii,nyokabaria,kenya,2009-11-10,2,4,-1.1760232244728073,1,-0.674091366,34.77188889
146,kisii,nyokabaria,kenya,2009-11-08,3,3,-1.171037049111144,1,-0.674091366,34.77188889
147,kisii,nyokabaria,kenya,2009-11-08,6,3,-0.4547557874430952,1,-0.674091366,34.77188889
148,kisii,nyokabaria,kenya,2009-11-08,5,2,0.2061429463752019,1,-0.674091366,34.77188889
149,kisii,nyokabaria,kenya,2009-11-08,4,4,-0.5699291858061798,1,-0.674091366,34.77188889
150,kisii,nyokabaria,kenya,2009-11-08,3,1,-0.9393277735259472,1,-0.674091366,34.77188889
151,kiambu,mutundu,kenya,2009-11-09,3,5,-0.5729208910231777,1,-1.170374442,36.83007059
152,kiambu,mutundu,kenya,2009-11-10,6,0,1.6240464905163163,NA,-1.170374442,36.83007059
153,kiambu,mutundu,kenya,2009-11-09,6,0,3.293080119199804,NA,-1.170374442,36.83007059
154,kiambu,mutundu,kenya,2009-11-09,5,0,1.7966367605544458,NA,-1.170374442,36.83007059
155,kiambu,mutundu,kenya,2009-11-10,3,1,0.047117217554835195,0,-1.170374442,36.83007059
156,kiambu,mutundu,kenya,2009-11-09,2,1,0.2754748092605769,1,-1.170374442,36.83007059
157,kiambu,mutundu,kenya,2009-11-10,4,1,-0.09254948021841566,1,-1.170374442,36.83007059
158,kiambu,mutundu,kenya,2009-11-09,3,1,-1.373614117976258,0,-1.170374442,36.83007059
159,kiambu,mutundu,kenya,2009-11-09,4,9,-0.9394939050599983,1,-1.170374442,36.83007059
160,kiambu,mutundu,kenya,2009-11-10,5,1,1.27043753241982,0,-1.170374442,36.83007059
161,kiambu,mutundu,kenya,2009-11-10,6,2,0.6038391574787901,0,-1.170374442,36.83007059
162,kiambu,mutundu,kenya,2009-11-10,3,0,1.2155896034415252,1,-1.170374442,36.83007059
163,kiambu,mutundu,kenya,2009-11-10,4,1,1.4187838019873482,1,-1.170374442,36.83007059
164,kiambu,mutundu,kenya,2009-11-09,2,2,1.2006310773565356,1,-1.170374442,36.83007059
165,kiambu,mutundu,kenya,2009-11-09,6,1,0.6337562096487691,1,-1.170374442,36.83007059
166,kiambu,mutundu,kenya,2009-11-09,3,5,-0.9634275467959813,1,-1.170374442,36.83007059
167,kiambu,mutundu,kenya,2009-11-09,2,0,0.06562570625536565,1,-1.170374442,36.83007059
168,kiambu,mutundu,kenya,2009-11-10,1,1,-1.6572350380012553,1,-1.170374442,36.83007059
169,kiambu,mutundu,kenya,2009-11-09,5,2,-0.43463221910683036,1,-1.170374442,36.83007059
170,kiambu,mutundu,kenya,2009-11-10,5,0,1.2541088287871187,1,-1.170374442,36.83007059
171,kiambu,mutundu,kenya,2009-11-10,2,2,-0.41918232797700894,0,-1.170374442,36.83007059
