house,lat_ego,long_ego,remit
69,-0.662238252,34.85472107,1
70,-0.662238252,34.85472107,1
71,-0.754425695,34.82872552,1
72,-0.754425695,34.82872552,NA
73,-0.754425695,34.82872552,1
74,-0.754425695,34.82872552,1
75,-0.678288351,34.70904985,1
76,-0.678288351,34.70904985,1
77,-0.678288351,34.70904985,1
78,-0.678288351,34.70904985,NA
79,-0.754425695,34.82872552,NA
80,-0.754425695,34.82872552,1
81,-0.754425695,34.82872552,1
82,-0.754425695,34.82872552,1
83,-0.754425695,34.82872552,NA
84,-0.754425695,34.82872552,1
85,-0.662238252,34.85472107,1
86,-0.662238252,34.85472107,1
87,-0.662238252,34.85472107,1
88,-0.70441522,34.69546123,1
89,-0.674091366,34.77188889,1
90,-0.674091366,34.77188889,1
91,-0.662238252,34.85472107,1
92,-0.662238252,34.85472107,1
93,-0.70441522,34.69546123,1
94,-0.70441522,34.69546123,1
95,-0.70441522,34.69546123,1
96,-0.70441522,34.69546123,NA
97,-0.70441522,34.69546123,1
98,-0.678288351,34.70904985,1
99,-0.678288351,34.70904985,1
100,-0.70441522,34.69546123,1
101,-0.70441522,34.69546123,1
102,-0.70441522,34.69546123,1
103,-0.678288351,34.70904985,1
104,-0.678288351,34.70904985,NA
105,-0.754425695,34.82872552,1
106,-0.754425695,34.82872552,1
107,-0.754425695,34.82872552,1
108,-0.754425695,34.82872552,1
109,-0.662238252,34.85472107,NA
110,-0.662238252,34.85472107,NA
111,-0.662238252,34.85472107,NA
112,-0.662238252,34.85472107,1
113,-0.754425695,34.82872552,NA
114,-0.754425695,34.82872552,NA
115,-0.754425695,34.82872552,NA
116,-0.754425695,34.82872552,NA
117,-0.754425695,34.82872552,NA
118,-0.754425695,34.82872552,1
119,-0.754425695,34.82872552,NA
120,-0.754425695,34.82872552,NA
121,-0.662238252,34.85472107,1
122,-0.662238252,34.85472107,NA
123,-0.674091366,34.77188889,NA
124,-0.674091366,34.77188889,NA
125,-0.754425695,34.82872552,1
126,-0.70441522,34.69546123,1
127,-0.678288351,34.70904985,NA
128,-0.678288351,34.70904985,NA
129,-0.678288351,34.70904985,1
130,-0.678288351,34.70904985,1
131,-0.678288351,34.70904985,NA
132,-0.70441522,34.69546123,NA
133,-0.70441522,34.69546123,1
134,-0.70441522,34.69546123,1
135,-0.70441522,34.69546123,1
136,-0.70441522,34.69546123,1
137,-0.662238252,34.85472107,1
138,-0.662238252,34.85472107,NA
139,-0.662238252,34.85472107,1
140,-0.662238252,34.85472107,1
141,-0.662238252,34.85472107,1
142,-0.662238252,34.85472107,1
143,-0.662238252,34.85472107,NA
144,-0.662238252,34.85472107,1
145,-0.674091366,34.77188889,1
146,-0.674091366,34.77188889,1
147,-0.674091366,34.77188889,1
148,-0.674091366,34.77188889,NA
149,-0.674091366,34.77188889,1
150,-0.674091366,34.77188889,1
151,-1.170374442,36.83007059,1
152,-1.170374442,36.83007059,NA
153,-1.170374442,36.83007059,NA
154,-1.170374442,36.83007059,NA
155,-1.170374442,36.83007059,NA
156,-1.170374442,36.83007059,1
157,-1.170374442,36.83007059,1
158,-1.170374442,36.83007059,NA
159,-1.170374442,36.83007059,1
160,-1.170374442,36.83007059,NA
161,-1.170374442,36.83007059,NA
162,-1.170374442,36.83007059,1
163,-1.170374442,36.83007059,1
164,-1.170374442,36.83007059,1
165,-1.170374442,36.83007059,1
166,-1.170374442,36.83007059,1
167,-1.170374442,36.83007059,1
168,-1.170374442,36.83007059,1
169,-1.170374442,36.83007059,1
170,-1.170374442,36.83007059,1
171,-1.170374442,36.83007059,NA
172,-1.170374442,36.83007059,1
173,-1.267001706,36.88035515,NA
174,-1.254882111,36.83204676,NA
175,-1.254882111,36.83204676,NA
176,-1.254882111,36.83204676,1
177,-1.254882111,36.83204676,1
178,-1.254882111,36.83204676,NA
179,-1.254882111,36.83204676,NA
180,-1.254882111,36.83204676,NA
181,-1.254882111,36.83204676,NA
182,-1.254882111,36.83204676,NA
183,-1.254882111,36.83204676,NA
184,-1.254882111,36.83204676,NA
185,-1.254882111,36.83204676,NA
186,-1.254882111,36.83204676,NA
187,-1.254882111,36.83204676,1
