,house,district,census_tract,country,hh_size,migrant_num,wealth_index,remit,lat,long,lat_regrid,long_regrid,intensity,magnitude,duration,frequency,severity,dispersion
1807,1897,edo,ugbekun,nigeria,10,2,1.6067931279980567,0.0,6.312205242,5.652425602,6.3,5.65,-1.8291968901952107,-1.8317365646362305,1.3333333333333333,0.5,-2.3802273670832315,-0.5
1808,1898,edo,ugbekun,nigeria,5,2,2.2360345759628477,0.0,6.312205242,5.652425602,6.3,5.65,-1.8291968901952107,-1.8317365646362305,1.3333333333333333,0.5,-2.3802273670832315,-0.5
1809,1899,edo,ugbekun,nigeria,3,4,0.2306849833082241,1.0,6.312205242,5.652425602,6.3,5.65,-1.8291968901952107,-1.8317365646362305,1.3333333333333333,0.5,-2.3802273670832315,-0.5
1810,1900,edo,ugbekun,nigeria,2,4,1.8245754847775328,1.0,6.312205242,5.652425602,6.3,5.65,-1.8291968901952107,-1.8317365646362305,1.3333333333333333,0.5,-2.3802273670832315,-0.5
1811,1901,edo,ugbekun,nigeria,9,1,1.1920838816443189,0.0,6.312205242,5.652425602,6.3,5.65,-1.8291968901952107,-1.8317365646362305,1.3333333333333333,0.5,-2.3802273670832315,-0.5
1812,1902,edo,ugbekun,nigeria,8,4,1.5879032649406626,1.0,6.312205242,5.652425602,6.3,5.65,-1.8291968901952107,-1.8317365646362305,1.3333333333333333,0.5,-2.3802273670832315,-0.5
1813,1903,edo,ugbekun,nigeria,4,1,1.594747011334403,0.0,6.312205242,5.652425602,6.3,5.65,-1.8291968901952107,-1.8317365646362305,1.3333333333333333,0.5,-2.3802273670832315,-0.5
1814,1904,edo,ugbekun,nigeria,5,0,-0.4261235994450506,,6.312205242,5.652425602,6.3,5.65,-1.8291968901952107,-1.8317365646362305,1.3333333333333333,0.5,-2.3802273670832315,-0.5
1815,1905,edo,ugbekun,nigeria,15,0,0.9951594556792428,,6.312205242,5.652425602,6.3,5.65,-1.8291968901952107,-1.8317365646362305,1.3333333333333333,0.5,-2.3802273670832315,-0.5
1816,1906,edo,ugbekun,nigeria,9,0,1.2792751087536618,,6.312205242,5.652425602,6.3,5.65,-1.8291968901952107,-1.8317365646362305,1.3333333333333333,0.5,-2.3802273670832315,-0.5
1817,1907,edo,ugbekun,nigeria,5,0,3.0307444267736616,,6.312205242,5.652425602,6.3,5.65,-1.8291968901952107,-1.8317365646362305,1.3333333333333333,0.5,-2.3802273670832315,-0.5
1818,1908,edo,ugbekun,nigeria,3,0,1.5488070543317145,,6.312205242,5.652425602,6.3,5.65,-1.8291968901952107,-1.8317365646362305,1.3333333333333333,0.5,-2.3802273670832315,-0.5
1819,1909,ebonyi,ugwu-egu,nigeria,5,2,1.0410837050620143,1.0,6.2977,8.0834,6.3,8.1,-1.4808393716812134,-1.5149343013763428,1.5,0.3333333333333333,-2.1363805532455444,-0.33333333333333326
1820,1910,ebonyi,ugwu-egu,nigeria,2,8,-3.3413823526778965,1.0,6.2977,8.0834,6.3,8.1,-1.4808393716812134,-1.5149343013763428,1.5,0.3333333333333333,-2.1363805532455444,-0.33333333333333326
1821,1911,ebonyi,ugwu-egu,nigeria,5,0,-0.5320433917123346,1.0,6.2977,8.0834,6.3,8.1,-1.4808393716812134,-1.5149343013763428,1.5,0.3333333333333333,-2.1363805532455444,-0.33333333333333326
1822,1912,ebonyi,ugwu-egu,nigeria,4,6,-0.2453518155470337,1.0,6.2977,8.0834,6.3,8.1,-1.4808393716812134,-1.5149343013763428,1.5,0.3333333333333333,-2.1363805532455444,-0.33333333333333326
1823,1913,ebonyi,ugwu-egu,nigeria,5,5,0.4611322382430459,1.0,6.2977,8.0834,6.3,8.1,-1.4808393716812134,-1.5149343013763428,1.5,0.3333333333333333,-2.1363805532455444,-0.33333333333333326
1824,1914,ebonyi,ugwu-egu,nigeria,5,1,-1.1672880767035465,1.0,6.2977,8.0834,6.3,8.1,-1.4808393716812134,-1.5149343013763428,1.5,0.3333333333333333,-2.1363805532455444,-0.33333333333333326
1825,1915,ebonyi,ugwu-egu,nigeria,7,1,-2.197543453158488,0.0,6.2977,8.0834,6.3,8.1,-1.4808393716812134,-1.5149343013763428,1.5,0.3333333333333333,-2.1363805532455444,-0.33333333333333326
1826,1916,ebonyi,ugwu-egu,nigeria,4,4,-0.2260264008253065,1.0,6.2977,8.0834,6.3,8.1,-1.4808393716812134,-1.5149343013763428,1.5,0.3333333333333333,-2.1363805532455444,-0.33333333333333326
1827,1917,ebonyi,ugwu-egu,nigeria,12,2,0.3775550153594541,1.0,6.2977,8.0834,6.3,8.1,-1.4808393716812134,-1.5149343013763428,1.5,0.3333333333333333,-2.1363805532455444,-0.33333333333333326
1828,1918,ebonyi,ugwu-egu,nigeria,9,0,-1.2213990989154966,1.0,6.2977,8.0834,6.3,8.1,-1.4808393716812134,-1.5149343013763428,1.5,0.3333333333333333,-2.1363805532455444,-0.33333333333333326
1829,1919,ebonyi,ugwu-egu,nigeria,7,2,-0.5920587068600301,1.0,6.2977,8.0834,6.3,8.1,-1.4808393716812134,-1.5149343013763428,1.5,0.3333333333333333,-2.1363805532455444,-0.33333333333333326
1830,1920,ebonyi,ugwu-egu,nigeria,9,2,1.1178585449125564,1.0,6.2977,8.0834,6.3,8.1,-1.4808393716812134,-1.5149343013763428,1.5,0.3333333333333333,-2.1363805532455444,-0.33333333333333326
1831,1921,ebonyi,ugwu-egu,nigeria,3,0,-0.3276592137480334,,6.2977,8.0834,6.3,8.1,-1.4808393716812134,-1.5149343013763428,1.5,0.3333333333333333,-2.1363805532455444,-0.33333333333333326
1832,1922,ebonyi,ugwu-egu,nigeria,4,0,1.0490387713863645,1.0,6.2977,8.0834,6.3,8.1,-1.4808393716812134,-1.5149343013763428,1.5,0.3333333333333333,-2.1363805532455444,-0.33333333333333326
