,house,district,census_tract,country,date,hh_size,migrant_num,wealth_index,remit,lat,long,lat_regrid,long_regrid,intensity,magnitude,duration,frequency,severity,dispersion
38,40,nakuru,section 58,kenya,2009-11-09,4,2,-3.0900108674401845,1.0,-0.283812727,36.09431466,-0.3,36.1,-1.6351221203804016,-1.7225322872400284,2.0,0.8333333333333334,-3.3181073516607285,-0.43333333333333346
39,41,nakuru,section 58,kenya,2009-11-09,1,7,-3.1180849950103124,1.0,-0.283812727,36.09431466,-0.3,36.1,-1.6351221203804016,-1.7225322872400284,2.0,0.8333333333333334,-3.3181073516607285,-0.43333333333333346
40,42,nakuru,section 58,kenya,2009-11-09,4,4,-1.686951928392879,0.0,-0.283812727,36.09431466,-0.3,36.1,-1.6351221203804016,-1.7225322872400284,2.0,0.8333333333333334,-3.3181073516607285,-0.43333333333333346
41,43,nakuru,section 58,kenya,2009-11-09,6,4,-2.265726549480074,1.0,-0.283812727,36.09431466,-0.3,36.1,-1.6351221203804016,-1.7225322872400284,2.0,0.8333333333333334,-3.3181073516607285,-0.43333333333333346
42,44,kisii,bomakombi,kenya,2009-11-10,5,0,1.0217413426745992,,-0.70441522,34.69546123,-0.7,34.7,-1.7325636545817058,-1.9054208596547444,2.6666666666666665,0.5,-4.709439913431804,-0.5
43,45,kisii,bomakombi,kenya,2009-11-10,1,0,0.1408432150590952,,-0.70441522,34.69546123,-0.7,34.7,-1.7325636545817058,-1.9054208596547444,2.6666666666666665,0.5,-4.709439913431804,-0.5
44,46,kisii,bonyanchaire,kenya,2009-11-09,5,0,-0.519108962179938,,-0.678288351,34.70904985,-0.7,34.7,-1.7325636545817058,-1.9054208596547444,2.6666666666666665,0.5,-4.709439913431804,-0.5
45,47,kisii,bonyanchaire,kenya,2009-11-08,6,0,3.1825372019411424,1.0,-0.678288351,34.70904985,-0.7,34.7,-1.7325636545817058,-1.9054208596547444,2.6666666666666665,0.5,-4.709439913431804,-0.5
46,48,kisii,bomakombi,kenya,2009-11-10,6,0,1.8123433239888584,,-0.70441522,34.69546123,-0.7,34.7,-1.7325636545817058,-1.9054208596547444,2.6666666666666665,0.5,-4.709439913431804,-0.5
47,49,kisii,bonyanchaire,kenya,2009-11-08,4,0,3.3329343139239698,,-0.678288351,34.70904985,-0.7,34.7,-1.7325636545817058,-1.9054208596547444,2.6666666666666665,0.5,-4.709439913431804,-0.5
48,50,kisii,bonyanchaire,kenya,2009-11-08,6,0,1.0682707990862563,1.0,-0.678288351,34.70904985,-0.7,34.7,-1.7325636545817058,-1.9054208596547444,2.6666666666666665,0.5,-4.709439913431804,-0.5
