,house,country,hh_size,migrant_num,wealth_index,remit,municipality,lat,long,district,lat_regrid,long_regrid,intensity,magnitude,duration,frequency,severity,dispersion,area,NDVI_mean,SVI_severity
31,32,south_africa,3,0,-0.1501717940812236,,merafong city,-26.4169,27.3995,west rand district municipality,-26.4,27.4,-1.835856318473816,-1.835856318473816,1.0,0.2,-1.835856318473816,-0.19999999999999973,106504465.48872524,0.19147113092458548,0.30978638015444276
32,33,south_africa,3,0,-0.0731132076899034,,merafong city,-26.4169,27.3995,west rand district municipality,-26.4,27.4,-1.835856318473816,-1.835856318473816,1.0,0.2,-1.835856318473816,-0.19999999999999973,106504465.48872524,0.19147113092458548,0.30978638015444276
33,34,south_africa,6,0,-0.1501717940812236,,merafong city,-26.4169,27.3995,west rand district municipality,-26.4,27.4,-1.835856318473816,-1.835856318473816,1.0,0.2,-1.835856318473816,-0.19999999999999973,106504465.48872524,0.19147113092458548,0.30978638015444276
34,35,south_africa,5,0,-0.0816752728444946,1.0,merafong city,-26.4169,27.3995,west rand district municipality,-26.4,27.4,-1.835856318473816,-1.835856318473816,1.0,0.2,-1.835856318473816,-0.19999999999999973,106504465.48872524,0.19147113092458548,0.30978638015444276
35,36,south_africa,5,0,1.7200673634491854,,merafong city,-26.4169,27.3995,west rand district municipality,-26.4,27.4,-1.835856318473816,-1.835856318473816,1.0,0.2,-1.835856318473816,-0.19999999999999973,106504465.48872524,0.19147113092458548,0.30978638015444276
36,37,south_africa,6,0,-1.0895601204329997,,merafong city,-26.4169,27.3995,west rand district municipality,-26.4,27.4,-1.835856318473816,-1.835856318473816,1.0,0.2,-1.835856318473816,-0.19999999999999973,106504465.48872524,0.19147113092458548,0.30978638015444276
37,38,south_africa,3,0,-2.070295290425981,,merafong city,-26.4169,27.3995,west rand district municipality,-26.4,27.4,-1.835856318473816,-1.835856318473816,1.0,0.2,-1.835856318473816,-0.19999999999999973,106504465.48872524,0.19147113092458548,0.30978638015444276
38,39,south_africa,2,0,1.621307088986179,,merafong city,-26.4169,27.3995,west rand district municipality,-26.4,27.4,-1.835856318473816,-1.835856318473816,1.0,0.2,-1.835856318473816,-0.19999999999999973,106504465.48872524,0.19147113092458548,0.30978638015444276
39,40,south_africa,2,0,0.0195864896573871,,merafong city,-26.4169,27.3995,west rand district municipality,-26.4,27.4,-1.835856318473816,-1.835856318473816,1.0,0.2,-1.835856318473816,-0.19999999999999973,106504465.48872524,0.19147113092458548,0.30978638015444276
40,41,south_africa,3,0,-0.1088444876614797,,merafong city,-26.4169,27.3995,west rand district municipality,-26.4,27.4,-1.835856318473816,-1.835856318473816,1.0,0.2,-1.835856318473816,-0.19999999999999973,106504465.48872524,0.19147113092458548,0.30978638015444276
41,42,south_africa,3,0,-0.0844487160871305,,merafong city,-26.4169,27.3995,west rand district municipality,-26.4,27.4,-1.835856318473816,-1.835856318473816,1.0,0.2,-1.835856318473816,-0.19999999999999973,106504465.48872524,0.19147113092458548,0.30978638015444276
42,43,south_africa,7,0,0.9564757474740464,,mogale city,-25.9871,27.683,west rand district municipality,-26.0,27.7,-1.566449224948883,-1.6151604056358337,1.5,0.4,-2.3750399947166443,-0.3999999999999999,254526308.08968705,0.21300591176629552,-0.45808850401916046
43,44,south_africa,2,0,0.3198296699608042,,mogale city,-25.9871,27.683,west rand district municipality,-26.0,27.7,-1.566449224948883,-1.6151604056358337,1.5,0.4,-2.3750399947166443,-0.3999999999999999,254526308.08968705,0.21300591176629552,-0.45808850401916046
44,45,south_africa,2,0,-1.2264502244381903,,mogale city,-25.9871,27.683,west rand district municipality,-26.0,27.7,-1.566449224948883,-1.6151604056358337,1.5,0.4,-2.3750399947166443,-0.3999999999999999,254526308.08968705,0.21300591176629552,-0.45808850401916046
45,46,south_africa,4,0,1.6302524161839276,,mogale city,-25.9871,27.683,west rand district municipality,-26.0,27.7,-1.566449224948883,-1.6151604056358337,1.5,0.4,-2.3750399947166443,-0.3999999999999999,254526308.08968705,0.21300591176629552,-0.45808850401916046
46,47,south_africa,3,0,-0.0731132076899034,,mogale city,-25.9871,27.683,west rand district municipality,-26.0,27.7,-1.566449224948883,-1.6151604056358337,1.5,0.4,-2.3750399947166443,-0.3999999999999999,254526308.08968705,0.21300591176629552,-0.45808850401916046
