,house,country,hh_size,migrant_num,wealth_index,remit,municipality,lat,long,district,lat_SPEI,long_SPEI,pop_cent_lat,pop_cent_long,intensity,magnitude,duration,frequency,severity,dispersion,area,NDVI_mean,SVI_severity
45,46,south_africa,4,0,1.6302524161839276,,mogale city,-25.9871,27.683,west rand district municipality,-26.0,27.7,-25.92086688,27.6869489,-1.455940306186676,-1.6151604056358337,3.5,0.4,-5.046831846237183,-0.3999999999999999,401125997.14233077,0.21300591176629552,0.0710169330692243
46,47,south_africa,3,0,-0.0731132076899034,,mogale city,-25.9871,27.683,west rand district municipality,-26.0,27.7,-25.92086688,27.6869489,-1.455940306186676,-1.6151604056358337,3.5,0.4,-5.046831846237183,-0.3999999999999999,401125997.14233077,0.21300591176629552,0.0710169330692243
47,48,south_africa,2,0,-2.9977651928347733,,mogale city,-25.9871,27.683,west rand district municipality,-26.0,27.7,-25.92086688,27.6869489,-1.455940306186676,-1.6151604056358337,3.5,0.4,-5.046831846237183,-0.3999999999999999,401125997.14233077,0.21300591176629552,0.0710169330692243
48,49,south_africa,5,0,0.4474207846832151,,mogale city,-25.9871,27.683,west rand district municipality,-26.0,27.7,-25.92086688,27.6869489,-1.455940306186676,-1.6151604056358337,3.5,0.4,-5.046831846237183,-0.3999999999999999,401125997.14233077,0.21300591176629552,0.0710169330692243
49,50,south_africa,5,0,-0.285101821793284,,mogale city,-25.9871,27.683,west rand district municipality,-26.0,27.7,-25.92086688,27.6869489,-1.455940306186676,-1.6151604056358337,3.5,0.4,-5.046831846237183,-0.3999999999999999,401125997.14233077,0.21300591176629552,0.0710169330692243
50,51,south_africa,5,0,0.6622156427590951,,mogale city,-25.9871,27.683,west rand district municipality,-26.0,27.7,-25.92086688,27.6869489,-1.455940306186676,-1.6151604056358337,3.5,0.4,-5.046831846237183,-0.3999999999999999,401125997.14233077,0.21300591176629552,0.0710169330692243
51,52,south_africa,7,0,0.1528693994462773,,mogale city,-25.9871,27.683,west rand district municipality,-26.0,27.7,-25.92086688,27.6869489,-1.455940306186676,-1.6151604056358337,3.5,0.4,-5.046831846237183,-0.3999999999999999,401125997.14233077,0.21300591176629552,0.0710169330692243
52,53,south_africa,6,0,1.794626881305389,,mogale city,-25.9871,27.683,west rand district municipality,-26.0,27.7,-25.92086688,27.6869489,-1.455940306186676,-1.6151604056358337,3.5,0.4,-5.046831846237183,-0.3999999999999999,401125997.14233077,0.21300591176629552,0.0710169330692243
53,54,south_africa,4,0,0.6879793397501188,,mogale city,-25.9871,27.683,west rand district municipality,-26.0,27.7,-25.92086688,27.6869489,-1.455940306186676,-1.6151604056358337,3.5,0.4,-5.046831846237183,-0.3999999999999999,401125997.14233077,0.21300591176629552,0.0710169330692243
54,55,south_africa,4,1,-0.0831582921977063,1.0,mogale city,-25.9871,27.683,west rand district municipality,-26.0,27.7,-25.92086688,27.6869489,-1.455940306186676,-1.6151604056358337,3.5,0.4,-5.046831846237183,-0.3999999999999999,401125997.14233077,0.21300591176629552,0.0710169330692243
55,56,south_africa,2,0,-3.580998973855522,,mogale city,-25.9871,27.683,west rand district municipality,-26.0,27.7,-25.92086688,27.6869489,-1.455940306186676,-1.6151604056358337,3.5,0.4,-5.046831846237183,-0.3999999999999999,401125997.14233077,0.21300591176629552,0.0710169330692243
56,57,south_africa,2,0,-2.0294731030248285,,mogale city,-25.9871,27.683,west rand district municipality,-26.0,27.7,-25.92086688,27.6869489,-1.455940306186676,-1.6151604056358337,3.5,0.4,-5.046831846237183,-0.3999999999999999,401125997.14233077,0.21300591176629552,0.0710169330692243
57,58,south_africa,5,0,-0.0703151944658196,,mogale city,-25.9871,27.683,west rand district municipality,-26.0,27.7,-25.92086688,27.6869489,-1.455940306186676,-1.6151604056358337,3.5,0.4,-5.046831846237183,-0.3999999999999999,401125997.14233077,0.21300591176629552,0.0710169330692243
58,59,south_africa,6,0,1.698365675377499,,mogale city,-25.9871,27.683,west rand district municipality,-26.0,27.7,-25.92086688,27.6869489,-1.455940306186676,-1.6151604056358337,3.5,0.4,-5.046831846237183,-0.3999999999999999,401125997.14233077,0.21300591176629552,0.0710169330692243
59,60,south_africa,6,0,-1.019265136150684,,mogale city,-25.9871,27.683,west rand district municipality,-26.0,27.7,-25.92086688,27.6869489,-1.455940306186676,-1.6151604056358337,3.5,0.4,-5.046831846237183,-0.3999999999999999,401125997.14233077,0.21300591176629552,0.0710169330692243
60,61,south_africa,1,1,-2.7087179923400724,1.0,westonaria,-26.3936,27.6565,west rand district municipality,-26.4,27.65,-26.23925804,27.66628366,-1.3638017773628235,-1.5570308566093445,3.5,0.4,-4.831456184387207,-0.3999999999999999,447538879.96482956,0.20785712153916097,0.8859831649297
61,62,south_africa,2,0,-2.0294731030248285,,westonaria,-26.3936,27.6565,west rand district municipality,-26.4,27.65,-26.23925804,27.66628366,-1.3638017773628235,-1.5570308566093445,3.5,0.4,-4.831456184387207,-0.3999999999999999,447538879.96482956,0.20785712153916097,0.8859831649297
62,63,south_africa,6,0,-1.352620263972175,,westonaria,-26.3936,27.6565,west rand district municipality,-26.4,27.65,-26.23925804,27.66628366,-1.3638017773628235,-1.5570308566093445,3.5,0.4,-4.831456184387207,-0.3999999999999999,447538879.96482956,0.20785712153916097,0.8859831649297
63,64,south_africa,3,0,-2.036236705133833,,westonaria,-26.3936,27.6565,west rand district municipality,-26.4,27.65,-26.23925804,27.66628366,-1.3638017773628235,-1.5570308566093445,3.5,0.4,-4.831456184387207,-0.3999999999999999,447538879.96482956,0.20785712153916097,0.8859831649297
64,65,south_africa,7,0,-1.2179910977518669,,westonaria,-26.3936,27.6565,west rand district municipality,-26.4,27.65,-26.23925804,27.66628366,-1.3638017773628235,-1.5570308566093445,3.5,0.4,-4.831456184387207,-0.3999999999999999,447538879.96482956,0.20785712153916097,0.8859831649297
65,66,south_africa,1,0,-2.1551588915135307,,westonaria,-26.3936,27.6565,west rand district municipality,-26.4,27.65,-26.23925804,27.66628366,-1.3638017773628235,-1.5570308566093445,3.5,0.4,-4.831456184387207,-0.3999999999999999,447538879.96482956,0.20785712153916097,0.8859831649297
66,68,south_africa,7,0,0.2512985423999816,,westonaria,-26.3936,27.6565,west rand district municipality,-26.4,27.65,-26.23925804,27.66628366,-1.3638017773628235,-1.5570308566093445,3.5,0.4,-4.831456184387207,-0.3999999999999999,447538879.96482956,0.20785712153916097,0.8859831649297
67,69,south_africa,3,0,0.470487545486784,,westonaria,-26.3936,27.6565,west rand district municipality,-26.4,27.65,-26.23925804,27.66628366,-1.3638017773628235,-1.5570308566093445,3.5,0.4,-4.831456184387207,-0.3999999999999999,447538879.96482956,0.20785712153916097,0.8859831649297
68,70,south_africa,4,0,1.4838798291387558,,westonaria,-26.3936,27.6565,west rand district municipality,-26.4,27.65,-26.23925804,27.66628366,-1.3638017773628235,-1.5570308566093445,3.5,0.4,-4.831456184387207,-0.3999999999999999,447538879.96482956,0.20785712153916097,0.8859831649297
69,71,south_africa,3,0,-0.5468157089010411,,westonaria,-26.3936,27.6565,west rand district municipality,-26.4,27.65,-26.23925804,27.66628366,-1.3638017773628235,-1.5570308566093445,3.5,0.4,-4.831456184387207,-0.3999999999999999,447538879.96482956,0.20785712153916097,0.8859831649297
70,72,south_africa,5,0,0.3026709333275283,,westonaria,-26.3936,27.6565,west rand district municipality,-26.4,27.65,-26.23925804,27.66628366,-1.3638017773628235,-1.5570308566093445,3.5,0.4,-4.831456184387207,-0.3999999999999999,447538879.96482956,0.20785712153916097,0.8859831649297
71,73,south_africa,3,0,-0.5938724609271987,,emfuleni,-26.70620512,27.83267563,sedibeng district municipality,-26.7,27.85,-26.8052859,27.94093824,-1.3510501980781555,-1.5271630883216858,3.5,0.4,-4.817851543426514,-0.3999999999999999,447538879.96482956,0.18952102886487507,0.14905310695729734
72,74,south_africa,6,1,-0.1088444876614797,1.0,emfuleni,-26.70620512,27.83267563,sedibeng district municipality,-26.7,27.85,-26.8052859,27.94093824,-1.3510501980781555,-1.5271630883216858,3.5,0.4,-4.817851543426514,-0.3999999999999999,447538879.96482956,0.18952102886487507,0.14905310695729734
73,75,south_africa,5,0,0.6433894694387426,,emfuleni,-26.70620512,27.83267563,sedibeng district municipality,-26.7,27.85,-26.8052859,27.94093824,-1.3510501980781555,-1.5271630883216858,3.5,0.4,-4.817851543426514,-0.3999999999999999,447538879.96482956,0.18952102886487507,0.14905310695729734
74,76,south_africa,5,0,-0.6238742952923612,,emfuleni,-26.70620512,27.83267563,sedibeng district municipality,-26.7,27.85,-26.8052859,27.94093824,-1.3510501980781555,-1.5271630883216858,3.5,0.4,-4.817851543426514,-0.3999999999999999,447538879.96482956,0.18952102886487507,0.14905310695729734
75,77,south_africa,3,0,-0.16671592898222,,emfuleni,-26.70620512,27.83267563,sedibeng district municipality,-26.7,27.85,-26.8052859,27.94093824,-1.3510501980781555,-1.5271630883216858,3.5,0.4,-4.817851543426514,-0.3999999999999999,447538879.96482956,0.18952102886487507,0.14905310695729734
76,78,south_africa,4,1,-0.3208331017648602,1.0,emfuleni,-26.70620512,27.83267563,sedibeng district municipality,-26.7,27.85,-26.8052859,27.94093824,-1.3510501980781555,-1.5271630883216858,3.5,0.4,-4.817851543426514,-0.3999999999999999,447538879.96482956,0.18952102886487507,0.14905310695729734
77,79,south_africa,5,0,2.502268548590477,,emfuleni,-26.70620512,27.83267563,sedibeng district municipality,-26.7,27.85,-26.8052859,27.94093824,-1.3510501980781555,-1.5271630883216858,3.5,0.4,-4.817851543426514,-0.3999999999999999,447538879.96482956,0.18952102886487507,0.14905310695729734
78,80,south_africa,4,0,2.526242331023332,,emfuleni,-26.70620512,27.83267563,sedibeng district municipality,-26.7,27.85,-26.8052859,27.94093824,-1.3510501980781555,-1.5271630883216858,3.5,0.4,-4.817851543426514,-0.3999999999999999,447538879.96482956,0.18952102886487507,0.14905310695729734
79,81,south_africa,4,0,0.9846610114729366,,emfuleni,-26.70620512,27.83267563,sedibeng district municipality,-26.7,27.85,-26.8052859,27.94093824,-1.3510501980781555,-1.5271630883216858,3.5,0.4,-4.817851543426514,-0.3999999999999999,447538879.96482956,0.18952102886487507,0.14905310695729734
80,82,south_africa,3,0,-0.4749502745475005,,emfuleni,-26.70620512,27.83267563,sedibeng district municipality,-26.7,27.85,-26.8052859,27.94093824,-1.3510501980781555,-1.5271630883216858,3.5,0.4,-4.817851543426514,-0.3999999999999999,447538879.96482956,0.18952102886487507,0.14905310695729734
81,83,south_africa,4,0,0.8819162296178432,,emfuleni,-26.70620512,27.83267563,sedibeng district municipality,-26.7,27.85,-26.8052859,27.94093824,-1.3510501980781555,-1.5271630883216858,3.5,0.4,-4.817851543426514,-0.3999999999999999,447538879.96482956,0.18952102886487507,0.14905310695729734
82,84,south_africa,2,0,-0.8583843612590395,,emfuleni,-26.70620512,27.83267563,sedibeng district municipality,-26.7,27.85,-26.8052859,27.94093824,-1.3510501980781555,-1.5271630883216858,3.5,0.4,-4.817851543426514,-0.3999999999999999,447538879.96482956,0.18952102886487507,0.14905310695729734
83,85,south_africa,3,0,0.0067433919255003,,emfuleni,-26.70620512,27.83267563,sedibeng district municipality,-26.7,27.85,-26.8052859,27.94093824,-1.3510501980781555,-1.5271630883216858,3.5,0.4,-4.817851543426514,-0.3999999999999999,447538879.96482956,0.18952102886487507,0.14905310695729734
84,86,south_africa,8,0,-0.1859030740527998,1.0,emfuleni,-26.70620512,27.83267563,sedibeng district municipality,-26.7,27.85,-26.8052859,27.94093824,-1.3510501980781555,-1.5271630883216858,3.5,0.4,-4.817851543426514,-0.3999999999999999,447538879.96482956,0.18952102886487507,0.14905310695729734
85,87,south_africa,2,0,-0.8432679065431217,,emfuleni,-26.70620512,27.83267563,sedibeng district municipality,-26.7,27.85,-26.8052859,27.94093824,-1.3510501980781555,-1.5271630883216858,3.5,0.4,-4.817851543426514,-0.3999999999999999,447538879.96482956,0.18952102886487507,0.14905310695729734
86,88,south_africa,4,0,-1.0229890691653072,,emfuleni,-26.70620512,27.83267563,sedibeng district municipality,-26.7,27.85,-26.8052859,27.94093824,-1.3510501980781555,-1.5271630883216858,3.5,0.4,-4.817851543426514,-0.3999999999999999,447538879.96482956,0.18952102886487507,0.14905310695729734
