,house,district,census_tract,country,date,hh_size,migrant_num,wealth_index,remit,lat,long,lat_regrid,long_regrid,intensity,magnitude,duration,frequency,severity,dispersion,area,NDVI_mean,SVI_severity
70,72,kisii,kerera,kenya,11/9/2009,4,2,-0.480236652,0.0,-0.754425695,34.82872552,-0.75,34.85,-1.5968827903270721,-1.6692858636379242,2.25,0.8,-3.845115154981613,-0.8,198846275.59763497,0.2176646620599989,-0.07095430164525252
71,73,kisii,kerera,kenya,11/9/2009,7,4,0.723083095,1.0,-0.754425695,34.82872552,-0.75,34.85,-1.5968827903270721,-1.6692858636379242,2.25,0.8,-3.845115154981613,-0.8,198846275.59763497,0.2176646620599989,-0.07095430164525252
72,74,kisii,kerera,kenya,11/9/2009,4,4,1.072590695,1.0,-0.754425695,34.82872552,-0.75,34.85,-1.5968827903270721,-1.6692858636379242,2.25,0.8,-3.845115154981613,-0.8,198846275.59763497,0.2176646620599989,-0.07095430164525252
73,75,kisii,bonyanchaire,kenya,11/8/2009,3,3,-0.555102234,1.0,-0.678288351,34.70904985,-0.7,34.7,-2.0119850635528564,-2.1218271255493164,3.0,0.2,-6.035955429077148,-0.19999999999999973,419523885.8808659,0.22378636470066288,-0.48225635294378133
74,76,kisii,bonyanchaire,kenya,11/9/2009,5,6,-0.540062523,1.0,-0.678288351,34.70904985,-0.7,34.7,-2.0119850635528564,-2.1218271255493164,3.0,0.2,-6.035955429077148,-0.19999999999999973,419523885.8808659,0.22378636470066288,-0.48225635294378133
75,77,kisii,bonyanchaire,kenya,11/9/2009,7,1,3.133310451,1.0,-0.678288351,34.70904985,-0.7,34.7,-2.0119850635528564,-2.1218271255493164,3.0,0.2,-6.035955429077148,-0.19999999999999973,419523885.8808659,0.22378636470066288,-0.48225635294378133
76,78,kisii,bonyanchaire,kenya,11/9/2009,3,5,2.005270987,1.0,-0.678288351,34.70904985,-0.7,34.7,-2.0119850635528564,-2.1218271255493164,3.0,0.2,-6.035955429077148,-0.19999999999999973,419523885.8808659,0.22378636470066288,-0.48225635294378133
77,79,kisii,kerera,kenya,11/9/2009,4,1,3.073151607,0.0,-0.754425695,34.82872552,-0.75,34.85,-1.5968827903270721,-1.6692858636379242,2.25,0.8,-3.845115154981613,-0.8,198846275.59763497,0.2176646620599989,-0.07095430164525252
78,80,kisii,kerera,kenya,11/9/2009,9,1,0.903545,1.0,-0.754425695,34.82872552,-0.75,34.85,-1.5968827903270721,-1.6692858636379242,2.25,0.8,-3.845115154981613,-0.8,198846275.59763497,0.2176646620599989,-0.07095430164525252
79,81,kisii,kerera,kenya,11/10/2009,5,2,0.868452341,1.0,-0.754425695,34.82872552,-0.75,34.85,-1.5968827903270721,-1.6692858636379242,2.25,0.8,-3.845115154981613,-0.8,198846275.59763497,0.2176646620599989,-0.07095430164525252
