,house,district,census_tract,country,hh_size,migrant_num,wealth_index,remit,lat,long,lat_regrid,long_regrid,intensity,magnitude,duration,frequency,severity,dispersion,area,NDVI_mean,SVI_severity
38,40,manafwa,kaboole/butinga,uganda,10,0,-2.62585689,1,0.88334,34.42642,0.9,34.45,-1.886567712,-2.018323898,1.5,0.4,-2.77747941,-0.4,475437086.62202597,0.18719740849726496,1.2960078896421783
39,41,kamuli,bugaga/bunangwe,uganda,6,0,-1.308870518,,0.96222,33.25307,0.95,33.25,-1.887453457,-1.966163556,2,1,-3.928556999,-0.2,311742473.9042186,0.2563411037087269,0.5442857220273246
40,42,kamuli,bugaga/bunangwe,uganda,8,0,-0.107189452,,0.96222,33.25307,0.95,33.25,-1.887453457,-1.966163556,2,1,-3.928556999,-0.2,311742473.9042186,0.2563411037087269,0.5442857220273246
41,43,kamuli,bugaga/bunangwe,uganda,6,0,-2.537288459,,0.96222,33.25307,0.95,33.25,-1.887453457,-1.966163556,2,1,-3.928556999,-0.2,311742473.9042186,0.2563411037087269,0.5442857220273246
42,44,kamuli,bugaga/bunangwe,uganda,9,6,-1.985216848,0,0.96222,33.25307,0.95,33.25,-1.887453457,-1.966163556,2,1,-3.928556999,-0.2,311742473.9042186,0.2563411037087269,0.5442857220273246
43,45,kamuli,bugaga/bunangwe,uganda,2,8,-1.710974101,0,0.96222,33.25307,0.95,33.25,-1.887453457,-1.966163556,2,1,-3.928556999,-0.2,311742473.9042186,0.2563411037087269,0.5442857220273246
44,46,kamuli,bugaga/bunangwe,uganda,8,3,-0.389320905,1,0.96222,33.25307,0.95,33.25,-1.887453457,-1.966163556,2,1,-3.928556999,-0.2,311742473.9042186,0.2563411037087269,0.5442857220273246
45,47,kamuli,bugaga/bunangwe,uganda,8,0,-0.145116187,1,0.96222,33.25307,0.95,33.25,-1.887453457,-1.966163556,2,1,-3.928556999,-0.2,311742473.9042186,0.2563411037087269,0.5442857220273246
46,48,kamuli,bugaga/bunangwe,uganda,8,0,-2.562956294,,0.96222,33.25307,0.95,33.25,-1.887453457,-1.966163556,2,1,-3.928556999,-0.2,311742473.9042186,0.2563411037087269,0.5442857220273246
47,49,kamuli,bugaga/bunangwe,uganda,5,1,-1.353833447,0,0.96222,33.25307,0.95,33.25,-1.887453457,-1.966163556,2,1,-3.928556999,-0.2,311742473.9042186,0.2563411037087269,0.5442857220273246
48,50,kamuli,bugaga/bunangwe,uganda,5,0,-0.989403835,,0.96222,33.25307,0.95,33.25,-1.887453457,-1.966163556,2,1,-3.928556999,-0.2,311742473.9042186,0.2563411037087269,0.5442857220273246
49,51,nebbi,paila west/central,uganda,12,1,-2.219625317,0,2.46547,31.31556,2.45,31.3,-1.722622514,-1.83435154,2.625,1,-4.672212362,-0.6,127036056.82222697,0.27632125282439374,1.5818951487486608
50,52,nebbi,paila west/central,uganda,6,1,-1.607034774,1,2.46547,31.31556,2.45,31.3,-1.722622514,-1.83435154,2.625,1,-4.672212362,-0.6,127036056.82222697,0.27632125282439374,1.5818951487486608
51,53,nebbi,paila west/central,uganda,5,1,-0.643083648,1,2.46547,31.31556,2.45,31.3,-1.722622514,-1.83435154,2.625,1,-4.672212362,-0.6,127036056.82222697,0.27632125282439374,1.5818951487486608
52,54,nebbi,paila west/central,uganda,10,1,-1.362297679,0,2.46547,31.31556,2.45,31.3,-1.722622514,-1.83435154,2.625,1,-4.672212362,-0.6,127036056.82222697,0.27632125282439374,1.5818951487486608
53,55,nebbi,paila west/central,uganda,13,1,-1.190441587,0,2.46547,31.31556,2.45,31.3,-1.722622514,-1.83435154,2.625,1,-4.672212362,-0.6,127036056.82222697,0.27632125282439374,1.5818951487486608
