department,district,commune,village,lat,long,landmark,notes
louga,,louga,santhiaba centre,,,,
kebemer,,louga,santhiaba centre,,,,
louga,,louga,santhiaba coutre,,,,
louga,,louga,santhiaba   centre,,,,
kebemer,sagatta,kanene ndiob,affe leye,,,,
kebemer,sagatta,kanene ndiob,affe leye 1,,,,
kebemer,sagatte,kanene ndiob,affe 2h1peul affe,,,,
kebemer,sagatta,kanehe ndiob,affe 2h1 peul affe2,,,,
kebemer,sagatta,kanene ndiob,nguene seye,,,,
kebemer,sagatta,kanene ndiob,nguene seye h darou,,,,
kebemer,sagatta,kanen e ndiob,affe leye 1,,,,
kebemer,sagatta,kanene ndiob,affe,,,,
kebemer,sagatta,kanene ndiob,affe 1,,,,
kebemer,sagatta,kanene ndiob,affe leye 2,,,,
kaolack,,kaolack,ndorong,,,,
kaolack,,kaolack,sara ndiougary,,,,
kaolack,,kaolack,sara  ndiougary,,,,
kaolack,,kaolack,sarandiougary,,,,
kaolack,ndiendieng,ndiendieng,thiakho djigane,,,,
kaolack,ndiendieng,ndiendieng,thiakao djiguane,,,,
kaolack,ndiendieng,ndiendieng,raymon  hamady  baid,,,,
kaolack,ndiendieng,ndiendieng,payemar  wolof,,,,
kaolack,ndiendieng,ndiendieng,payemar  diouf,,,,
kaolack,ndiendieng,ndiendieng,payemar biram,,,,
kaolack,ndiendieng,ndiendieng,thiakho   djigane,,,,
kaolack,ndiendieng,ndiendieng,thiakho  djigane,,,,
kaolack,ndiendieng,ndiendieng,payemar abdoulaye,,,,
kaolack,ndiendieng,ndiendieng,paymar amady  baidy,,,,
kaolack,ndiendieng,ndiendieng,paymarwolof,,,,
kaolack,ndiendieng,ndiendieng,baymar,,,,
kaolack,ndiendieng,ndiendieng,thiakhodjiguane,,,,
kaolack,ndiendieng,ndiendieng,paye mare  amary  ba,,,,
kaolack,ndiengdieng,ndiengdieng,paymarwolof,,,,
kaolack,ndieng dieng,ndiendieng,paymar,,,,
kaolack,ndiendieng,ndiendieng,paymar,,,,
kaolack,ndiendieng,ndiendieng,payemar wolof,,,,
nioro,medina sabakh,kayemor,sonkorong,,,,
nioro,medina sabakh,kayemor,ndakar,,,,
nioro,medina sabakh,kayemor,sakorong,,,,
nioro,medina saba,kaye mor,leona,,,,
nioro,medina sabakh,kayemor,ndakhar,,,,
nioro,medina sabakh,kayemar,ndakhar,,,,
nioro,medina saba,kayemor,sonkorong,,,,
nioro,medina sabakh,kayemor,leona,,,,
kaffrine,gniby,boulel,alloukysy,,,,
kaffrine,gniby,boulel,alloukisy,,,,
kaffrine,ngniby,boulel,alloucky sy,,,,
kaffrine,ngniby,boulel,allouky sy,,,,
kaffrine,ngniby,boulel,darou karim,,,,
kaffrine,gniby,boulel,allouky sy,,,,
kaffrine,ngniby,boulel,allouky nelbel,,,,
kaffrine,gniby,boulele,alloukisy,,,,
kaffrine,gniby,boulel,alloukisy teree neuv,,,,
kaffrine,gniby,boulel,alloukisy terre neuv,,,,
kaffrine,gniby,boulel,alloucky sy,,,,
kaffrine,nginby,boulel,alloucky sy,,,,
mbacke,ndame,touba mosquee,madiyana,,,,
mbacke,ndame,touba mosquee,madiyana 1,,,,
mbacke,ndame,touba mosquee,touba madiyana,,,,
mbacke,,touba mosquee,madiyana 1,,,,
mbacke,ndame,toouba mosquee,madiyana 1,,,,
mbacke,ndiaye,touba  mosque,madiyana,,,,
mbacke,ndame,touba  mosque,touba madiyana,,,,
diourbel,,diourbel,thierno  kandji,,,,
diourbel,,diourbel,thierno kandji,,,,
diourbel,,diourbel,thierno   kandji,,,,
diourbel,,dourbel,thierno  kandji,,,,
diourbel,,diourbel,cite  basse,,,,
bambeye,,diourbel,thierno  kandji,,,,
mbacke,ndame,touba mosquee,darou khoudoss,,,,
mbacke,ndame,touba  mosque,drou  khoudoss,,,,
mbacke,ndame,touba mosquee,darou khoudoss i,,,,
mbacke,ndame,touba mosquee,darou khoudouss,,,,
mbacke,ndame,touba  mosquee,darou  khoudoss,,,,
mbacke,,touba mosquee,khaira,,,,
mbacke,ndame,touba mosquee,khayra,,,,
mbacke,ndame,touba mosquee,keur niang khayra,,,,
mbacke,ndame,touba mosquee,khayra (fama gueye),,,,
mbacke,ndame,touba mosquee,touba khayra,,,,
mbacke,,touba mosquee,khayra,,,,
mbacke,ndame,touba  mosque,khaire,,,,
mbacke,ndame,touba  mosque,khayra,,,,
mbacke,ndame,touba mosquee,khaira niang,,,,
mbacke,,mbacke,mbacke  khewar,,,,
mbacke,,mbacke,mbacke khewar,,,,
mbacke,ndame,mbacke,mbacke  khewar,,,,
mbacke,,mbacke,mbacke   khewar,,,,
mbacke,,mbacke,ndiobene,,,,
diourbel,,touba mosquee,darou khoudouss,,,,
mbacke,,touba mosquee,darou khoudouss,,,,
mbacke,,touba mosquee,darou khoudoss,,,,
mbacke,,touba mosquee,darou khoudoss i,,,,
mbacke,ndame,touba mosquee,darou khoudouss 1,,,,
mbacke,ndame,touba mosquee,darou khoudoss 1,,,,
kanel,orkadiere,aoure,aoure,,,,
matam,agnam civol,agnam civol,sinthiou cire mato,,,,
matam,agnam civol,orefonde,sinthiou cire mato,,,,
matam,agnam civol,agnam civol,agnam civol,,,,
matam,agnam civol,agnam,agnam civol,,,,
matam,agnam sivol,agnam sivol,agnam sivol,,,,
matam,agnam civol,agnam civol,sinthiou sire mato,,,,
matam,ogo,bakidiawe,guidjilogne lodiou,,,,
matam,ogo,bokidiawe,guidjilogne lodiou,,,,
matam,ogo,bokidiawe,guidjilogne,,,,
matam,ogo,bokidiawe,misscia lodiou,,,,
matam,ogo,bokidiawe,nguedjilogne somone,,,,
matam,ogo,bokidiawe,nguidjilogne somona,,,,
matam,ogo,bokidiawe,guindjilogne lodiou,,,,
matam,ogo,bokidiawe,guindjilogne,,,,
matam,ogo,bokidiawe,nguilogne somone,,,,
matam,ogo,bokidiawe,nguidjilogne somone,,,,
matam,ogo,bokidiawe,nguidjilogne somono,,,,
matam,ogo,bokidiawe,fonde samba mali,,,,
matam,ogo,bokodiawe,fonde samba mali,,,,
matam,ogo,bokidiawe,founde samba mali,,,,
matam,ogo,bokidiawe,nguidjilogue somone,,,,
matam,ogo,nabadji  civol,boynadji  roumde,,,,
matam,ogo,nabadji  civol,boynadji  roumbe,,,,
matam,ogo,nabadji   civol,boinadji  roumbe,,,,
matam,ogo,nabadji  civol,mbanane,,,,
matam,ogo,nabadji   civol,mbaname,,,,
matam,ogo,nabadji civol,mbanane,,,,
matam,ogo,nabadji,boynadji  roumde,,,,
matam,ogo,nabadji   civol,boybadji   roumde,,,,
matam,ogo,nabadji  civol,boinadji   roumde,,,,
matam,ogo,nabadji  civol,boinadji  civol,,,,
matam,ogo,nabadji   civol,boynadji   roumde,,,,
matam,ogo,nabadji  civol,boinadji roumde,,,,
matam,ogo,nabadji  civol,mbaname,,,,
matam,,ourassogui,moderne,,,,
matam,,ourossogui,moderne  ii,,,,
matam,,ourossogui,moderne ii,,,,
matam,,ourassogui,moderne 2,,,,
matam,,ourassogui,moderne  2,,,,
matam,,ourassogui,moderne  3,,,,
matam,,ourossogui,modeme,,,,
matam,,ourossogui,moderne 3,,,,
matam,,ourossogui,moderne b,,,,
matam,,ourossogui,moderne 2,,,,
matam,,ourassogui,moderne ii,,,,
matam,,ourassogui,moderne 3,,,,
matam,agnam   civol,thilogne,golere,,,,
matam,agnam  civol,thilogne,golere,,,,
matam,agnam   civol,thilogne,badel,,,,
matam,agnam  civol,thilogne,thiambe,,,,
matam,agnam  civol,thilogne,badel,,,,
matam,agnam   civol,thilogne,thiambe,,,,
matam,agnam civol,thilogne,thiambe,,,,
kanel,sinthiou bambambe,wouro sidy,medina torobe,,,,
kanel,sinthiou bamambe,ouro sidy,medina torobe,,,,
kanel,sinthiou bambambe,ouro sidy,medina torobe,,,,
kanel,sintiou bambambe,ouro sidy,medina torobe,,,,
kanel,sintiou bamambe,ouro sidy,medina torobe,,,,
kanel,sinthiou bamambe,ouro sidy,gourel yero njiba,,,,
kanel,sinthiou babambe,wouro sidy,medina torobe,,,,
kanel,sinthiou banbambe,wouro sidy,medina torobe,,,,
kanel,sinthiou banbambe,worou sidy,medina torobe,,,,
kanel,sintiou bambambe,ouro sidy,medina torobes,,,,
kanel,sintian bambambe,ouro sidy,medina torobe,,,,
matam,agnam civol,orefonde,hodio,,,,
matam,agnam civol,orefonde,asnde balla,,,,
kanel,agnam civol,orefonde,asnde balla,,,,
matam,agnam civol,orefonde,ndiaku,,,,
matam,agnam civol,orefonde,ndiakir,,,,
matam,agnama civol,orefonde,asnde balla,,,,
matam,agnam civol,orefonde,ndiakar,,,,
matam,,matam,diamel,,,,
kanel,orkadiere,orkadiere,sinthiane dioude,,,,
kanel,orkadiere,orkadiere,samba mali,,,,
kanel,orkadiere,orkadiere,boki,,,,
kanel,orkadiere,orkadiere,sama ngaye,,,,
kanel,orkadiere,orkadiere,ballele,,,,
kanel,orkadiere,orkadiere,gouriki samba diane,,,,
kanel,orkadiere,orkadiere,dirou dirou,,,,
kanel,orkadiere,orkadiere,boki samba gourma,,,,
kanel,orkadiere,orkadiere,gouricky samba diome,,,,
kanel,orkadiere,orkadiere,gouriki samba diom,,,,
kanel,orkadiere,orkadiere,gouriky samba diome,,,,
kanel,,kanel,yirla,,,,
kanel,,kanel,yula,,,,
matam,,ourassogui,mango,,,,
matam,,ourassogui,darou salam,,,,
matam,,ourossogui,mango,,,,
matam,,ourassogui,dar  salam,,,,
matam,,ourasogui,mango,,,,
matam,,ourassogui,mango 1,,,,
matam,,ourossogui,dar  salam,,,,
ranerou,velingara,oudalaye,zoumboul samba abdou,,,,
ranerou,velingara,oudalaye,loumbol samba abdoul,,,,
ranerou,velingara,oudalaye,womo doro,,,,
ranerou,velingara,oudalaye,teguinguel,,,,
ranerou,velingara,oudalaye,boko mbarodi,,,,
ranerou,velingara,oudalaye,wouro alassane g sow,,,,
ranerou,velingara,oudalaye,loumbol samba abdou,,,,
ranerou,vilingara,oudalaye,wourou doro,,,,
ranerou,velingara,oudalaye,wouro doro,,,,
kanel,,semme,sony,,,,
kanel,,semme,sorry,,,,
kanel,,semme,sorry (roumbe),,,,
matam,ogo,ogo,diandioly,,,,
matam,ogo,ogo,djandioly,,,,
matam,ogo,ogo,wodabe,,,,
matam,ogo,ogo,wouro adama,,,,
nioro,paoskoto,paoskota,samba malick,,,,
nioro,paoskoto,paoskoto,keur birame ba,,,,
nioro,paoskoto,paoskoto,nguevy,,,,
nioro,paoskoto,paoskoto,keur amath drame,,,,
nioro,paoskoto,paoskoto,keur ndiogou dieng,,,,
nioro,paoskoto,paoskoto,samba malick,,,,
nioro,paoskoto,paoskoto,damba malick,,,,
nioro,paoskoto,paokoto,medina ndiayenne,,,,
nioro,paoskoto,paoskoto,medina ndiayenne,,,,
nioro,paoskoto,pasokoto,keur amath drame,,,,
kaffrine,mbirkilane,nioguick,manfjigui,,,,
kaffrine,mbirkilane,ndiognick,nandjigui,,,,
kaffrine,mbirkilane,ndiognick,darou nandjigui,,,,
kaffrine,mbirkilane,diognick,darou nandjigui,,,,
bakel,coulor,coulor,tata,,,,
bakel,coulor,coulor,madina  ii,,,,
bakel,coulor,coulor,maleme  hamady  seyd,,,,
bakel,coulor,coulor,gourel  ndiaybe,,,,
bakel,coulor,coulor,diare  cede,,,,
bakel,coulor,coulor,sinthiou  maboude,,,,
bakel,coulor,coulor,kaldeme,,,,
bakel,coulor,coulor,medina  ii,,,,
bakel,coulor,coulor,madina   ii,,,,
bakel,coulor,coulor,,,,,
bignona,coulor,coulor,kaldeme,,,,
bakel,coulor,coulor,gourel   aga,,,,
bakel,coulor,coulor,ndiaye  be,,,,
bakel,coulor,coulor,sinthiou  maboube,,,,
ziguinchor,,ziguinchor,diefaye,,,,
ziguinchor,ziguinchor,ziguinchor,diefaye,,,,
bignona,kataba,kafountine,matate,,,,
bignona,kataba,katountine,hilole,,,,
bignona,kataba,kafountine,hilole,,,,
podor,,gollere,nanaye,,,,
bignona,kataba,kafountine,kouba,,,,
bignona,tobata 1,kafountine,kuba,,,,
bignona,kataba,kanfountine,kouba,,,,
bignona,kataba,kafountine,kuba  loulou,,,,
bignona,kataba,kafountine,couba,,,,
bakel,goudery,gniby,moudery,,,,
bakel,ngniby,moudery,ndiaye counda,,,,
bakel,gnibi,mouderi,mouderi,,,,
bakel,gniby,moudery,ndiaye counda,,,,
bakel,ngiby,moudery,ndiaye counda,,,,
bakel,ngniby,mouderi,ndiaye counda,,,,
bakel,ngnbe,mouderi,ndiaye counda,,,,
bakel,gnibi,moudery,modery,,,,
bakel,goudiri,boyinguel,diol foube,,,,
bakel,goudiry,biyingueul,leva diolfoube,,,,
bakel,goudiry,biyingueul,sinthiou body,,,,
bakel,goudiry,boyingueul,woyndoucoly,,,,
bakel,goudiry,boyeuguel,sinthiou omar lili,,,,
bakel,goudiry,boyinguel,sithiou doube,,,,
bakel,goudiri,boyinduel,senobode,,,,
bakel,goudiry,boyingneul,lena  diolfoude,,,,
bakel,goudiry,boyingueul,leva diavabel,,,,
bakel,goudiry,boyingueul,leva diolfoube,,,,
bakel,goudiry,boyinguel,leva diolfoube,,,,
bakel,goudiry,boyingueul,woyndoul coly,,,,
bakel,goudiry,boyingueul,woyndou coly,,,,
bakel,goudiry,boyingnoul,sinthiou,,,,
kolda,,kolda,doumanssou,,,,
kolda,,kolda,damanssou,,,,
kolda,,kolda,doumansou,,,,
kolda,,kolda,damassou,,,,
kolda,,kolda,doumassou,,,,
sedhiou,bogal,bogal,sare demba,,,,
