,house,department,census_tract,country,hh_size,migrant_num,wealth_index,remit,lat,long,lat_SPEI,long_SPEI,NDVI_lat,NDVI_lon,sev_lat,sev_lon,pop_cent_lat,pop_cent_long,annual_frequency,severity,autocorrelation,avg_area,NDVI_mean,SVI_severity
1028,671,mbour,tefess,senegal,14,1,0.994219989066129,0.0,14.4094197,-16.97209534,14.4,-16.95,14.450000000000003,-16.94999999999999,14.4,-16.95,14.47252629,-16.98407509,0.0,0.0,,0.0,0.20579996163966094,0.0
1029,437,dakar,arafat,senegal,5,0,0.785650809880216,,14.71105977,-17.4688686,14.7,-17.45,14.75,-17.399999999999977,14.7,-17.45,14.72094534,-17.45998489,0.0,0.0,,0.0,0.10321838162254962,0.0
1030,1592,kanel,sorry,senegal,41,0,0.795805255932532,1.0,15.20066949,-12.94539215,15.2,-12.95,15.2,-12.95,15.2,-12.95,15.23872587,-13.36263999,0.5,-0.15272347927093505,0.1641304347826087,49874278.25620592,0.17877710596932592,0.26275636690496407
1031,799,mbacke,guede bousso,senegal,14,1,1.03551933084977,1.0,14.89820198,-15.86724177,14.9,-15.85,14.9,-15.85,14.9,-15.85,14.85551526,-15.88108409,0.2,-0.07816660404205322,-0.017372881355932165,51273248.72292103,0.20386394091844515,1.118278952814868
1032,1045,louga,montagne,senegal,6,1,2.01843235221743,1.0,15.62330287,-16.21748196,15.6,-16.2,15.6,-16.2,15.6,-16.2,15.6680352,-16.23192106,0.6,-0.18473970890045166,-0.053947368421052584,28501873.80910297,0.18516915293423822,0.6930208693362528
1033,1054,louga,santhiaba centre,senegal,7,0,0.712935959808183,,15.6277561,-16.22782692,15.65,-16.25,15.65,-16.25,15.65,-16.25,15.6680352,-16.23192106,0.5,-0.22147805690765382,-0.04456521739130433,31439893.328834556,0.17801836669713708,0.4266692509039231
1034,1824,st-louis,pikine,senegal,10,1,1.22718839612382,1.0,16.11042196,-16.49496496,16.1,-16.5,16.1,-16.5,16.1,-16.5,16.0110665,-16.49789432,0.0,0.0,,0.0,0.13353321432910842,0.0
1035,97,pikine,cite lobatt fall,senegal,7,6,1.98736989794307,1.0,14.74682,-17.40995,14.75,-17.4,14.75,-17.4,14.75,-17.4,14.74391863,-17.39599836,0.6,0.0,-0.0451754385964912,141962.16483858545,0.10321838162254962,0.39194349791549477
1036,1021,louga,keur serigne louga,senegal,17,1,1.00975121620331,1.0,15.60644218,-16.23380986,15.6,-16.25,15.6,-16.25,15.6,-16.25,15.6680352,-16.23192106,0.6,-0.1900880734125773,-0.053947368421052584,28501873.80910297,0.18259478582825714,0.6809931261691761
1037,935,kebemer,medina,senegal,14,0,1.17541763899989,,,,,,,,,,14.72402296,-17.45998489,,,,,,
1038,975,louga,keur serigne louga,senegal,11,1,0.716818766592478,1.0,15.60644218,-16.23380986,15.6,-16.25,15.6,-16.25,15.6,-16.25,15.6680352,-16.23192106,0.6,-0.1900880734125773,-0.053947368421052584,28501873.80910297,0.18259478582825714,0.6809931261691761
1039,1220,diourbel,thierno kandji,senegal,6,1,1.42241257781337,0.0,14.6563661,-16.23464222,14.65,-16.25,14.65,-16.25,14.65,-16.25,14.66195934,-16.23192106,0.4,-0.20791661739349365,-0.03534482758620686,24261947.253483657,0.2020724582978132,0.7048370557560011
1040,1569,matam,dar salam,senegal,16,1,-0.173734094034311,1.0,15.44284137,-14.05528102,15.45,-14.05,15.45,-14.05,15.45,-14.05,15.38130032,-14.01712506,0.4,-0.1441483497619629,-0.03534482758620688,27289358.567014486,0.188459256278507,0.9097120513365757
1041,452,dakar,arafat,senegal,4,1,0.552682402822523,0.0,14.71105977,-17.4688686,14.7,-17.45,14.75,-17.399999999999977,14.7,-17.45,14.72094534,-17.45998489,0.0,0.0,,0.0,0.10321838162254962,0.0
1042,724,gossas,keur el hadj,senegal,5,0,1.79693403624481,,,,,,,,,,14.72402296,-17.45998489,,,,,,
