house,census_tract,country,interview_date,lat,long,hh_size,migrant_num,wealth_index,remit,frequency,severity,dispersion,area,SVI_severity,pop_cent_lat,pop_cent_long,NDVI_mean
1896,mery,senegal,2009-11-01,16.42777753,-14.09801568,7,1,-1.45158269252145,1,0.6,-1.4884836971759796,0.06666666666666665,87915352.91104256,0.16536416295790665,16.42033799,-14.01712506,0.14528045684780805
1229,thierno kandji,senegal,2009-11-01,14.6563661,-16.23464222,10,1,-1.71278922589878,1,0.2,-3.180641412734986,-0.19999999999999973,40611737.75569371,0.6303187841263145,14.66195934,-16.23192106,0.1888813782738505
921,paye baridian,senegal,2009-11-01,14.71688363,-17.46683875,13,5,-1.75083613499743,1,0,0,0,0,0,14.72094534,-17.45998489,0.10319156482409106
1776,doumanssou,senegal,2009-11-01,12.90032016,-14.9476098,13,1,-1.11473712000969,1,0.6,-3.7361056009928384,1.4,191564398.30652136,2.3342041571194803,12.89534328,-14.93936134,0.2566560701223253
1772,damassou,senegal,2009-11-01,12.90032016,-14.9476098,9,0,-1.98796774537222,NA,0.6,-3.7361056009928384,1.4,191564398.30652136,2.3342041571194803,12.89534328,-14.93936134,0.2566560701223253
1643,keur amath drame,senegal,2009-11-01,13.78607662,-15.79470889,24,4,-2.420559705769,1,0.4,-2.613256871700287,0.6000000000000005,34359803.787766814,-0.02747643903170016,13.7751637,-15.78133054,0.20593115061153844
1590,sorry,senegal,2009-11-01,15.20066949,-12.94539215,6,0,-3.45906424442952,NA,0.6,-1.9743191401163735,1.4,56480806.52208929,0.37369348981896616,15.23872587,-13.36263999,0.18089102380088468
1880,dodele,senegal,2009-11-01,16.50354464,-14.42019001,4,3,-1.40742305844117,1,0.6,-1.44758939743042,0.06666666666666665,87915352.91104256,0.43111990718253834,16.47147469,-14.56250057,0.145028161062628
939,medina,senegal,2009-11-01,NA,NA,12,2,-2.55367291637621,1,NA,NA,NA,NA,NA,14.72402296,-17.45998489,NA
1029,montagne,senegal,2009-11-01,15.62330287,-16.21748196,10,1,-1.7698183583087,1,0.6,-2.5021930932998657,-0.5999999999999999,30282955.40571375,0.8395710439243181,15.6680352,-16.23192106,0.1813991577423704
832,medinatoul,senegal,2009-11-01,14.73727345,-16.24237956,7,1,-0.258797686676105,1,0.4,-2.1978121399879456,0.6000000000000005,56448417.362842165,0.2934550520574559,14.74391863,-16.24558632,0.1894486964504248
2,grand medine,senegal,2009-11-01,14.74795,-17.44715,5,1,-0.49010264044386,1,0,0,0,0,0,14.74391863,-17.45998489,0.10319156482409106
1551,mango,senegal,2009-11-01,15.60094582,-13.322622,2,0,1.19574530999332,NA,0.4,-1.541080117225647,-0.3999999999999999,45684180.71793652,0.01543036411523599,15.6680352,-13.36263999,0.1573156957932611
1781,doumassou,senegal,2009-11-01,12.90032016,-14.9476098,5,1,0.874811596474885,1,0.6,-3.7361056009928384,1.4,191564398.30652136,2.3342041571194803,12.89534328,-14.93936134,0.2566560701223253
731,keur el hadji,senegal,2009-11-01,14.49623916,-16.0640894,3,1,-0.0938905115838952,1,0.2,-3.2022647857666016,-0.19999999999999973,40611737.75569371,0.7325532552403278,14.50274052,-16.09656209,0.1903920850097714
1782,doumanssou,senegal,2009-11-01,12.90032016,-14.9476098,8,1,1.33072991037169,1,0.6,-3.7361056009928384,1.4,191564398.30652136,2.3342041571194803,12.89534328,-14.93936134,0.2566560701223253
1387,boinadji roumbe,senegal,2009-11-01,NA,NA,8,0,0.619748596985106,1,NA,NA,NA,NA,NA,14.72402296,-17.45998489,NA
350,mbour i,senegal,2009-11-01,14.68562239,-17.45034661,10,1,1.78508331330359,0,0,0,0,0,0,14.66195934,-17.45998489,0.10319156482409106
1141,thiakho djigane,senegal,2009-11-01,13.99933823,-16.17799307,14,1,-2.27400761729345,1,0.2,-3.3698768615722656,-0.19999999999999973,40611737.75569371,1.1998922656443574,13.9836423,-16.18754008,0.2073979017736324
1890,dodele,senegal,2009-11-01,16.50354464,-14.42019001,5,3,0.736232800513952,1,0.6,-1.44758939743042,0.06666666666666665,87915352.91104256,0.43111990718253834,16.47147469,-14.56250057,0.145028161062628
415,cite des enseignants,senegal,2009-11-01,14.77683245,-17.40519022,6,1,1.41099255307871,1,0.2,-3.452143669128418,-0.19999999999999984,69691.75401648635,0,14.77734506,-17.39599836,0.1089818340392096
819,passy,senegal,2009-11-01,13.98543687,-16.25698786,10,4,-0.13295188544698,1,0.2,-3.259064197540283,-0.19999999999999973,40611737.75569371,0.8700827330791969,13.9836423,-16.26717045,0.2068500030470947
1777,doumansou,senegal,2009-11-01,12.90032016,-14.9476098,8,1,0.197701741498011,0,0.6,-3.7361056009928384,1.4,191564398.30652136,2.3342041571194803,12.89534328,-14.93936134,0.2566560701223253
1554,mango,senegal,2009-11-01,15.60094582,-13.322622,2,0,0.271464349318792,NA,0.4,-1.541080117225647,-0.3999999999999999,45684180.71793652,0.01543036411523599,15.6680352,-13.36263999,0.1573156957932611
1742,ndiaye counda,senegal,2009-11-01,14.1372415,-15.49080373,19,1,-0.0263347783050982,1,0.2,-3.6592421531677246,-0.19999999999999973,40611737.75569371,2.3602043459631092,14.13637726,-15.5307987,0.20197392482888424
152,hersent,senegal,2009-11-01,14.77685,-16.90942,5,1,0.680671257260141,1,0.6,-1.331539362668991,0.06666666666666665,51150342.58703999,0.07450315423563665,14.77734506,-16.92877566,0.195125325442822
1860,fanaye,senegal,2009-11-01,16.52599054,-15.22269493,13,6,-0.945163096017145,1,0.4,-2.0280222296714783,-0.3999999999999999,50103344.19842622,1.0101324341621338,16.47147469,-15.27583107,0.15500495166200828
21,grand medine,senegal,2009-11-01,14.74795,-17.44715,10,0,-1.617198946902,NA,0,0,0,0,0,14.74391863,-17.45998489,0.10319156482409106
1435,thiambe,senegal,2009-11-01,15.63263924,-13.3254062,14,2,-0.688034614667447,1,0.4,-2.7332383394241333,-0.3999999999999999,17354546.875206813,0.2764973600953168,15.6680352,-13.36263999,0.153998833792147
145,hersent,senegal,2009-11-01,14.77685,-16.90942,2,0,0.005757474798852,NA,0.6,-1.331539362668991,0.06666666666666665,51150342.58703999,0.07450315423563665,14.77734506,-16.92877566,0.195125325442822
1312,darou khoudouss,senegal,2009-11-01,14.8653417,-15.87905597,12,3,1.1650634875751,1,0.2,-1.3787286281585691,-0.19999999999999973,88734721.23539704,0.4296550142673737,14.85551526,-15.88108409,0.1822150034646987
143,hersent,senegal,2009-11-01,14.77685,-16.90942,5,0,1.40838604605758,NA,0.6,-1.331539362668991,0.06666666666666665,51150342.58703999,0.07450315423563665,14.77734506,-16.92877566,0.195125325442822
1739,moudery,senegal,2009-11-01,15.06745915,-12.5787737,32,1,-0.101772167257113,0,0.8,-2.1201342741648355,-0.29999999999999993,69166082.03067684,1.1587191400393408,15.03429087,-12.41480008,0.17367146808388914
441,arafat,senegal,2009-11-01,14.71105977,-17.4688686,6,0,0.707994674194319,NA,0,0,0,0,0,14.72094534,-17.45998489,0.10319156482409106
725,keur el hadj,senegal,2009-11-01,NA,NA,10,1,0.557689664190603,1,NA,NA,NA,NA,NA,14.72402296,-17.45998489,NA
153,hersent,senegal,2009-11-01,14.77685,-16.90942,20,1,0.412665568489378,1,0.6,-1.331539362668991,0.06666666666666665,51150342.58703999,0.07450315423563665,14.77734506,-16.92877566,0.195125325442822
854,medinatoul nord,senegal,2009-11-01,14.65733141,-16.23486005,9,1,1.92524498939435,1,0.2,-3.180641412734986,-0.19999999999999973,40611737.75569371,0.6303187841263145,14.66195934,-16.23192106,0.1888813782738505
927,medina,senegal,2009-11-01,NA,NA,7,0,1.93301060296294,1,NA,NA,NA,NA,NA,14.72402296,-17.45998489,NA
823,passy leona,senegal,2009-11-01,13.98148365,-16.3182542,5,3,1.94595329224392,1,0.2,-3.2038350105285645,-0.19999999999999973,40611737.75569371,0.6618696789417569,13.9817835,-16.26780651,0.20728148240588667
1704,diefaye,senegal,2009-11-01,12.57853941,-16.25514132,3,0,2.22679892856043,NA,0.4,-2.6897431015968323,0.6000000000000005,34515695.35355306,-0.7601165689191769,12.56804369,-16.24558632,0.14624624880965564
466,hlm las palmas,senegal,2009-11-01,14.77009217,-17.40633211,8,0,1.42116140507264,NA,0.2,-3.461019515991211,-0.19999999999999984,69691.75401648635,1.4319276423264522,14.77252754,-17.39599836,0.1089818340392096
78,cite la rochette,senegal,2009-11-01,14.75619,-17.36858,3,0,-0.618415799750727,NA,0,0,0,0,0,14.76581033,-17.34454455,0.14062749229783772
941,medina,senegal,2009-11-01,NA,NA,6,1,1.40468813483445,1,NA,NA,NA,NA,NA,14.72402296,-17.45998489,NA
627,niagha ouolof,senegal,2009-11-01,14.80539524,-17.23892342,7,1,1.30609570455045,0,0.2,-3.478778123855591,-0.19999999999999984,108414.2033981107,1.0955087139818869,14.81724179,-17.22764196,0.18828021833687897
1774,doumanssou,senegal,2009-11-01,12.90032016,-14.9476098,19,1,-0.720517090909232,1,0.6,-3.7361056009928384,1.4,191564398.30652136,2.3342041571194803,12.89534328,-14.93936134,0.2566560701223253
1444,thiambe,senegal,2009-11-01,15.63263924,-13.3254062,10,3,1.39652719925141,1,0.4,-2.7332383394241333,-0.3999999999999999,17354546.875206813,0.2764973600953168,15.6680352,-13.36263999,0.153998833792147
954,ndianguene ndiagne,senegal,2009-11-01,NA,NA,5,1,1.34367259965267,1,NA,NA,NA,NA,NA,14.72402296,-17.45998489,NA
726,keur el hadji,senegal,2009-11-01,14.49623916,-16.0640894,6,2,-0.0707097129827541,1,0.2,-3.2022647857666016,-0.19999999999999973,40611737.75569371,0.7325532552403278,14.50274052,-16.09656209,0.1903920850097714
18,grand medine,senegal,2009-11-01,14.74795,-17.44715,5,1,0.667901027669024,0,0,0,0,0,0,14.74391863,-17.45998489,0.10319156482409106
1001,artillerie,senegal,2009-11-01,15.62705619,-16.2230668,7,1,1.49767988101554,1,0.6,-2.53835666179657,-0.5999999999999999,30282955.40571375,0.6992804331609475,15.6680352,-16.23192106,0.17881439910064617
344,mbour i,senegal,2009-11-01,14.68562239,-17.45034661,7,1,1.55980478956426,1,0,0,0,0,0,14.66195934,-17.45998489,0.10319156482409106
348,mbour i,senegal,2009-11-01,14.68562239,-17.45034661,2,1,1.55980478956426,1,0,0,0,0,0,14.66195934,-17.45998489,0.10319156482409106
991,artillerie,senegal,2009-11-01,15.62705619,-16.2230668,10,0,1.27895915324775,NA,0.6,-2.53835666179657,-0.5999999999999999,30282955.40571375,0.6992804331609475,15.6680352,-16.23192106,0.17881439910064617
1771,doumansou,senegal,2009-11-01,12.90032016,-14.9476098,8,0,1.38250066749562,NA,0.6,-3.7361056009928384,1.4,191564398.30652136,2.3342041571194803,12.89534328,-14.93936134,0.2566560701223253
1981,dodele,senegal,2009-11-01,16.50354464,-14.42019001,20,3,-0.226021984354549,1,0.6,-1.44758939743042,0.06666666666666665,87915352.91104256,0.43111990718253834,16.47147469,-14.56250057,0.145028161062628
251,gueule tapee,senegal,2009-11-01,14.68287,-17.45728,11,0,0.860899568391183,NA,0,0,0,0,0,14.66195934,-17.45998489,0.10319156482409106
809,passy leona,senegal,2009-11-01,13.98148365,-16.3182542,2,1,2.12715094217768,1,0.2,-3.2038350105285645,-0.19999999999999973,40611737.75569371,0.6618696789417569,13.9817835,-16.26780651,0.20728148240588667
736,keur el hadji,senegal,2009-11-01,14.49623916,-16.0640894,6,2,2.01843235221743,1,0.2,-3.2022647857666016,-0.19999999999999973,40611737.75569371,0.7325532552403278,14.50274052,-16.09656209,0.1903920850097714
1364,guidjilogne lodiou,senegal,2009-11-01,15.9373344,-13.35219736,11,3,0.720534243110851,1,0.6,-1.424777269363403,-0.5999999999999999,69908285.96822166,0.5708981717969052,16.0110665,-13.36263999,0.15589432710145062
940,medina,senegal,2009-11-01,NA,NA,6,1,1.35143821322126,0,NA,NA,NA,NA,NA,14.72402296,-17.45998489,NA
44,mermoz ambassade,senegal,2009-11-01,14.68949,-17.47308,6,0,2.45589919373176,NA,0,0,0,0,0,14.66195934,-17.45998489,0.10319156482409106
1888,dodele,senegal,2009-11-01,16.50354464,-14.42019001,16,4,-0.312125031245667,0,0.6,-1.44758939743042,0.06666666666666665,87915352.91104256,0.43111990718253834,16.47147469,-14.56250057,0.145028161062628
999,artillerie,senegal,2009-11-01,15.62705619,-16.2230668,8,1,0.254429108055185,1,0.6,-2.53835666179657,-0.5999999999999999,30282955.40571375,0.6992804331609475,15.6680352,-16.23192106,0.17881439910064617
1893,mery,senegal,2009-11-01,16.42777753,-14.09801568,8,0,1.18320122173341,NA,0.6,-1.4884836971759796,0.06666666666666665,87915352.91104256,0.16536416295790665,16.42033799,-14.01712506,0.14528045684780805
947,nianguene ndiagne,senegal,2009-11-01,15.60326241,-16.16011688,8,4,2.0667517255331,1,0.4,-3.823577642440796,0.6000000000000005,43531974.28321092,1.456860529547808,15.6680352,-16.18754008,0.18403327409969128
605,diokoul kaw,senegal,2009-11-01,14.71694283,-17.29013219,2,1,1.22718839612382,0,0,0,0,0,0,14.72094534,-17.34454455,0.16759902272620705
930,medina,senegal,2009-11-01,NA,NA,3,0,1.62192969811298,NA,NA,NA,NA,NA,NA,14.72402296,-17.45998489,NA
147,hersent,senegal,2009-11-01,14.77685,-16.90942,14,0,1.83851825013094,NA,0.6,-1.331539362668991,0.06666666666666665,51150342.58703999,0.07450315423563665,14.77734506,-16.92877566,0.195125325442822
1019,keur serigne louga,senegal,2009-11-01,15.60644218,-16.23380986,3,0,1.38250066749562,NA,0.6,-2.5296479066212973,-0.5999999999999999,30282955.40571375,0.8032215312537719,15.6680352,-16.23192106,0.1787053451419866
987,artellerie,senegal,2009-11-01,NA,NA,2,0,0.842428828372228,NA,NA,NA,NA,NA,NA,14.72402296,-17.45998489,NA
140,hersent,senegal,2009-11-01,14.77685,-16.90942,10,1,1.99383052150274,1,0.6,-1.331539362668991,0.06666666666666665,51150342.58703999,0.07450315423563665,14.77734506,-16.92877566,0.195125325442822
1039,montagne,senegal,2009-11-01,15.62330287,-16.21748196,14,2,1.89418253511999,1,0.6,-2.5021930932998657,-0.5999999999999999,30282955.40571375,0.8395710439243181,15.6680352,-16.23192106,0.1813991577423704
112,cite lobatt fall,senegal,2009-11-01,14.74682,-17.40995,2,0,2.82744639675038,NA,0.2,-3.461019515991211,-0.19999999999999984,69691.75401648635,1.4319276423264522,14.74391863,-17.39599836,0.1089818340392096
1041,montagne,senegal,2009-11-01,15.62330287,-16.21748196,8,1,0.686002823497469,1,0.6,-2.5021930932998657,-0.5999999999999999,30282955.40571375,0.8395710439243181,15.6680352,-16.23192106,0.1813991577423704
1058,santhiaba centre,senegal,2009-11-01,15.6277561,-16.22782692,14,2,1.17541763899989,1,0.6,-2.5588854551315308,-0.5999999999999999,30282955.40571375,0.7111154181732052,15.6680352,-16.23192106,0.17471132878684892
1740,mouderi,senegal,2009-11-01,15.06857796,-12.59097186,21,3,0.736065470248031,1,0.8,-2.1201342741648355,-0.29999999999999993,69166082.03067684,1.1587191400393408,15.03429087,-12.41480008,0.17367146808388914
659,tefess,senegal,2009-11-01,14.4094197,-16.97209534,5,0,2.01066673864884,NA,0,0,0,0,0,14.47252629,-16.98407509,0.18443732155152787
1749,mouderi,senegal,2009-11-01,15.06857796,-12.59097186,23,1,0.551909491335759,1,0.8,-2.1201342741648355,-0.29999999999999993,69166082.03067684,1.1587191400393408,15.03429087,-12.41480008,0.17367146808388914
101,cite lobatt fall,senegal,2009-11-01,14.74682,-17.40995,5,0,3.1151097499944,NA,0.2,-3.461019515991211,-0.19999999999999984,69691.75401648635,1.4319276423264522,14.74391863,-17.39599836,0.1089818340392096
340,mbour i,senegal,2009-11-01,14.68562239,-17.45034661,4,0,2.67371700550841,1,0,0,0,0,0,14.66195934,-17.45998489,0.10319156482409106
662,tefess,senegal,2009-11-01,14.4094197,-16.97209534,5,0,2.12325741431257,NA,0,0,0,0,0,14.47252629,-16.98407509,0.18443732155152787
1610,diandioly,senegal,2009-11-01,15.54077403,-13.24904558,57,0,1.15751925816342,1,0.6,-1.4896016120910645,0.06666666666666665,26500229.788067397,0.12725534897306626,15.6680352,-13.36263999,0.14903519149594585
541,hlm 5,senegal,2009-11-01,NA,NA,11,2,2.59097768141738,1,NA,NA,NA,NA,NA,14.72402296,-17.45998489,NA
1748,modery,senegal,2009-11-01,15.05700084,-12.59669046,33,3,0.923194562689744,1,0.8,-2.1201342741648355,-0.29999999999999993,69166082.03067684,1.1587191400393408,15.03429087,-12.41480008,0.17367146808388914
69,ousmane faye 05,senegal,2009-11-01,14.8268,-17.27016,8,1,1.43427142461955,1,0.2,-3.4610235691070557,-0.19999999999999984,108414.2033981107,0,14.81724179,-17.22764196,0.16536920706506136
1817,pikine,senegal,2009-11-01,16.11042196,-16.49496496,9,5,1.92524498939435,1,0,0,0,0,0,16.0110665,-16.49789432,0.10660249928526276
1844,sor nord,senegal,2009-11-01,16.03200409,-16.47188231,5,3,2.65137689806197,1,0,0,0,0,0,16.0110665,-16.45109143,0.1302764969637759
938,medina,senegal,2009-11-01,NA,NA,10,2,0.478919795001742,0,NA,NA,NA,NA,NA,14.72402296,-17.45998489,NA
1026,keur serigne louga,senegal,2009-11-01,15.60644218,-16.23380986,6,6,2.01843235221743,1,0.6,-2.5296479066212973,-0.5999999999999999,30282955.40571375,0.8032215312537719,15.6680352,-16.23192106,0.1787053451419866
3042,liberte 6,senegal,2009-11-01,14.73104,-17.46105,4,0,2.67371700550841,NA,0,0,0,0,0,14.72402296,-17.45998489,0.10319156482409106
550,samba niang,senegal,2009-11-01,14.80972717,-15.90288816,17,0,2.32978245185782,NA,0.2,-1.349770188331604,-0.19999999999999973,88734721.23539704,0.5545915366157987,14.81724179,-15.88108409,0.18846073628041107
1856,yelitare,senegal,2009-11-01,16.52936484,-15.20234492,20,2,0.823279284172193,1,0.4,-2.0280222296714783,-0.3999999999999999,50103344.19842622,1.0101324341621338,16.47147469,-15.27583107,0.15500495166200828
1732,moudery,senegal,2009-11-01,15.06745915,-12.5787737,26,1,0.725711318823244,1,0.8,-2.1201342741648355,-0.29999999999999993,69166082.03067684,1.1587191400393408,15.03429087,-12.41480008,0.17367146808388914
1040,montagne,senegal,2009-11-01,15.62330287,-16.21748196,27,2,1.06560819510351,1,0.6,-2.5021930932998657,-0.5999999999999999,30282955.40571375,0.8395710439243181,15.6680352,-16.23192106,0.1813991577423704
1006,keur serigne louga,senegal,2009-11-01,15.60644218,-16.23380986,4,0,2.08698550921927,NA,0.6,-2.5296479066212973,-0.5999999999999999,30282955.40571375,0.8032215312537719,15.6680352,-16.23192106,0.1787053451419866
668,tefess,senegal,2009-11-01,14.4094197,-16.97209534,10,1,1.99383052150274,0,0,0,0,0,0,14.47252629,-16.98407509,0.18443732155152787
497,pa unite 11,senegal,2009-11-01,14.75896766,-17.43245729,5,0,2.12325741431257,NA,0,0,0,0,0,14.76581033,-17.45998489,0.10319156482409106
281,liberte 6,senegal,2009-11-01,14.73104,-17.46105,10,2,1.8165263994340899,0,0,0,0,0,0,14.72402296,-17.45998489,0.10319156482409106
472,hlm las palmas,senegal,2009-11-01,14.77009217,-17.40633211,10,3,2.06361410388922,1,0.2,-3.461019515991211,-0.19999999999999984,69691.75401648635,1.4319276423264522,14.77252754,-17.39599836,0.1089818340392096
276,liberte 6,senegal,2009-11-01,14.73104,-17.46105,5,3,2.74968751932925,1,0,0,0,0,0,14.72402296,-17.45998489,0.10319156482409106
161,hlm 6 nimzat,senegal,2009-11-01,14.72704,-17.4436,4,2,2.08055726076615,1,0,0,0,0,0,14.72402296,-17.45998489,0.10319156482409106
1848,sor nord,senegal,2009-11-01,16.03200409,-16.47188231,5,2,1.40322693951012,1,0,0,0,0,0,16.0110665,-16.45109143,0.1302764969637759
1769,damanssou,senegal,2009-11-01,12.90032016,-14.9476098,11,0,1.31262811454324,NA,0.6,-3.7361056009928384,1.4,191564398.30652136,2.3342041571194803,12.89534328,-14.93936134,0.2566560701223253
534,hlm 5,senegal,2009-11-01,NA,NA,10,3,2.37824305804586,0,NA,NA,NA,NA,NA,14.72402296,-17.45998489,NA
397,cite des enseignants,senegal,2009-11-01,14.77683245,-17.40519022,6,2,1.45857392305169,1,0.2,-3.452143669128418,-0.19999999999999984,69691.75401648635,0,14.77734506,-17.39599836,0.1089818340392096
209,sacre coeur 1,senegal,2009-11-01,14.7166,-17.4627,9,0,2.73037622714301,NA,0,0,0,0,0,14.72094534,-17.45998489,0.10319156482409106
866,medinatoul nord,senegal,2009-11-01,14.65733141,-16.23486005,18,2,2.56499841554815,1,0.2,-3.180641412734986,-0.19999999999999973,40611737.75569371,0.6303187841263145,14.66195934,-16.23192106,0.1888813782738505
737,keur el hadji,senegal,2009-11-01,14.49623916,-16.0640894,21,2,-0.0124676112183308,1,0.2,-3.2022647857666016,-0.19999999999999973,40611737.75569371,0.7325532552403278,14.50274052,-16.09656209,0.1903920850097714
113,cite lobatt fall,senegal,2009-11-01,14.74682,-17.40995,10,1,2.55892911748352,1,0.2,-3.461019515991211,-0.19999999999999984,69691.75401648635,1.4319276423264522,14.74391863,-17.39599836,0.1089818340392096
641,hlm 4,senegal,2009-11-01,14.71207849,-17.44431032,15,1,1.7388702637482,1,0,0,0,0,0,14.72094534,-17.45998489,0.10319156482409106
342,mbour i,senegal,2009-11-01,14.68562239,-17.45034661,4,0,1.55980478956426,NA,0,0,0,0,0,14.66195934,-17.45998489,0.10319156482409106
137,hersent,senegal,2009-11-01,14.77685,-16.90942,4,2,3.28521366625875,1,0.6,-1.331539362668991,0.06666666666666665,51150342.58703999,0.07450315423563665,14.77734506,-16.92877566,0.195125325442822
1751,mouderi,senegal,2009-11-01,15.06857796,-12.59097186,44,6,0.211919376323183,1,0.8,-2.1201342741648355,-0.29999999999999993,69166082.03067684,1.1587191400393408,15.03429087,-12.41480008,0.17367146808388914
1529,yirla,senegal,2009-11-01,15.60553632,-13.18272101,21,0,2.50662219310694,NA,0.6,-2.1883033514022827,0.06666666666666665,18255120.510934275,0.05306710310857907,15.6680352,-13.36263999,0.1458656833905574
1015,keur serigne louga s,senegal,2009-11-01,NA,NA,9,1,1.92524498939435,1,NA,NA,NA,NA,NA,14.72402296,-17.45998489,NA
540,hlm 5,senegal,2009-11-01,NA,NA,5,1,2.01066673864884,1,NA,NA,NA,NA,NA,14.72402296,-17.45998489,NA
391,thiarene h2,senegal,2009-11-01,15.7668346,-13.47659022,7,1,-2.62708154379858,0,0.4,-2.0618878602981567,-0.3999999999999999,25149369.334476203,0.3851886887902918,15.71702669,-13.36263999,0.16610312408759917
1135,raymon hamady baid,senegal,2009-11-01,13.95111667,-16.14733245,8,0,-2.72809531036566,NA,0.2,-3.0915489196777344,-0.19999999999999973,40611737.75569371,1.4886309974495415,13.9817835,-16.18754008,0.20583506441058544
1621,wodabe,senegal,2009-11-01,15.54077403,-13.24904558,11,0,-4.35996919767323,NA,0.6,-1.4896016120910645,0.06666666666666665,26500229.788067397,0.12725534897306626,15.6680352,-13.36263999,0.14903519149594585
1802,sare seiny diallo,senegal,2009-11-01,13.08996882,-15.08650342,16,1,-4.35753515034197,1,0.6,-3.554504672686259,1.4,219630175.18121687,1.9511387284243955,13.09404416,-14.93936134,0.25990411980328837
878,berefji de diane,senegal,2009-11-01,14.5609965,-16.33790165,3,2,-4.09954382304021,1,0.2,-3.1888327598571777,-0.19999999999999973,40611737.75569371,0.6153174821014129,14.50274052,-16.39672928,0.1954397884798749
1635,keur amath drame,senegal,2009-11-01,13.78607662,-15.79470889,10,1,-3.04417178985243,1,0.4,-2.613256871700287,0.6000000000000005,34359803.787766814,-0.02747643903170016,13.7751637,-15.78133054,0.20593115061153844
1613,wodabe,senegal,2009-11-01,15.54077403,-13.24904558,8,1,-4.28074147297397,0,0.6,-1.4896016120910645,0.06666666666666665,26500229.788067397,0.12725534897306626,15.6680352,-13.36263999,0.14903519149594585
1798,boufaraghor,senegal,2009-11-01,13.22542691,-15.64955829,3,0,-3.48070211472796,NA,0.2,-6.26295804977417,-0.19999999999999973,90891377.81717038,2.73597042279431,13.1909904,-15.63622426,0.2552819437114922
1389,mbanane,senegal,2009-11-01,15.65658872,-13.38544875,6,0,-4.13431268742331,NA,0.4,-2.678460717201233,-0.3999999999999999,17354546.875206813,0.1828885036564404,15.6680352,-13.36263999,0.15798600046802075
1143,paymar amady baidy,senegal,2009-11-01,13.95111667,-16.14733245,15,1,-3.04124760079003,1,0.2,-3.0915489196777344,-0.19999999999999973,40611737.75569371,1.4886309974495415,13.9817835,-16.18754008,0.20583506441058544
1721,kouba,senegal,2009-11-01,12.86870668,-16.64374447,8,0,-3.52323245393006,NA,0,0,0,0,0,12.89534328,-16.73379647,0.15192984041819413
1794,badending doulo,senegal,2009-11-01,13.11899479,-15.37373823,4,2,-2.28087104410956,1,0.6,-3.487023194630941,1.4,219630175.18121687,1.864803088720742,13.09404416,-15.40508637,0.2611105580595026
382,thiarene h2,senegal,2009-11-01,15.7668346,-13.47659022,16,0,-2.76036836382586,NA,0.4,-2.0618878602981567,-0.3999999999999999,25149369.334476203,0.3851886887902918,15.71702669,-13.36263999,0.16610312408759917
870,beredji de diane,senegal,2009-11-01,NA,NA,1,0,-3.91086860070395,NA,NA,NA,NA,NA,NA,14.72402296,-17.45998489,NA
1623,wodabe,senegal,2009-11-01,15.54077403,-13.24904558,11,1,-3.82861394520705,0,0.6,-1.4896016120910645,0.06666666666666665,26500229.788067397,0.12725534897306626,15.6680352,-13.36263999,0.14903519149594585
