,house,date,district,census_tract,country,hh_size,migrant_num,wealth_index,remit,lat,long,lat_SPEI,long_SPEI,pop_cent_lat,pop_cent_long,intensity,magnitude,duration,frequency,severity,dispersion,area,NDVI_mean,SVI_severity
33,35,2/15/2010,manafwa,kaboole/butinga,uganda,5,1,-1.811112302,0,0.88334,34.42642,0.9,34.45,0.935776158,34.21127757,-1.634667158,-1.682110985,1.3333333333333333,0.8,-2.156750123,-0.3,359078132.7824406,0.18719740849726496,0.7346110548085582
34,36,2/15/2010,manafwa,kaboole/butinga,uganda,6,0,-1.48643915,,0.88334,34.42642,0.9,34.45,0.935776158,34.21127757,-1.634667158,-1.682110985,1.3333333333333333,0.8,-2.156750123,-0.3,359078132.7824406,0.18719740849726496,0.7346110548085582
35,37,2/15/2010,manafwa,kaboole/butinga,uganda,5,0,-0.940519505,,0.88334,34.42642,0.9,34.45,0.935776158,34.21127757,-1.634667158,-1.682110985,1.3333333333333333,0.8,-2.156750123,-0.3,359078132.7824406,0.18719740849726496,0.7346110548085582
36,38,2/15/2010,manafwa,kaboole/butinga,uganda,6,0,-2.537288459,,0.88334,34.42642,0.9,34.45,0.935776158,34.21127757,-1.634667158,-1.682110985,1.3333333333333333,0.8,-2.156750123,-0.3,359078132.7824406,0.18719740849726496,0.7346110548085582
37,39,2/15/2010,manafwa,kaboole/butinga,uganda,2,1,-1.117706145,1,0.88334,34.42642,0.9,34.45,0.935776158,34.21127757,-1.634667158,-1.682110985,1.3333333333333333,0.8,-2.156750123,-0.3,359078132.7824406,0.18719740849726496,0.7346110548085582
38,40,2/15/2010,manafwa,kaboole/butinga,uganda,10,0,-2.62585689,1,0.88334,34.42642,0.9,34.45,0.935776158,34.21127757,-1.634667158,-1.682110985,1.3333333333333333,0.8,-2.156750123,-0.3,359078132.7824406,0.18719740849726496,0.7346110548085582
39,41,2/16/2010,kamuli,bugaga/bunangwe,uganda,6,0,-1.308870518,,0.96222,33.25307,0.95,33.25,0.935776158,33.25420097,-1.607933309,-1.749948766,2.1666666666666665,1.6,-3.738684389,0.15000000000000013,369061151.38674134,0.2563411037087269,0.5585614545824216
40,42,2/16/2010,kamuli,bugaga/bunangwe,uganda,8,0,-0.107189452,,0.96222,33.25307,0.95,33.25,0.935776158,33.25420097,-1.607933309,-1.749948766,2.1666666666666665,1.6,-3.738684389,0.15000000000000013,369061151.38674134,0.2563411037087269,0.5585614545824216
41,43,2/16/2010,kamuli,bugaga/bunangwe,uganda,6,0,-2.537288459,,0.96222,33.25307,0.95,33.25,0.935776158,33.25420097,-1.607933309,-1.749948766,2.1666666666666665,1.6,-3.738684389,0.15000000000000013,369061151.38674134,0.2563411037087269,0.5585614545824216
42,44,2/16/2010,kamuli,bugaga/bunangwe,uganda,9,6,-1.985216848,0,0.96222,33.25307,0.95,33.25,0.935776158,33.25420097,-1.607933309,-1.749948766,2.1666666666666665,1.6,-3.738684389,0.15000000000000013,369061151.38674134,0.2563411037087269,0.5585614545824216
43,45,2/16/2010,kamuli,bugaga/bunangwe,uganda,2,8,-1.710974101,0,0.96222,33.25307,0.95,33.25,0.935776158,33.25420097,-1.607933309,-1.749948766,2.1666666666666665,1.6,-3.738684389,0.15000000000000013,369061151.38674134,0.2563411037087269,0.5585614545824216
44,46,2/16/2010,kamuli,bugaga/bunangwe,uganda,8,3,-0.389320905,1,0.96222,33.25307,0.95,33.25,0.935776158,33.25420097,-1.607933309,-1.749948766,2.1666666666666665,1.6,-3.738684389,0.15000000000000013,369061151.38674134,0.2563411037087269,0.5585614545824216
45,47,2/16/2010,kamuli,bugaga/bunangwe,uganda,8,0,-0.145116187,1,0.96222,33.25307,0.95,33.25,0.935776158,33.25420097,-1.607933309,-1.749948766,2.1666666666666665,1.6,-3.738684389,0.15000000000000013,369061151.38674134,0.2563411037087269,0.5585614545824216
46,48,2/16/2010,kamuli,bugaga/bunangwe,uganda,8,0,-2.562956294,,0.96222,33.25307,0.95,33.25,0.935776158,33.25420097,-1.607933309,-1.749948766,2.1666666666666665,1.6,-3.738684389,0.15000000000000013,369061151.38674134,0.2563411037087269,0.5585614545824216
47,49,2/16/2010,kamuli,bugaga/bunangwe,uganda,5,1,-1.353833447,0,0.96222,33.25307,0.95,33.25,0.935776158,33.25420097,-1.607933309,-1.749948766,2.1666666666666665,1.6,-3.738684389,0.15000000000000013,369061151.38674134,0.2563411037087269,0.5585614545824216
