,house,district,census_tract,country,hh_size,migrant_num,wealth_index,remit,lat,long,lat_SPEI,long_SPEI,pop_cent_lat,pop_cent_long,intensity,magnitude,duration,frequency,severity,dispersion,area,NDVI_mean,SVI_severity
334,343,oyo,best foundation,nigeria,7,1,1.0022629312011802,1.0,5.53719,5.75815,5.55,5.75,5.541901546,5.756232563,-1.5410254995028179,-1.6385337909062703,2.0,0.6,-3.0176559885342917,-0.6,276347431.7354824,0.15552024978862874,0.06244934095305538
335,344,oyo,best foundation,nigeria,8,1,2.6106900556436776,1.0,5.53719,5.75815,5.55,5.75,5.541901546,5.756232563,-1.5410254995028179,-1.6385337909062703,2.0,0.6,-3.0176559885342917,-0.6,276347431.7354824,0.15552024978862874,0.06244934095305538
336,345,oyo,best foundation,nigeria,7,1,0.4385859210676978,1.0,5.53719,5.75815,5.55,5.75,5.541901546,5.756232563,-1.5410254995028179,-1.6385337909062703,2.0,0.6,-3.0176559885342917,-0.6,276347431.7354824,0.15552024978862874,0.06244934095305538
337,346,oyo,best foundation,nigeria,4,2,2.664801216864513,1.0,5.53719,5.75815,5.55,5.75,5.541901546,5.756232563,-1.5410254995028179,-1.6385337909062703,2.0,0.6,-3.0176559885342917,-0.6,276347431.7354824,0.15552024978862874,0.06244934095305538
338,347,oyo,best foundation,nigeria,9,3,1.0039461370356677,1.0,5.53719,5.75815,5.55,5.75,5.541901546,5.756232563,-1.5410254995028179,-1.6385337909062703,2.0,0.6,-3.0176559885342917,-0.6,276347431.7354824,0.15552024978862874,0.06244934095305538
339,348,oyo,best foundation,nigeria,7,2,0.8141934701473647,1.0,5.53719,5.75815,5.55,5.75,5.541901546,5.756232563,-1.5410254995028179,-1.6385337909062703,2.0,0.6,-3.0176559885342917,-0.6,276347431.7354824,0.15552024978862874,0.06244934095305538
340,349,oyo,best foundation,nigeria,6,2,2.0250068341971708,1.0,5.53719,5.75815,5.55,5.75,5.541901546,5.756232563,-1.5410254995028179,-1.6385337909062703,2.0,0.6,-3.0176559885342917,-0.6,276347431.7354824,0.15552024978862874,0.06244934095305538
341,350,oyo,best foundation,nigeria,8,2,0.8029203115596905,1.0,5.53719,5.75815,5.55,5.75,5.541901546,5.756232563,-1.5410254995028179,-1.6385337909062703,2.0,0.6,-3.0176559885342917,-0.6,276347431.7354824,0.15552024978862874,0.06244934095305538
342,351,oyo,best foundation,nigeria,5,1,1.835761731669668,1.0,5.53719,5.75815,5.55,5.75,5.541901546,5.756232563,-1.5410254995028179,-1.6385337909062703,2.0,0.6,-3.0176559885342917,-0.6,276347431.7354824,0.15552024978862874,0.06244934095305538
343,352,oyo,best foundation,nigeria,7,1,1.5834859867780584,1.0,5.53719,5.75815,5.55,5.75,5.541901546,5.756232563,-1.5410254995028179,-1.6385337909062703,2.0,0.6,-3.0176559885342917,-0.6,276347431.7354824,0.15552024978862874,0.06244934095305538
344,353,oyo,best foundation,nigeria,5,2,0.4447269351162649,1.0,5.53719,5.75815,5.55,5.75,5.541901546,5.756232563,-1.5410254995028179,-1.6385337909062703,2.0,0.6,-3.0176559885342917,-0.6,276347431.7354824,0.15552024978862874,0.06244934095305538
345,354,oyo,best foundation,nigeria,4,1,1.5160124111675717,1.0,5.53719,5.75815,5.55,5.75,5.541901546,5.756232563,-1.5410254995028179,-1.6385337909062703,2.0,0.6,-3.0176559885342917,-0.6,276347431.7354824,0.15552024978862874,0.06244934095305538
346,355,oyo,best foundation,nigeria,9,0,2.0791493154387304,,5.53719,5.75815,5.55,5.75,5.541901546,5.756232563,-1.5410254995028179,-1.6385337909062703,2.0,0.6,-3.0176559885342917,-0.6,276347431.7354824,0.15552024978862874,0.06244934095305538
347,356,oyo,best foundation,nigeria,8,0,0.820957365299969,,5.53719,5.75815,5.55,5.75,5.541901546,5.756232563,-1.5410254995028179,-1.6385337909062703,2.0,0.6,-3.0176559885342917,-0.6,276347431.7354824,0.15552024978862874,0.06244934095305538
348,357,oyo,best foundation,nigeria,10,2,0.4273127624800236,1.0,5.53719,5.75815,5.55,5.75,5.541901546,5.756232563,-1.5410254995028179,-1.6385337909062703,2.0,0.6,-3.0176559885342917,-0.6,276347431.7354824,0.15552024978862874,0.06244934095305538
349,358,oyo,best foundation,nigeria,4,0,0.6961796627595741,,5.53719,5.75815,5.55,5.75,5.541901546,5.756232563,-1.5410254995028179,-1.6385337909062703,2.0,0.6,-3.0176559885342917,-0.6,276347431.7354824,0.15552024978862874,0.06244934095305538
350,359,oyo,best foundation,nigeria,5,1,1.5639843331065353,1.0,5.53719,5.75815,5.55,5.75,5.541901546,5.756232563,-1.5410254995028179,-1.6385337909062703,2.0,0.6,-3.0176559885342917,-0.6,276347431.7354824,0.15552024978862874,0.06244934095305538
351,360,oyo,best foundation,nigeria,8,2,1.075810574065685,1.0,5.53719,5.75815,5.55,5.75,5.541901546,5.756232563,-1.5410254995028179,-1.6385337909062703,2.0,0.6,-3.0176559885342917,-0.6,276347431.7354824,0.15552024978862874,0.06244934095305538
352,362,lagos,cardoso,nigeria,4,10,2.063559359824966,1.0,6.529643091,3.352357156,6.55,3.35,6.535863141,3.350468463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11699717082075507,0.0
353,363,lagos,cardoso,nigeria,3,1,1.8619614347155944,1.0,6.529643091,3.352357156,6.55,3.35,6.535863141,3.350468463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11699717082075507,0.0
354,364,lagos,cardoso,nigeria,6,5,3.4326384137027683,0.0,6.529643091,3.352357156,6.55,3.35,6.535863141,3.350468463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11699717082075507,0.0
355,365,lagos,cardoso,nigeria,6,5,-0.4172490343203346,1.0,6.529643091,3.352357156,6.55,3.35,6.535863141,3.350468463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11699717082075507,0.0
