,house,district,census_tract,country,hh_size,migrant_num,wealth_index,remit,lat,long,lat_regrid,long_regrid,intensity,magnitude,duration,frequency,severity,dispersion,area,NDVI_mean,SVI_severity
44,45,niger,abdullahi,nigeria,8,0,3.005745761002847,,9.080227094,6.01051127,9.1,6.0,-1.6170589526494343,-1.6216084559758503,1.3333333333333333,0.6,-2.122995893160502,-0.5999999999999999,167338914.89055356,0.22954344724489933,-0.2046245664318637
45,46,niger,abdullahi,nigeria,6,1,-0.652058598,1.0,9.080227094,6.01051127,9.1,6.0,-1.6170589526494343,-1.6216084559758503,1.3333333333333333,0.6,-2.122995893160502,-0.5999999999999999,167338914.89055356,0.22954344724489933,-0.2046245664318637
46,47,niger,abdullahi,nigeria,12,0,-0.89565688,,9.080227094,6.01051127,9.1,6.0,-1.6170589526494343,-1.6216084559758503,1.3333333333333333,0.6,-2.122995893160502,-0.5999999999999999,167338914.89055356,0.22954344724489933,-0.2046245664318637
47,48,niger,abdullahi,nigeria,5,0,-1.044844294,,9.080227094,6.01051127,9.1,6.0,-1.6170589526494343,-1.6216084559758503,1.3333333333333333,0.6,-2.122995893160502,-0.5999999999999999,167338914.89055356,0.22954344724489933,-0.2046245664318637
48,49,niger,abdullahi,nigeria,4,0,-1.420202507,,9.080227094,6.01051127,9.1,6.0,-1.6170589526494343,-1.6216084559758503,1.3333333333333333,0.6,-2.122995893160502,-0.5999999999999999,167338914.89055356,0.22954344724489933,-0.2046245664318637
49,50,niger,abdullahi,nigeria,21,0,2.8880011646546424,,9.080227094,6.01051127,9.1,6.0,-1.6170589526494343,-1.6216084559758503,1.3333333333333333,0.6,-2.122995893160502,-0.5999999999999999,167338914.89055356,0.22954344724489933,-0.2046245664318637
50,51,niger,abdullahi,nigeria,15,4,-1.589756173,1.0,9.080227094,6.01051127,9.1,6.0,-1.6170589526494343,-1.6216084559758503,1.3333333333333333,0.6,-2.122995893160502,-0.5999999999999999,167338914.89055356,0.22954344724489933,-0.2046245664318637
51,52,niger,abdullahi,nigeria,5,0,0.9831254730469188,,9.080227094,6.01051127,9.1,6.0,-1.6170589526494343,-1.6216084559758503,1.3333333333333333,0.6,-2.122995893160502,-0.5999999999999999,167338914.89055356,0.22954344724489933,-0.2046245664318637
52,53,niger,abdullahi,nigeria,5,0,1.1511221306998585,,9.080227094,6.01051127,9.1,6.0,-1.6170589526494343,-1.6216084559758503,1.3333333333333333,0.6,-2.122995893160502,-0.5999999999999999,167338914.89055356,0.22954344724489933,-0.2046245664318637
53,54,niger,abdullahi,nigeria,3,0,1.493466093992223,,9.080227094,6.01051127,9.1,6.0,-1.6170589526494343,-1.6216084559758503,1.3333333333333333,0.6,-2.122995893160502,-0.5999999999999999,167338914.89055356,0.22954344724489933,-0.2046245664318637
54,55,niger,abdullahi,nigeria,3,0,1.7424419314402029,,9.080227094,6.01051127,9.1,6.0,-1.6170589526494343,-1.6216084559758503,1.3333333333333333,0.6,-2.122995893160502,-0.5999999999999999,167338914.89055356,0.22954344724489933,-0.2046245664318637
55,56,niger,abdullahi,nigeria,8,0,1.125373983971006,,9.080227094,6.01051127,9.1,6.0,-1.6170589526494343,-1.6216084559758503,1.3333333333333333,0.6,-2.122995893160502,-0.5999999999999999,167338914.89055356,0.22954344724489933,-0.2046245664318637
56,57,niger,abdullahi,nigeria,7,0,-0.690382157,,9.080227094,6.01051127,9.1,6.0,-1.6170589526494343,-1.6216084559758503,1.3333333333333333,0.6,-2.122995893160502,-0.5999999999999999,167338914.89055356,0.22954344724489933,-0.2046245664318637
57,58,niger,abdullahi,nigeria,6,0,-0.503754067,,9.080227094,6.01051127,9.1,6.0,-1.6170589526494343,-1.6216084559758503,1.3333333333333333,0.6,-2.122995893160502,-0.5999999999999999,167338914.89055356,0.22954344724489933,-0.2046245664318637
58,59,niger,abdullahi,nigeria,5,0,-1.365897061,,9.080227094,6.01051127,9.1,6.0,-1.6170589526494343,-1.6216084559758503,1.3333333333333333,0.6,-2.122995893160502,-0.5999999999999999,167338914.89055356,0.22954344724489933,-0.2046245664318637
59,60,lagos,adedoyin,nigeria,5,3,1.200362998639943,0.0,6.5961,3.3408,6.6,3.35,-1.6930816173553467,-1.7617073059082031,2.0,0.2,-3.3861632347106934,-0.19999999999999973,20384083.936370194,0.14557763971112483,-0.7686710951729558
60,61,lagos,adedoyin,nigeria,4,4,2.1192049288782155,0.0,6.5961,3.3408,6.6,3.35,-1.6930816173553467,-1.7617073059082031,2.0,0.2,-3.3861632347106934,-0.19999999999999973,20384083.936370194,0.14557763971112483,-0.7686710951729558
61,62,lagos,adedoyin,nigeria,5,1,1.8950851690110064,1.0,6.5961,3.3408,6.6,3.35,-1.6930816173553467,-1.7617073059082031,2.0,0.2,-3.3861632347106934,-0.19999999999999973,20384083.936370194,0.14557763971112483,-0.7686710951729558
62,63,lagos,adedoyin,nigeria,10,1,1.6809954491837154,1.0,6.5961,3.3408,6.6,3.35,-1.6930816173553467,-1.7617073059082031,2.0,0.2,-3.3861632347106934,-0.19999999999999973,20384083.936370194,0.14557763971112483,-0.7686710951729558
63,64,lagos,adedoyin,nigeria,5,2,1.754450056020238,0.0,6.5961,3.3408,6.6,3.35,-1.6930816173553467,-1.7617073059082031,2.0,0.2,-3.3861632347106934,-0.19999999999999973,20384083.936370194,0.14557763971112483,-0.7686710951729558
64,65,lagos,adedoyin,nigeria,6,3,1.7319037388448897,0.0,6.5961,3.3408,6.6,3.35,-1.6930816173553467,-1.7617073059082031,2.0,0.2,-3.3861632347106934,-0.19999999999999973,20384083.936370194,0.14557763971112483,-0.7686710951729558
65,66,lagos,adedoyin,nigeria,2,1,1.2680019501659876,1.0,6.5961,3.3408,6.6,3.35,-1.6930816173553467,-1.7617073059082031,2.0,0.2,-3.3861632347106934,-0.19999999999999973,20384083.936370194,0.14557763971112483,-0.7686710951729558
66,67,lagos,adedoyin,nigeria,4,3,1.1327240471138975,0.0,6.5961,3.3408,6.6,3.35,-1.6930816173553467,-1.7617073059082031,2.0,0.2,-3.3861632347106934,-0.19999999999999973,20384083.936370194,0.14557763971112483,-0.7686710951729558
67,68,lagos,adedoyin,nigeria,7,3,2.3593896410876165,0.0,6.5961,3.3408,6.6,3.35,-1.6930816173553467,-1.7617073059082031,2.0,0.2,-3.3861632347106934,-0.19999999999999973,20384083.936370194,0.14557763971112483,-0.7686710951729558
68,69,lagos,adedoyin,nigeria,4,2,1.6640373856872848,0.0,6.5961,3.3408,6.6,3.35,-1.6930816173553467,-1.7617073059082031,2.0,0.2,-3.3861632347106934,-0.19999999999999973,20384083.936370194,0.14557763971112483,-0.7686710951729558
69,70,lagos,adedoyin,nigeria,4,1,2.3168232823542225,1.0,6.5961,3.3408,6.6,3.35,-1.6930816173553467,-1.7617073059082031,2.0,0.2,-3.3861632347106934,-0.19999999999999973,20384083.936370194,0.14557763971112483,-0.7686710951729558
70,71,lagos,adedoyin,nigeria,8,3,1.7792946733200268,1.0,6.5961,3.3408,6.6,3.35,-1.6930816173553467,-1.7617073059082031,2.0,0.2,-3.3861632347106934,-0.19999999999999973,20384083.936370194,0.14557763971112483,-0.7686710951729558
71,72,lagos,adedoyin,nigeria,4,2,2.5667639969827154,0.0,6.5961,3.3408,6.6,3.35,-1.6930816173553467,-1.7617073059082031,2.0,0.2,-3.3861632347106934,-0.19999999999999973,20384083.936370194,0.14557763971112483,-0.7686710951729558
72,73,lagos,adedoyin,nigeria,1,1,1.719712923791507,0.0,6.5961,3.3408,6.6,3.35,-1.6930816173553467,-1.7617073059082031,2.0,0.2,-3.3861632347106934,-0.19999999999999973,20384083.936370194,0.14557763971112483,-0.7686710951729558
73,74,lagos,adedoyin,nigeria,4,1,1.8413453711671544,0.0,6.5961,3.3408,6.6,3.35,-1.6930816173553467,-1.7617073059082031,2.0,0.2,-3.3861632347106934,-0.19999999999999973,20384083.936370194,0.14557763971112483,-0.7686710951729558
