,house,date,district,census_tract,country,hh_size,migrant_num,wealth_index,remit,lat,long,lat_SPEI,long_SPEI,NDVI_lat,NDVI_lon,sev_lat,sev_lon,pop_cent_lat,pop_cent_long,annual_frequency,severity,autocorrelation,avg_area,NDVI_mean,SVI_severity
30,32,2/15/2010,manafwa,kaboole/butinga,uganda,3,0,-1.063620677,,0.88334,34.42642,0.9,34.45,0.9,34.45,0.9,34.45,0.935776158,34.21127757,0.6,-0.3516529401143392,-0.05526315789473684,455156614.3849786,0.1938809884203178,0.8640052597614521
31,33,2/15/2010,manafwa,kaboole/butinga,uganda,3,0,-1.962127085,1.0,0.88334,34.42642,0.9,34.45,0.9,34.45,0.9,34.45,0.935776158,34.21127757,0.6,-0.3516529401143392,-0.05526315789473684,455156614.3849786,0.1938809884203178,0.8640052597614521
32,34,2/15/2010,manafwa,kaboole/butinga,uganda,3,1,-1.00753681,0.0,0.88334,34.42642,0.9,34.45,0.9,34.45,0.9,34.45,0.935776158,34.21127757,0.6,-0.3516529401143392,-0.05526315789473684,455156614.3849786,0.1938809884203178,0.8640052597614521
33,35,2/15/2010,manafwa,kaboole/butinga,uganda,5,1,-1.811112302,0.0,0.88334,34.42642,0.9,34.45,0.9,34.45,0.9,34.45,0.935776158,34.21127757,0.6,-0.3516529401143392,-0.05526315789473684,455156614.3849786,0.1938809884203178,0.8640052597614521
34,36,2/15/2010,manafwa,kaboole/butinga,uganda,6,0,-1.48643915,,0.88334,34.42642,0.9,34.45,0.9,34.45,0.9,34.45,0.935776158,34.21127757,0.6,-0.3516529401143392,-0.05526315789473684,455156614.3849786,0.1938809884203178,0.8640052597614521
35,37,2/15/2010,manafwa,kaboole/butinga,uganda,5,0,-0.940519505,,0.88334,34.42642,0.9,34.45,0.9,34.45,0.9,34.45,0.935776158,34.21127757,0.6,-0.3516529401143392,-0.05526315789473684,455156614.3849786,0.1938809884203178,0.8640052597614521
36,38,2/15/2010,manafwa,kaboole/butinga,uganda,6,0,-2.537288459,,0.88334,34.42642,0.9,34.45,0.9,34.45,0.9,34.45,0.935776158,34.21127757,0.6,-0.3516529401143392,-0.05526315789473684,455156614.3849786,0.1938809884203178,0.8640052597614521
37,39,2/15/2010,manafwa,kaboole/butinga,uganda,2,1,-1.117706145,1.0,0.88334,34.42642,0.9,34.45,0.9,34.45,0.9,34.45,0.935776158,34.21127757,0.6,-0.3516529401143392,-0.05526315789473684,455156614.3849786,0.1938809884203178,0.8640052597614521
38,40,2/15/2010,manafwa,kaboole/butinga,uganda,10,0,-2.62585689,1.0,0.88334,34.42642,0.9,34.45,0.9,34.45,0.9,34.45,0.935776158,34.21127757,0.6,-0.3516529401143392,-0.05526315789473684,455156614.3849786,0.1938809884203178,0.8640052597614521
39,41,2/16/2010,kamuli,bugaga/bunangwe,uganda,6,0,-1.308870518,,0.96222,33.25307,0.95,33.25,0.95,33.25,0.95,33.25,0.935776158,33.25420097,2.0,-0.5179805755615234,-0.06999999999999999,249780119.94126788,0.2921561167006678,0.31793558234227537
