,house,district,census_tract,country,date,hh_size,migrant_num,wealth_index,remit,lat,long,lat_SPEI,long_SPEI,pop_cent_lat,pop_cent_long,intensity,magnitude,duration,frequency,severity,dispersion,area,NDVI_mean,SVI_severity
1714,1797,vihiga,idohi,kenya,2009-12-15,6,1,1.8743235978775612,0.0,0.084078524,34.7227277,0.1,34.7,0.092835804,34.72154676,-1.6899886846542358,-1.9623273134231567,3.0,0.5,-5.109336733818054,-0.5,434577647.30585474,0.21242635412806066,0.1413609952559865
1715,1798,vihiga,mbale/nyembe,kenya,2009-12-16,7,2,2.947255338168627,1.0,0.090242818,34.72120122,0.1,34.7,0.092835804,34.72154676,-1.6899886846542358,-1.9623273134231567,3.0,0.5,-5.109336733818054,-0.5,434577647.30585474,0.21242635412806066,0.1413609952559865
1716,1799,vihiga,idohi,kenya,2009-12-15,6,2,0.1016429385835832,0.0,0.084078524,34.7227277,0.1,34.7,0.092835804,34.72154676,-1.6899886846542358,-1.9623273134231567,3.0,0.5,-5.109336733818054,-0.5,434577647.30585474,0.21242635412806066,0.1413609952559865
1717,1800,vihiga,mbale/nyembe,kenya,2009-12-16,2,5,-0.4881940823402521,1.0,0.090242818,34.72120122,0.1,34.7,0.092835804,34.72154676,-1.6899886846542358,-1.9623273134231567,3.0,0.5,-5.109336733818054,-0.5,434577647.30585474,0.21242635412806066,0.1413609952559865
1718,1801,vihiga,mbale/nyembe,kenya,2009-12-16,9,5,1.669121156501612,1.0,0.090242818,34.72120122,0.1,34.7,0.092835804,34.72154676,-1.6899886846542358,-1.9623273134231567,3.0,0.5,-5.109336733818054,-0.5,434577647.30585474,0.21242635412806066,0.1413609952559865
1719,1802,vihiga,mbale/nyembe,kenya,2009-12-16,7,0,-1.6194784619404483,,0.090242818,34.72120122,0.1,34.7,0.092835804,34.72154676,-1.6899886846542358,-1.9623273134231567,3.0,0.5,-5.109336733818054,-0.5,434577647.30585474,0.21242635412806066,0.1413609952559865
1720,1803,vihiga,idohi,kenya,2009-12-15,9,4,0.1648097256163708,1.0,0.084078524,34.7227277,0.1,34.7,0.092835804,34.72154676,-1.6899886846542358,-1.9623273134231567,3.0,0.5,-5.109336733818054,-0.5,434577647.30585474,0.21242635412806066,0.1413609952559865
1721,1804,vihiga,idohi,kenya,2009-12-15,5,0,3.0681383694742164,,0.084078524,34.7227277,0.1,34.7,0.092835804,34.72154676,-1.6899886846542358,-1.9623273134231567,3.0,0.5,-5.109336733818054,-0.5,434577647.30585474,0.21242635412806066,0.1413609952559865
1722,1805,vihiga,idohi,kenya,2009-12-15,5,1,-1.0252214423140684,1.0,0.084078524,34.7227277,0.1,34.7,0.092835804,34.72154676,-1.6899886846542358,-1.9623273134231567,3.0,0.5,-5.109336733818054,-0.5,434577647.30585474,0.21242635412806066,0.1413609952559865
1723,1806,vihiga,idohi,kenya,2009-12-15,5,7,1.4054361876826102,1.0,0.084078524,34.7227277,0.1,34.7,0.092835804,34.72154676,-1.6899886846542358,-1.9623273134231567,3.0,0.5,-5.109336733818054,-0.5,434577647.30585474,0.21242635412806066,0.1413609952559865
1724,1807,vihiga,magina,kenya,2009-12-20,6,0,2.681258232395171,,-0.960800433,36.62619657,-0.95,36.65,-0.978652712,36.65254242,-1.605521866253444,-1.6995202813829695,2.047619047619048,0.9,-3.3781896999904086,-0.23333333333333328,335047019.8699861,0.2219240394056005,1.0125399192117348
1725,1808,vihiga,magina,kenya,2009-12-20,1,0,1.7068223362445345,,-0.960800433,36.62619657,-0.95,36.65,-0.978652712,36.65254242,-1.605521866253444,-1.6995202813829695,2.047619047619048,0.9,-3.3781896999904086,-0.23333333333333328,335047019.8699861,0.2219240394056005,1.0125399192117348
1726,1809,vihiga,ikengero,kenya,2009-12-18,3,0,2.4589898138256703,1.0,0.046629774,34.72621267,0.05,34.75,0.045932329,34.7257041,-1.7228180170059204,-1.9676098823547363,2.8,0.5,-4.854992842674255,-0.5,433846911.31503767,0.22385492258076542,0.30376648279712704
1727,1810,vihiga,ikengero,kenya,2009-12-18,5,0,-2.2910616949783025,,0.046629774,34.72621267,0.05,34.75,0.045932329,34.7257041,-1.7228180170059204,-1.9676098823547363,2.8,0.5,-4.854992842674255,-0.5,433846911.31503767,0.22385492258076542,0.30376648279712704
1728,1811,vihiga,ikengero,kenya,2009-12-18,8,2,0.7872445023598136,1.0,0.046629774,34.72621267,0.05,34.75,0.045932329,34.7257041,-1.7228180170059204,-1.9676098823547363,2.8,0.5,-4.854992842674255,-0.5,433846911.31503767,0.22385492258076542,0.30376648279712704
