house,census_tract,district,country,date,wealth_index,hh_size,migrant_num,any_remit,migrant_hh,migrant_loc,hh_months,remit,lat,long
53,paila west/central,nebbi,uganda,2010-02-12,-0.643083647504122,5,1,1,hh,national,24,1,2.46547,31.31556
54,paila west/central,nebbi,uganda,2010-02-12,-1.36229767887037,10,1,NA,hh,national,50,NA,2.46547,31.31556
55,paila west/central,nebbi,uganda,2010-02-12,-1.19044158693564,13,1,NA,hh,national,60,NA,2.46547,31.31556
56,paila west/central,nebbi,uganda,2010-02-12,-2.51141323108082,8,1,NA,hh,national,14,NA,2.46547,31.31556
57,paila west/central,nebbi,uganda,2010-02-12,-1.0831506567964,6,1,NA,hh,national,1,NA,2.46547,31.31556
58,paila west/central,nebbi,uganda,2010-02-12,-2.64016234724791,7,0,NA,NA,NA,NA,NA,2.46547,31.31556
59,paila west/central,nebbi,uganda,2010-02-12,-2.46849685902512,3,0,NA,NA,NA,NA,NA,2.46547,31.31556
60,paila west/central,nebbi,uganda,2010-02-12,-1.73939173303141,2,0,NA,NA,NA,NA,NA,2.46547,31.31556
61,bubbumbi,kaliro,uganda,2010-02-19,-2.42558048696943,2,3,NA,hh,national,360,NA,0.97722,33.49732
61,bubbumbi,kaliro,uganda,2010-02-19,-2.42558048696943,2,3,NA,hh,national,180,NA,0.97722,33.49732
61,bubbumbi,kaliro,uganda,2010-02-19,-2.42558048696943,2,3,NA,hh,national,180,NA,0.97722,33.49732
62,bubbumbi,kaliro,uganda,2010-02-19,-2.04795982904293,6,6,1,hh,national,240,NA,0.97722,33.49732
62,bubbumbi,kaliro,uganda,2010-02-19,-2.04795982904293,6,6,1,hh,national,120,1,0.97722,33.49732
62,bubbumbi,kaliro,uganda,2010-02-19,-2.04795982904293,6,6,1,hh,national,24,NA,0.97722,33.49732
62,bubbumbi,kaliro,uganda,2010-02-19,-2.04795982904293,6,6,1,hh,national,12,NA,0.97722,33.49732
62,bubbumbi,kaliro,uganda,2010-02-19,-2.04795982904293,6,6,1,hh,national,36,NA,0.97722,33.49732
62,bubbumbi,kaliro,uganda,2010-02-19,-2.04795982904293,6,6,1,hh,national,24,NA,0.97722,33.49732
63,bubbumbi,kaliro,uganda,2010-02-19,-0.728916391615514,10,3,NA,hh,national,120,NA,0.97722,33.49732
63,bubbumbi,kaliro,uganda,2010-02-19,-0.728916391615514,10,3,NA,hh,national,240,NA,0.97722,33.49732
63,bubbumbi,kaliro,uganda,2010-02-19,-0.728916391615514,10,3,NA,hh,national,120,NA,0.97722,33.49732
64,bubbumbi,kaliro,uganda,2010-02-19,-2.6830787193036,8,0,NA,NA,NA,NA,NA,0.97722,33.49732
65,bubbumbi,kaliro,uganda,2010-02-19,-0.853808921590043,7,0,NA,NA,NA,NA,NA,0.97722,33.49732
66,bubbumbi,kaliro,uganda,2010-02-19,-0.37438549658949,5,0,NA,NA,NA,NA,NA,0.97722,33.49732
67,bubbumbi,kaliro,uganda,2010-02-19,-1.16331953153461,5,0,NA,NA,NA,NA,NA,0.97722,33.49732
68,bubbumbi,kaliro,uganda,2010-02-19,-0.76324948926007,12,5,NA,hh,national,36,NA,0.97722,33.49732
68,bubbumbi,kaliro,uganda,2010-02-19,-0.76324948926007,12,5,NA,hh,national,12,NA,0.97722,33.49732
68,bubbumbi,kaliro,uganda,2010-02-19,-0.76324948926007,12,5,NA,hh,national,84,NA,0.97722,33.49732
68,bubbumbi,kaliro,uganda,2010-02-19,-0.76324948926007,12,5,NA,hh,national,60,NA,0.97722,33.49732
68,bubbumbi,kaliro,uganda,2010-02-19,-0.76324948926007,12,5,NA,hh,national,12,NA,0.97722,33.49732
69,bubbumbi,kaliro,uganda,2010-02-19,-2.48280231637702,5,0,NA,NA,NA,NA,NA,0.97722,33.49732
70,bubbumbi,kaliro,uganda,2010-02-19,-1.6934289340169,5,0,NA,NA,NA,NA,NA,0.97722,33.49732
71,lwayebele,masaka,uganda,2010-02-23,-0.625917098681844,4,3,NA,hh,national,24,NA,0.7724068404,32.26219094
71,lwayebele,masaka,uganda,2010-02-23,-0.625917098681844,4,3,NA,hh,national,36,NA,0.7724068404,32.26219094
71,lwayebele,masaka,uganda,2010-02-23,-0.625917098681844,4,3,NA,hh,national,24,NA,0.7724068404,32.26219094
72,lwayebele,masaka,uganda,2010-02-23,-0.728916391615514,8,2,NA,hh,national,2,NA,0.7724068404,32.26219094
72,lwayebele,masaka,uganda,2010-02-23,-0.728916391615514,8,2,NA,hh,national,2,NA,0.7724068404,32.26219094
73,lwayebele,masaka,uganda,2010-02-23,-1.67975342779196,5,6,NA,hh,national,24,NA,0.7724068404,32.26219094
73,lwayebele,masaka,uganda,2010-02-23,-1.67975342779196,5,6,NA,hh,national,12,NA,0.7724068404,32.26219094
73,lwayebele,masaka,uganda,2010-02-23,-1.67975342779196,5,6,NA,hh,national,300,NA,0.7724068404,32.26219094
73,lwayebele,masaka,uganda,2010-02-23,-1.67975342779196,5,6,NA,hh,national,36,NA,0.7724068404,32.26219094
73,lwayebele,masaka,uganda,2010-02-23,-1.67975342779196,5,6,NA,hh,national,36,NA,0.7724068404,32.26219094
73,lwayebele,masaka,uganda,2010-02-23,-1.67975342779196,5,6,NA,hh,national,60,NA,0.7724068404,32.26219094
74,lwayebele,masaka,uganda,2010-02-23,-2.05169531894132,6,0,NA,NA,NA,NA,NA,0.7724068404,32.26219094
75,lwayebele,masaka,uganda,2010-02-23,-0.324946346984798,5,0,NA,NA,NA,NA,NA,0.7724068404,32.26219094
76,lwayebele,masaka,uganda,2010-02-23,-0.66454183353197,5,0,NA,NA,NA,NA,NA,0.7724068404,32.26219094
77,lwayebele,masaka,uganda,2010-02-23,-2.45419140167322,4,1,NA,hh,national,24,NA,0.7724068404,32.26219094
78,lwayebele,masaka,uganda,2010-02-23,-2.22851297017578,4,0,NA,NA,NA,NA,NA,0.7724068404,32.26219094
79,lwayebele,masaka,uganda,2010-02-23,-0.839606811599636,9,0,NA,NA,NA,NA,NA,0.7724068404,32.26219094
80,lwayebele,masaka,uganda,2010-02-23,-1.24610746631748,1,0,NA,NA,NA,NA,NA,0.7724068404,32.26219094
81,maida,masaka,uganda,2010-02-22,-0.678407943468866,2,2,NA,hh,national,96,NA,-0.3857,31.3233
81,maida,masaka,uganda,2010-02-22,-0.678407943468866,2,2,NA,hh,national,48,NA,-0.3857,31.3233
82,maida,masaka,uganda,2010-02-22,3.01495712116638,6,0,NA,NA,NA,NA,NA,-0.3857,31.3233
83,maida,masaka,uganda,2010-02-22,2.81791093648865,5,0,NA,NA,NA,NA,NA,-0.3857,31.3233
84,maida,masaka,uganda,2010-02-22,0.526385117627002,3,0,NA,NA,NA,NA,NA,-0.3857,31.3233
85,maida,masaka,uganda,2010-02-22,1.29066819294205,6,2,1,hh,national,24,NA,-0.3857,31.3233
85,maida,masaka,uganda,2010-02-22,1.29066819294205,6,2,1,hh,national,48,1,-0.3857,31.3233
86,maida,masaka,uganda,2010-02-20,0.454857830867509,7,0,NA,NA,NA,NA,NA,-0.3857,31.3233
87,maida,masaka,uganda,2010-02-22,-0.381728828977389,3,2,1,hh,national,60,1,-0.3857,31.3233
87,maida,masaka,uganda,2010-02-22,-0.381728828977389,3,2,1,hh,international,12,NA,-0.3857,31.3233
87,maida,masaka,uganda,2010-02-22,-0.381728828977389,3,2,1,non-hh,international,NA,1,-0.3857,31.3233
88,maida,masaka,uganda,2010-02-22,1.77719128752461,6,3,1,hh,national,72,1,-0.3857,31.3233
88,maida,masaka,uganda,2010-02-22,1.77719128752461,6,3,1,hh,national,72,1,-0.3857,31.3233
88,maida,masaka,uganda,2010-02-22,1.77719128752461,6,3,1,hh,national,72,1,-0.3857,31.3233
89,maida,masaka,uganda,2010-02-22,1.97746769045119,6,4,NA,hh,national,2,NA,-0.3857,31.3233
89,maida,masaka,uganda,2010-02-22,1.97746769045119,6,4,NA,hh,national,48,NA,-0.3857,31.3233
89,maida,masaka,uganda,2010-02-22,1.97746769045119,6,4,NA,hh,national,2,NA,-0.3857,31.3233
89,maida,masaka,uganda,2010-02-22,1.97746769045119,6,4,NA,hh,national,36,NA,-0.3857,31.3233
90,maida,masaka,uganda,2010-02-22,1.17908562559725,10,3,1,hh,national,24,1,-0.3857,31.3233
90,maida,masaka,uganda,2010-02-22,1.17908562559725,10,3,1,hh,national,24,1,-0.3857,31.3233
90,maida,masaka,uganda,2010-02-22,1.17908562559725,10,3,1,hh,national,84,1,-0.3857,31.3233
91,zone iv c,kampala,uganda,2010-02-21,4.16308134957009,1,1,1,hh,national,42,1,0.3231601739,32.55801405
92,zone iv c,kampala,uganda,2010-02-21,1.90185936224908,1,1,NA,hh,international,10,NA,0.3231601739,32.55801405
93,zone iv c,kampala,uganda,2010-02-21,2.79250890791778,4,1,NA,hh,international,3,NA,0.3231601739,32.55801405
94,zone iv c,kampala,uganda,2010-02-21,3.56272533974346,2,0,NA,NA,NA,NA,NA,0.3231601739,32.55801405
95,zone iv c,kampala,uganda,2010-02-21,3.07540916882282,2,1,NA,hh,national,28,NA,0.3231601739,32.55801405
96,zone iv c,kampala,uganda,2010-02-21,2.82953917230713,4,1,NA,hh,national,27,NA,0.3231601739,32.55801405
97,zone iv c,kampala,uganda,2010-02-21,3.16124191293422,1,0,NA,NA,NA,NA,NA,0.3231601739,32.55801405
98,zone iv c,kampala,uganda,2010-02-21,2.69778851089632,1,1,NA,hh,international,29,NA,0.3231601739,32.55801405
99,zone iv c,kampala,uganda,2010-02-21,3.07540916882282,2,0,NA,NA,NA,NA,NA,0.3231601739,32.55801405
100,zone iv c,kampala,uganda,2010-02-21,2.83542527997348,3,1,NA,hh,international,19,NA,0.3231601739,32.55801405
101,market lc1,kanungu,uganda,2010-02-17,1.25529829647151,2,0,NA,NA,NA,NA,NA,1.18778,30.78382
102,market lc1,kanungu,uganda,2010-02-17,0.245514351419237,2,0,NA,NA,NA,NA,NA,1.18778,30.78382
103,market lc1,kanungu,uganda,2010-02-17,0.952825291331586,4,0,NA,NA,NA,NA,NA,1.18778,30.78382
105,market lc1,kanungu,uganda,2010-02-17,0.282128240185836,6,0,NA,NA,NA,NA,NA,1.18778,30.78382
106,market lc1,kanungu,uganda,2010-02-17,3.55105222220989,1,0,NA,NA,NA,NA,NA,1.18778,30.78382
107,market lc1,kanungu,uganda,2010-02-17,3.50813585015419,3,0,NA,NA,NA,NA,NA,1.18778,30.78382
108,market lc1,kanungu,uganda,2010-02-17,1.21032352366576,1,0,NA,NA,NA,NA,NA,1.18778,30.78382
109,market lc1,kanungu,uganda,2010-02-17,-0.148325073172977,6,1,NA,hh,national,48,NA,1.18778,30.78382
110,market lc1,kanungu,uganda,2010-02-17,0.237922275328285,3,0,NA,NA,NA,NA,NA,1.18778,30.78382
111,cell 5,ntungamo,uganda,2010-02-15,3.16124191293422,1,0,NA,NA,NA,NA,NA,0.33094,31.08708
112,cell 5,ntungamo,uganda,2010-02-15,3.16124191293422,1,0,NA,NA,NA,NA,NA,0.33094,31.08708
113,cell 5,ntungamo,uganda,2010-02-15,3.23954104660105,4,0,NA,NA,NA,NA,NA,0.33094,31.08708
114,cell 5,ntungamo,uganda,2010-02-15,3.16124191293422,1,0,NA,NA,NA,NA,NA,0.33094,31.08708
115,cell 5,ntungamo,uganda,2010-02-15,3.20415828498991,1,0,NA,NA,NA,NA,NA,0.33094,31.08708
116,cell 5,ntungamo,uganda,2010-02-15,3.90558311723591,4,0,NA,NA,NA,NA,NA,0.33094,31.08708
117,cell 5,ntungamo,uganda,2010-02-15,1.89065507599021,3,1,NA,hh,national,90,NA,0.33094,31.08708
118,cell 5,ntungamo,uganda,2010-02-15,0.152089531216893,5,1,1,hh,national,63,1,0.33094,31.08708
119,cell 5,ntungamo,uganda,2010-02-15,1.60191358913391,5,0,NA,NA,NA,NA,NA,0.33094,31.08708
120,cell 5,ntungamo,uganda,2010-02-15,0.297879791915692,9,1,1,hh,international,4,1,0.33094,31.08708
121,jubilee street,ibanda,uganda,2010-02-11,-0.00206161352105888,3,0,NA,NA,NA,NA,NA,-0.1321,30.4953
122,jubilee street,ibanda,uganda,2010-02-11,3.07540916882282,4,0,NA,NA,NA,NA,NA,-0.1321,30.4953
124,jubilee street,ibanda,uganda,2010-02-11,0.815231287179235,4,0,NA,NA,NA,NA,NA,-0.1321,30.4953
125,jubilee street,ibanda,uganda,2010-02-11,3.53411442503967,4,0,NA,NA,NA,NA,NA,-0.1321,30.4953
126,jubilee street,ibanda,uganda,2010-02-11,0.908656107381578,1,0,NA,NA,NA,NA,NA,-0.1321,30.4953
127,jubilee street,ibanda,uganda,2010-02-11,-0.233387988486113,6,1,NA,hh,national,6,NA,-0.1321,30.4953
128,jubilee street,ibanda,uganda,2010-02-11,1.93132110014665,3,0,NA,NA,NA,NA,NA,-0.1321,30.4953
129,jubilee street,ibanda,uganda,2010-02-11,3.09648647308206,6,0,NA,NA,NA,NA,NA,-0.1321,30.4953
130,jubilee street,ibanda,uganda,2010-02-11,0.520082634337905,5,0,NA,NA,NA,NA,NA,-0.1321,30.4953
131,kasokoso central,iganga,uganda,2010-02-19,-0.820015087275446,6,0,NA,NA,NA,NA,NA,0.41667,33.01667
132,kasokoso central,iganga,uganda,2010-02-19,0.721202286521396,3,0,NA,NA,NA,NA,NA,0.41667,33.01667
134,kasokoso central,iganga,uganda,2010-02-19,-0.00614265496368405,1,0,NA,NA,NA,NA,NA,0.41667,33.01667
135,kasokoso central,iganga,uganda,2010-02-19,3.51980896768777,12,0,NA,NA,NA,NA,NA,0.41667,33.01667
136,kasokoso central,iganga,uganda,2010-02-19,0.438302025616357,6,1,NA,hh,international,120,NA,0.41667,33.01667
138,kasokoso central,iganga,uganda,2010-02-19,0.254963419859996,5,0,NA,NA,NA,NA,NA,0.41667,33.01667
139,kasokoso central,iganga,uganda,2010-02-19,0.204011211819432,6,0,NA,NA,NA,NA,NA,0.41667,33.01667
140,kasokoso central,iganga,uganda,2010-02-19,1.53942884052174,1,0,NA,NA,NA,NA,NA,0.41667,33.01667
143,masese,jinja,uganda,2010-02-12,2.90374368060004,4,2,NA,hh,national,1,NA,0.447,33.22827
143,masese,jinja,uganda,2010-02-12,2.90374368060004,4,2,NA,hh,national,1,NA,0.447,33.22827
144,masese,jinja,uganda,2010-02-12,-1.08716978046789,7,0,NA,NA,NA,NA,NA,0.447,33.22827
145,masese,jinja,uganda,2010-02-12,-0.182318124808776,4,0,NA,NA,NA,NA,NA,0.447,33.22827
146,masese,jinja,uganda,2010-02-12,1.46383153838123,4,1,1,hh,national,132,1,0.447,33.22827
