house,department,census_tract,country,hh_size,migrant_num,wealth_index,remit,lat,long
416,guediawaye,cite des enseignants,senegal,4,3,2.19409041014378,1,14.77683245,-17.40519022
844,diourbel,medinatoul,senegal,16,5,1.79064102087213,1,14.73727345,-16.24237956
3007,dakar,liberte 3,senegal,17,3,2.42077987784577,1,14.71592245,-17.45517723
5,dakar,grand medine,senegal,18,2,1.86316900531268,1,14.74795,-17.44715
3004,dakar,sacre coeur 1,senegal,5,2,3.26302619891992,0,14.7166,-17.4627
187,dakar,gibraltar,senegal,14,0,2.25437387280456,NA,14.68713208,-17.44338479
474,guediawaye,hlm las palmas,senegal,14,1,2.23721084107052,1,14.77009217,-17.40633211
1103,kaolack,ndorong,senegal,11,6,0.777482075947176,1,14.08694396,-16.35938655
3023,dakar,dieuppeul 1,senegal,16,1,1.5835579923764,1,14.71807,-17.45718
331,dakar,zone b batiment,senegal,10,0,2.55892911748352,NA,14.69727437,-17.45416872
179,dakar,gilbraltar,senegal,5,0,2.01066673864884,NA,14.68713208,-17.44338479
3006,dakar,sacre coeur 1,senegal,4,2,3.2704220213662,0,14.7166,-17.4627
409,guediawaye,cite des enseignants,senegal,4,1,2.67726227662394,1,14.77683245,-17.40519022
979,louga,keur serigne louga,senegal,40,9,2.40108309795348,1,15.60644218,-16.23380986
194,dakar,ouagou niayes 2,senegal,11,1,1.77212265485768,1,14.70737,-17.449
380,mbour,chateau d'eau,senegal,6,1,3.14099512855637,1,14.65934807,-17.43678063
329,dakar,zone b batiment,senegal,7,0,1.26601646396677,NA,14.69727437,-17.45416872
175,dakar,gibraltar,senegal,10,1,1.81652639943409,0,14.68713208,-17.44338479
695,tiwaouane,ndiandiakhoune,senegal,10,3,2.16023652654395,0,NA,NA
3075,dakar,sacre coeur 1,senegal,4,0,3.42701784058527,NA,14.7166,-17.4627
170,dakar,hlm 6 nimzat,senegal,7,3,3.21865126424227,1,14.72704,-17.4436
50,dakar,mermoz ambassade,senegal,7,0,1.68263976955109,NA,14.68949,-17.47308
176,dakar,gibraltar 1,senegal,13,1,2.00703775034224,1,14.68384,-17.42093
312,dakar,liberte 3,senegal,4,3,1.50861740936955,1,14.71592245,-17.45517723
181,dakar,gibraltar 1,senegal,20,0,1.34766539625631,1,14.68384,-17.42093
3011,dakar,liberte 3,senegal,13,1,3.03745361430851,1,14.71592245,-17.45517723
642,dakar,hlm 4,senegal,7,4,3.31356431896948,0,14.71207849,-17.44431032
269,dakar,sacre coeur 3,senegal,6,2,2.01268934521804,0,14.72046,-17.46744
116,dakar,hlm 6 nimzath,senegal,3,0,2.76212552921235,NA,14.81137,-17.25236
379,mbour,chateau d'eau,senegal,9,5,2.06502603362897,1,14.65934807,-17.43678063
180,dakar,gibraltar,senegal,18,1,2.44851421201931,0,14.68713208,-17.44338479
110,pikine,cite lobatt fall,senegal,5,2,3.21865126424227,0,14.74682,-17.40995
225,dakar,dieuppeul 4,senegal,20,5,1.34475644212747,0,14.71807,-17.45718
173,dakar,gibraltar,senegal,11,6,2.56724941773558,1,14.68713208,-17.44338479
115,dakar,mermoz ambassades,senegal,4,0,2.76818791617876,NA,14.68949,-17.47308
430,guediawaye,parcelles ass u 4,senegal,10,1,2.07148665718864,1,14.76143208,-17.4405089
787,mbacke,guede bousso,senegal,2,0,-2.55971358378325,NA,14.89820198,-15.86724177
1618,matam,diandioly,senegal,5,1,-4.17427576966371,0,15.54077403,-13.24904558
1345,matam,sinthiou cire mato,senegal,3,0,-2.9611840879292,NA,16.04509141,-13.72755926
1075,kebemer,nguene seye h darou,senegal,8,1,-3.12630270850982,1,15.36875219,-16.17234333
1082,kebemer,nguene seye h darou,senegal,9,0,-3.14928489311366,NA,15.36875219,-16.17234333
1617,matam,diandioly,senegal,5,1,-2.22910028698563,1,15.54077403,-13.24904558
1333,kanel,aoure,senegal,9,1,-3.67727650127396,1,15.14596428,-12.94689277
904,bambeye,baridian,senegal,5,2,-2.69796129016341,0,14.71688363,-17.46683875
867,fatick,baredji de diane,senegal,12,0,-3.94663892884334,NA,14.5609965,-16.33790165
1206,mbacke,madiyana,senegal,5,2,-2.21350308409423,1,14.9198,-15.8823
1472,matam,ndiaku,senegal,11,0,-3.78988861909933,NA,16.02259398,-13.70369001
908,bambeye,paye baridian,senegal,10,0,-3.32357938779673,NA,14.71688363,-17.46683875
910,bambeye,baridian,senegal,9,3,-2.31969911195251,1,14.71688363,-17.46683875
1376,matam,nguidjilogne somone,senegal,11,1,-3.82861394520705,0,NA,NA
1634,nioro,nguevy,senegal,9,0,-3.20598145076492,NA,13.78607662,-15.79470889
1628,matam,diandioly,senegal,13,6,-3.09430889196217,1,15.54077403,-13.24904558
1373,matam,guindjilogne,senegal,4,1,-3.70833895554832,1,NA,NA
1363,matam,agnam civol,senegal,2,2,-3.55302668417653,1,16.00801046,-13.68783836
922,bambeye,paye baridian,senegal,6,2,-3.65164239789706,1,14.71688363,-17.46683875
913,bambeye,baridian,senegal,10,0,-1.82449158493566,NA,14.71688363,-17.46683875
918,bambeye,baridian,senegal,9,4,-2.71263005898269,1,14.71688363,-17.46683875
1633,nioro,nguevy,senegal,10,1,-1.96787098753593,1,13.78607662,-15.79470889
1648,nioro,nguevy,senegal,10,1,-3.05868606814678,0,13.78607662,-15.79470889
1637,nioro,keur ndiogou dieng,senegal,8,0,-3.4210813680143,NA,13.78607662,-15.79470889
903,bambeye,baridian,senegal,12,2,-3.96226694064065,1,14.71688363,-17.46683875
1666,kaffrine,nandjigui,senegal,12,3,-3.26576909664251,1,14.1046257,-15.54985414
1467,matam,hodio,senegal,7,1,-3.63712811960271,1,16.05755556,-13.72019879
788,mbacke,guede bousso,senegal,15,7,-3.24971403824071,1,14.89820198,-15.86724177
905,bambeye,baridian,senegal,8,1,-2.98204688130371,1,14.71688363,-17.46683875
1668,kaffrine,nandjigui,senegal,13,1,-3.05221472350629,1,14.1046257,-15.54985414
1351,matam,sinthiou cire mato,senegal,6,1,-3.68634710485147,0,16.04509141,-13.72755926
1451,kanel,medina torobe,senegal,6,0,-3.73774544478818,1,15.41865156,-13.18384815
1270,mbacke,khayra,senegal,5,1,-0.903170793151911,1,"14.823157881171742, -15.89635226186144",-15.90761198
1323,kanel,aoure,senegal,9,0,-3.0388402236151,NA,15.14596428,-12.94689277
1650,nioro,keur amath drame,senegal,11,1,-3.6257570193351,0,13.78607662,-15.79470889
1473,matam,ndiakir,senegal,10,0,-3.91542198404405,NA,16.02259398,-13.70369001
880,fatick,beredji de diane,senegal,9,1,-3.79132665747155,0,NA,NA
879,fatick,beredji de diane,senegal,6,1,-3.56976015958739,1,NA,NA
1658,kaffrine,darou nandjigui,senegal,7,0,-2.44588389386482,NA,14.1046257,-15.54985414
1355,matam,agnam sivol,senegal,9,3,-4.3325122300979,1,NA,NA
1074,kebemer,nguene seye,senegal,6,1,-3.11045682527071,1,15.36305,-16.22797
476,mbour,darou salam,senegal,10,0,-2.74680785822494,NA,15.44284137,-14.05528102
488,mbour,darou salam,senegal,3,1,-2.0376370003978,1,15.44284137,-14.05528102
881,fatick,beredji de diame,senegal,10,2,-3.63601438609975,1,14.5609965,-16.33790165
1665,kaffrine,darou nandjigui,senegal,12,1,-3.17258173381943,1,14.1046257,-15.54985414
1652,kaffrine,manfjigui,senegal,6,0,-2.49765465098875,NA,14.1046257,-15.54985414
1624,matam,diandioly,senegal,17,3,-1.69284527889232,1,15.54077403,-13.24904558
1586,ranerou,wouro doro,senegal,12,1,-2.97132935407742,1,15.00226737,-14.67912165
1353,matam,agnam civol,senegal,5,2,-3.04912839928567,1,16.00801046,-13.68783836
1654,kaffrine,darou nandjigui,senegal,7,0,-2.56449647478822,NA,14.1046257,-15.54985414
1572,ranerou,zoumboul samba abdou,senegal,19,0,-3.75390036429765,NA,15.00226737,-14.67912165
713,tiwaouane,khandane,senegal,6,1,-2.20854647466099,1,NA,NA
1636,nioro,keur amath drame,senegal,12,0,-4.24348499414439,NA,13.78607662,-15.79470889
621,rufisque,niagha ouolof,senegal,5,0,-2.13936805908623,NA,14.80539524,-17.23892342
855,diourbel,medinatoul,senegal,8,0,-1.13224567234449,NA,14.73727345,-16.24237956
1477,matam,asnde balla,senegal,12,1,-2.29760451952042,1,14.47940917,-14.51631588
1202,mbacke,touba madiyana,senegal,9,0,-3.19951487013014,NA,14.9198,-15.8823
1478,matam,asnde balla,senegal,4,1,-3.70833895554832,1,14.47940917,-14.51631588
1657,kaffrine,darou nandjigui,senegal,11,0,-2.3973552476384,NA,14.1046257,-15.54985414
1374,matam,nguilogne somone,senegal,11,1,-2.54011901443664,1,15.9373344,-13.35219736
1578,ranerou,loumbol samba abdou,senegal,15,1,-3.27180863067279,1,15.00226737,-14.67912165
1072,kebemer,affe 2h1 peul affe2,senegal,4,0,-3.4210813680143,NA,15.80634938,-16.29988776
1468,matam,hodio,senegal,6,0,-4.3325122300979,1,16.05755556,-13.72019879
1479,matam,ndiakir,senegal,6,1,-2.66436883153408,1,16.02259398,-13.70369001
1660,kaffrine,darou nandjigui,senegal,12,4,-3.17258173381943,1,14.1046257,-15.54985414
1475,matam,hodio,senegal,4,1,-2.64619053303948,1,16.05755556,-13.72019879
1449,kanel,medina torobe,senegal,7,1,-3.70341315502099,0,15.41865156,-13.18384815
492,mbour,darou salam,senegal,13,0,-1.76043587435515,NA,15.44284137,-14.05528102
