house,district,census_tract,country,date,hh_size,migrant_num,wealth_index,remit,lat,long,lat_regrid,long_regrid,intensity,magnitude,duration,frequency,severity,dispersion
24,kiambu,mbwa kali,kenya,11/6/2009,7,1,-3.077477775,1,-1.170804963,36.83215946,-1.15,36.85,-1.721976355,-1.82677488,1.875,0.833333333,-3.315383062,-0.433333333
25,kiambu,sigona/nyathuwa,kenya,11/8/2009,7,2,0.169822963,0,-1.213613261,36.66018801,-1.2,36.65,-1.678300512,-1.792648387,1.9,1,-3.291735494,-0.666666667
26,kiambu,sigona/nyathuwa,kenya,11/8/2009,2,2,-2.445297464,0,-1.213613261,36.66018801,-1.2,36.65,-1.678300512,-1.792648387,1.9,1,-3.291735494,-0.666666667
27,kisii,kerera,kenya,11/5/2009,6,1,0.101642939,1,-0.754425695,34.82872552,-0.75,34.85,-1.575954686,-1.726266334,2.75,1.166666667,-4.547221253,-0.880952381
28,kisii,irianyi,kenya,11/5/2009,5,1,3.093204555,1,-0.662238252,34.85472107,-0.65,34.85,-1.670467877,-1.804299593,2.4,0.833333333,-4.115526438,-0.833333333
29,kisii,kerera,kenya,11/5/2009,4,0,-0.408046038,,-0.754425695,34.82872552,-0.75,34.85,-1.575954686,-1.726266334,2.75,1.166666667,-4.547221253,-0.880952381
30,kisii,bomakombi,kenya,11/5/2009,6,5,-1.479944538,1,-0.70441522,34.69546123,-0.7,34.7,-1.732563655,-1.90542086,2.666666667,0.5,-4.709439913,-0.5
31,kisii,kerera,kenya,11/5/2009,5,2,2.70933236,1,-0.754425695,34.82872552,-0.75,34.85,-1.575954686,-1.726266334,2.75,1.166666667,-4.547221253,-0.880952381
32,kisii,bomakombi,kenya,11/5/2009,4,0,-1.216390033,,-0.70441522,34.69546123,-0.7,34.7,-1.732563655,-1.90542086,2.666666667,0.5,-4.709439913,-0.5
33,kisii,bonyanchaire,kenya,11/6/2009,3,0,0.952753018,,-0.678288351,34.70904985,-0.7,34.7,-1.732563655,-1.90542086,2.666666667,0.5,-4.709439913,-0.5
34,kisii,bonyanchaire,kenya,11/6/2009,4,1,0.660345587,1,-0.678288351,34.70904985,-0.7,34.7,-1.732563655,-1.90542086,2.666666667,0.5,-4.709439913,-0.5
35,kisii,bonyanchaire,kenya,11/6/2009,7,0,0.339367403,,-0.678288351,34.70904985,-0.7,34.7,-1.732563655,-1.90542086,2.666666667,0.5,-4.709439913,-0.5
36,machakos,kaluoki,kenya,11/10/2009,3,1,-1.718025368,1,-1.522391812,37.26633915,-1.5,37.25,-1.650501788,-1.797680954,2.833333333,0.666666667,-4.741098146,-0.166666667
37,machakos,kaluoki,kenya,11/10/2009,3,1,-0.581070903,1,-1.522391812,37.26633915,-1.5,37.25,-1.650501788,-1.797680954,2.833333333,0.666666667,-4.741098146,-0.166666667
39,machakos,kaluoki,kenya,11/10/2009,4,2,-1.446026459,1,-1.522391812,37.26633915,-1.5,37.25,-1.650501788,-1.797680954,2.833333333,0.666666667,-4.741098146,-0.166666667
40,nakuru,section 58,kenya,11/9/2009,4,2,-3.090010867,1,-0.283812727,36.09431466,-0.3,36.1,-1.63512212,-1.722532287,2,0.833333333,-3.318107352,-0.433333333
41,nakuru,section 58,kenya,11/9/2009,1,7,-3.118084995,1,-0.283812727,36.09431466,-0.3,36.1,-1.63512212,-1.722532287,2,0.833333333,-3.318107352,-0.433333333
