house,country,hh_size,migrant_num,wealth_index,remit,municipality,lat,long,district
108,south_africa,1,1,-3.3498232146815616,1,nokeng tsa taemane,-25.51197219,28.44150435,metsweding district municipality
109,south_africa,9,0,-0.9781751515716974,1,nokeng tsa taemane,-25.51197219,28.44150435,metsweding district municipality
110,south_africa,4,0,0.7599160364956185,NA,nokeng tsa taemane,-25.51197219,28.44150435,metsweding district municipality
111,south_africa,7,0,-1.5185754976230397,NA,nokeng tsa taemane,-25.51197219,28.44150435,metsweding district municipality
112,south_africa,7,0,-0.2005182801717986,1,nokeng tsa taemane,-25.51197219,28.44150435,metsweding district municipality
113,south_africa,4,0,-0.8583843612590395,1,nokeng tsa taemane,-25.51197219,28.44150435,metsweding district municipality
114,south_africa,9,0,3.47878988564265,NA,nokeng tsa taemane,-25.51197219,28.44150435,metsweding district municipality
115,south_africa,1,0,-2.843648020052133,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
116,south_africa,2,0,-2.5546008195574323,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
117,south_africa,2,0,-1.138711978770435,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
118,south_africa,6,0,-4.332397692698144,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
119,south_africa,2,0,-2.5546008195574323,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
120,south_africa,6,0,-3.4793038562532734,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
121,south_africa,2,0,-2.862835165122713,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
122,south_africa,3,0,-0.7382091009178464,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
123,south_africa,2,0,-3.580998973855522,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
124,south_africa,1,0,-1.9332273715629291,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
125,south_africa,2,0,-2.862835165122713,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
126,south_africa,1,0,-1.321796829415647,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
127,south_africa,3,0,0.9252345945469618,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
128,south_africa,2,0,-2.3394329017158344,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
129,south_africa,6,0,0.1999261514724349,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
130,south_africa,4,0,-2.281561460395094,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
131,south_africa,6,0,-1.52525798468853,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
132,south_africa,4,2,-1.6128041062034777,1,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
133,south_africa,4,0,-0.0342849698052764,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
134,south_africa,4,0,-0.6130596059977784,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
135,south_africa,2,0,-0.7202750298087616,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
136,south_africa,5,0,-1.24367729321564,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
137,south_africa,2,0,-1.6509437731772325,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
