house,district,census_tract,country,hh_size,migrant_num,wealth_index,remit,lat,long
103,kanungu,market lc1,senegal,4,0,0.952825291331586,NA,1.18778,30.78382
105,kanungu,market lc1,senegal,6,0,0.282128240185836,NA,1.18778,30.78382
106,kanungu,market lc1,senegal,1,0,3.55105222220989,NA,1.18778,30.78382
107,kanungu,market lc1,senegal,3,0,3.50813585015419,NA,1.18778,30.78382
108,kanungu,market lc1,senegal,1,0,1.21032352366576,NA,1.18778,30.78382
109,kanungu,market lc1,senegal,6,1,-0.148325073172977,0,1.18778,30.78382
110,kanungu,market lc1,senegal,3,0,0.237922275328285,NA,1.18778,30.78382
111,ntungamo,cell 5,senegal,1,0,3.16124191293422,NA,0.33094,31.08708
112,ntungamo,cell 5,senegal,1,0,3.16124191293422,NA,0.33094,31.08708
113,ntungamo,cell 5,senegal,4,0,3.23954104660105,NA,0.33094,31.08708
114,ntungamo,cell 5,senegal,1,0,3.16124191293422,NA,0.33094,31.08708
115,ntungamo,cell 5,senegal,1,0,3.20415828498991,NA,0.33094,31.08708
116,ntungamo,cell 5,senegal,4,0,3.90558311723591,NA,0.33094,31.08708
117,ntungamo,cell 5,senegal,3,1,1.89065507599021,0,0.33094,31.08708
118,ntungamo,cell 5,senegal,5,1,0.152089531216893,1,0.33094,31.08708
119,ntungamo,cell 5,senegal,5,0,1.60191358913391,NA,0.33094,31.08708
120,ntungamo,cell 5,senegal,9,1,0.297879791915692,1,0.33094,31.08708
121,ibanda,jubilee street,senegal,3,0,-0.00206161352105888,NA,-0.1321,30.4953
122,ibanda,jubilee street,senegal,4,0,3.07540916882282,NA,-0.1321,30.4953
124,ibanda,jubilee street,senegal,4,0,0.815231287179235,NA,-0.1321,30.4953
125,ibanda,jubilee street,senegal,4,0,3.53411442503967,NA,-0.1321,30.4953
126,ibanda,jubilee street,senegal,1,0,0.908656107381578,NA,-0.1321,30.4953
127,ibanda,jubilee street,senegal,6,1,-0.233387988486113,0,-0.1321,30.4953
128,ibanda,jubilee street,senegal,3,0,1.93132110014665,NA,-0.1321,30.4953
129,ibanda,jubilee street,senegal,6,0,3.09648647308206,NA,-0.1321,30.4953
130,ibanda,jubilee street,senegal,5,0,0.520082634337905,NA,-0.1321,30.4953
131,iganga,kasokoso central,senegal,6,0,-0.820015087275446,NA,0.41667,33.01667
132,iganga,kasokoso central,senegal,3,0,0.721202286521396,NA,0.41667,33.01667
134,iganga,kasokoso central,senegal,1,0,-0.00614265496368405,NA,0.41667,33.01667
135,iganga,kasokoso central,senegal,12,0,3.51980896768777,NA,0.41667,33.01667
136,iganga,kasokoso central,senegal,6,1,0.438302025616357,0,0.41667,33.01667
138,iganga,kasokoso central,senegal,5,0,0.254963419859996,NA,0.41667,33.01667
139,iganga,kasokoso central,senegal,6,0,0.204011211819432,NA,0.41667,33.01667
140,iganga,kasokoso central,senegal,1,0,1.53942884052174,NA,0.41667,33.01667
143,jinja,masese,senegal,4,2,2.90374368060004,0,0.447,33.22827
144,jinja,masese,senegal,7,0,-1.08716978046789,NA,0.447,33.22827
145,jinja,masese,senegal,4,0,-0.182318124808776,NA,0.447,33.22827
146,jinja,masese,senegal,4,1,1.46383153838123,1,0.447,33.22827
147,jinja,masese,senegal,4,0,-0.829671548133718,NA,0.447,33.22827
148,jinja,masese,senegal,3,0,0.109173159161197,NA,0.447,33.22827
149,jinja,masese,senegal,6,0,0.13380637978386,NA,0.447,33.22827
150,jinja,masese,senegal,10,1,0.0924286444746228,1,0.447,33.22827
151,kampala,barracks zone c,senegal,2,0,3.14776372917691,NA,0.273034,32.61746
152,kampala,barracks zone c,senegal,3,4,3.60564171179916,0,0.273034,32.61746
153,kampala,barracks zone c,senegal,3,4,2.52612302267354,0,0.273034,32.61746
154,kampala,barracks zone c,senegal,2,0,2.42805574549788,NA,0.273034,32.61746
155,kampala,barracks zone c,senegal,2,0,4.16308134957009,NA,0.273034,32.61746
156,kampala,barracks zone c,senegal,6,3,3.51980896768777,1,0.273034,32.61746
157,kampala,barracks zone c,senegal,4,2,3.00531704954506,0,0.273034,32.61746
158,kampala,barracks zone c,senegal,5,0,2.13756340850189,NA,0.273034,32.61746
159,kampala,barracks zone c,senegal,5,0,2.74241683539388,NA,0.273034,32.61746
160,kampala,barracks zone c,senegal,12,9,3.57989188856574,1,0.273034,32.61746
161,manafwa,bufumbula,senegal,2,0,-2.51141323108082,NA,0.83942,34.2169
162,manafwa,bufumbula,senegal,3,1,-2.46849685902512,0,0.83942,34.2169
163,manafwa,bufumbula,senegal,3,0,-1.35769003366229,NA,0.83942,34.2169
164,manafwa,bufumbula,senegal,4,1,-1.09336955403542,1,0.83942,34.2169
165,manafwa,bufumbula,senegal,5,0,-1.16375887894961,NA,0.83942,34.2169
166,manafwa,bufumbula,senegal,5,0,-0.700305476911717,NA,0.83942,34.2169
167,manafwa,bufumbula,senegal,7,1,0.297042903938854,1,0.83942,34.2169
168,manafwa,bufumbula,senegal,8,1,-1.40060640571798,1,0.83942,34.2169
169,manafwa,bufumbula,senegal,6,1,1.26491836970864,1,0.83942,34.2169
170,manafwa,bufumbula,senegal,12,1,-0.814749135726905,1,0.83942,34.2169
171,kamuli,bubaale b,senegal,3,3,0.273303926788964,0,0.70551,33.21661
172,kamuli,bubaale b,senegal,3,2,-0.385288785324811,0,0.70551,33.21661
173,kamuli,bubaale b,senegal,4,0,-0.960242766580568,NA,0.70551,33.21661
174,kamuli,bubaale b,senegal,6,2,-1.2782025377648,0,0.70551,33.21661
175,kamuli,bubaale b,senegal,7,2,-0.0453599774958222,0,0.70551,33.21661
176,kamuli,bubaale b,senegal,11,1,-1.02933099600538,0,0.70551,33.21661
