house,district,census_tract,country,hh_size,migrant_num,wealth_index,remit,lat,long,lat_regrid,long_regrid,intensity,magnitude,duration,frequency,severity,dispersion
55,niger,abdullahi,nigeria,3,0,1.7424419314402029,,9.080227094,6.01051127,9.1,6,-1.488130677,-1.490860379,1.2,1,-1.791692841,-0.666666667
56,niger,abdullahi,nigeria,8,0,1.125373983971006,,9.080227094,6.01051127,9.1,6,-1.488130677,-1.490860379,1.2,1,-1.791692841,-0.666666667
57,niger,abdullahi,nigeria,7,0,-0.690382157,,9.080227094,6.01051127,9.1,6,-1.488130677,-1.490860379,1.2,1,-1.791692841,-0.666666667
58,niger,abdullahi,nigeria,6,0,-0.503754067,,9.080227094,6.01051127,9.1,6,-1.488130677,-1.490860379,1.2,1,-1.791692841,-0.666666667
59,niger,abdullahi,nigeria,5,0,-1.365897061,,9.080227094,6.01051127,9.1,6,-1.488130677,-1.490860379,1.2,1,-1.791692841,-0.666666667
60,lagos,adedoyin,nigeria,5,3,1.200362998639943,0,6.5961,3.3408,6.6,3.35,-1.492584387,-1.543475469,1.6666666666666667,0.5,-2.565273762,-0.5
61,lagos,adedoyin,nigeria,4,4,2.1192049288782155,0,6.5961,3.3408,6.6,3.35,-1.492584387,-1.543475469,1.6666666666666667,0.5,-2.565273762,-0.5
62,lagos,adedoyin,nigeria,5,1,1.8950851690110064,1,6.5961,3.3408,6.6,3.35,-1.492584387,-1.543475469,1.6666666666666667,0.5,-2.565273762,-0.5
63,lagos,adedoyin,nigeria,10,1,1.6809954491837154,1,6.5961,3.3408,6.6,3.35,-1.492584387,-1.543475469,1.6666666666666667,0.5,-2.565273762,-0.5
64,lagos,adedoyin,nigeria,5,2,1.754450056020238,0,6.5961,3.3408,6.6,3.35,-1.492584387,-1.543475469,1.6666666666666667,0.5,-2.565273762,-0.5
65,lagos,adedoyin,nigeria,6,3,1.7319037388448897,0,6.5961,3.3408,6.6,3.35,-1.492584387,-1.543475469,1.6666666666666667,0.5,-2.565273762,-0.5
66,lagos,adedoyin,nigeria,2,1,1.2680019501659876,1,6.5961,3.3408,6.6,3.35,-1.492584387,-1.543475469,1.6666666666666667,0.5,-2.565273762,-0.5
67,lagos,adedoyin,nigeria,4,3,1.1327240471138975,0,6.5961,3.3408,6.6,3.35,-1.492584387,-1.543475469,1.6666666666666667,0.5,-2.565273762,-0.5
68,lagos,adedoyin,nigeria,7,3,2.3593896410876165,0,6.5961,3.3408,6.6,3.35,-1.492584387,-1.543475469,1.6666666666666667,0.5,-2.565273762,-0.5
69,lagos,adedoyin,nigeria,4,2,1.6640373856872848,0,6.5961,3.3408,6.6,3.35,-1.492584387,-1.543475469,1.6666666666666667,0.5,-2.565273762,-0.5
70,lagos,adedoyin,nigeria,4,1,2.3168232823542225,1,6.5961,3.3408,6.6,3.35,-1.492584387,-1.543475469,1.6666666666666667,0.5,-2.565273762,-0.5
71,lagos,adedoyin,nigeria,8,3,1.7792946733200268,1,6.5961,3.3408,6.6,3.35,-1.492584387,-1.543475469,1.6666666666666667,0.5,-2.565273762,-0.5
72,lagos,adedoyin,nigeria,4,2,2.5667639969827154,0,6.5961,3.3408,6.6,3.35,-1.492584387,-1.543475469,1.6666666666666667,0.5,-2.565273762,-0.5
73,lagos,adedoyin,nigeria,1,1,1.719712923791507,0,6.5961,3.3408,6.6,3.35,-1.492584387,-1.543475469,1.6666666666666667,0.5,-2.565273762,-0.5
74,lagos,adedoyin,nigeria,4,1,1.8413453711671544,0,6.5961,3.3408,6.6,3.35,-1.492584387,-1.543475469,1.6666666666666667,0.5,-2.565273762,-0.5
75,lagos,adedoyin,nigeria,4,1,0.3371274937786302,0,6.5961,3.3408,6.6,3.35,-1.492584387,-1.543475469,1.6666666666666667,0.5,-2.565273762,-0.5
76,lagos,adedoyin,nigeria,6,1,1.183808590613972,0,6.5961,3.3408,6.6,3.35,-1.492584387,-1.543475469,1.6666666666666667,0.5,-2.565273762,-0.5
77,lagos,adedoyin,nigeria,5,5,1.818799053991806,0,6.5961,3.3408,6.6,3.35,-1.492584387,-1.543475469,1.6666666666666667,0.5,-2.565273762,-0.5
78,lagos,adedoyin,nigeria,3,1,1.1778166814645945,0,6.5961,3.3408,6.6,3.35,-1.492584387,-1.543475469,1.6666666666666667,0.5,-2.565273762,-0.5
79,lagos,adedoyin,nigeria,4,1,2.395800475044981,0,6.5961,3.3408,6.6,3.35,-1.492584387,-1.543475469,1.6666666666666667,0.5,-2.565273762,-0.5
80,lagos,adedoyin,nigeria,2,1,1.6436094992456542,1,6.5961,3.3408,6.6,3.35,-1.492584387,-1.543475469,1.6666666666666667,0.5,-2.565273762,-0.5
81,lagos,adedoyin,nigeria,5,0,1.2619013937430077,,6.5961,3.3408,6.6,3.35,-1.492584387,-1.543475469,1.6666666666666667,0.5,-2.565273762,-0.5
82,lagos,adedoyin,nigeria,3,0,2.171860285896124,,6.5961,3.3408,6.6,3.35,-1.492584387,-1.543475469,1.6666666666666667,0.5,-2.565273762,-0.5
83,lagos,adedoyin,nigeria,6,0,0.9149416903344216,,6.5961,3.3408,6.6,3.35,-1.492584387,-1.543475469,1.6666666666666667,0.5,-2.565273762,-0.5
84,lagos,adedoyin,nigeria,4,0,2.0566029982633824,,6.5961,3.3408,6.6,3.35,-1.492584387,-1.543475469,1.6666666666666667,0.5,-2.565273762,-0.5
85,akwa ibom,afaha offot,nigeria,7,1,2.8198389376447417,1,5.03333,7.88333,5.05,7.9,-1.511596441,-1.51970154,1.5,0.3333333333333333,-2.347505093,-0.333333333
87,akwa ibom,afaha offot,nigeria,4,3,0.478397306,0,5.03333,7.88333,5.05,7.9,-1.511596441,-1.51970154,1.5,0.3333333333333333,-2.347505093,-0.333333333
88,akwa ibom,afaha offot,nigeria,5,2,-0.764913805,0,5.03333,7.88333,5.05,7.9,-1.511596441,-1.51970154,1.5,0.3333333333333333,-2.347505093,-0.333333333
89,akwa ibom,afaha offot,nigeria,8,0,0.425623857,,5.03333,7.88333,5.05,7.9,-1.511596441,-1.51970154,1.5,0.3333333333333333,-2.347505093,-0.333333333
90,akwa ibom,afaha offot,nigeria,4,3,1.1554357402048037,1,5.03333,7.88333,5.05,7.9,-1.511596441,-1.51970154,1.5,0.3333333333333333,-2.347505093,-0.333333333
91,akwa ibom,afaha offot,nigeria,6,1,0.5170418213266612,0,5.03333,7.88333,5.05,7.9,-1.511596441,-1.51970154,1.5,0.3333333333333333,-2.347505093,-0.333333333
